elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.001101,0,0,0,2974
0.002549,0,0,0,3008
0.004098,0,0,0,2999
0.005516,0,0,0,2932
0.006939,0,0,0,2967
0.008388,0,0,0,3007
0.009805,0,0,0,2623
0.011185,0,0,0,2864
0.012608,0,0,0,2976
0.014000,0,0,0,2675
0.015392,0,0,0,2891
0.016951,0,0,0,2975
0.018321,0,0,0,2992
0.019777,0,0,0,2969
0.021178,0,0,0,7094
0.022544,0,0,0,2963
0.024115,0,0,0,6716
0.025726,0,0,0,2960
0.027134,0,0,0,2683
0.028562,0,0,0,2388
0.029918,0,0,0,2705
0.031339,0,0,0,2571
0.032687,0,0,0,2456
0.034034,0,0,0,2600
0.035423,0,0,0,3100
0.036719,0,0,0,2903
0.038010,0,0,0,2546
0.039347,0,0,0,2372
0.040612,0,0,0,1933
0.041873,0,0,0,2000
0.043130,0,0,0,2047
0.044400,0,0,0,1907
0.045764,0,0,0,2231
0.047092,0,0,0,1861
0.048432,0,0,0,1898
0.049775,0,0,0,1746
0.051117,0,0,0,1710
0.052564,0,0,0,1725
0.053957,0,0,0,1740
0.057533,0,0,0,1366
0.058967,0,0,0,1405
0.060486,0,0,0,1392
0.061790,0,0,0,1444
0.063103,0,0,0,2259
0.064443,0,0,0,2765
0.065784,0,0,0,2862
0.067254,0,0,0,2777
0.068596,0,0,0,2881
0.070048,0,0,0,2611
0.071430,0,0,0,2394
0.072851,0,0,0,2308
0.074242,131,111,0,20367
0.076071,0,0,0,2565
0.077455,0,0,0,2984
0.078832,0,0,0,2308
0.080197,0,0,0,1380
0.081537,0,0,0,1367
0.082880,0,0,0,1419
0.084232,0,0,0,1454
0.085661,22901,197,0,29708
0.087134,1070033,250,0,56629
0.088375,1021361,240,0,54179
0.089615,1019386,240,0,54324
0.090928,1119941,270,0,60765
0.092223,1018657,240,0,54212
0.093462,1020492,240,0,55519
0.094702,1019085,240,0,57911
0.096141,1567264,360,0,80749
0.097829,1015393,240,0,52138
0.099351,981205,337,0,52812
0.100764,0,0,0,2541
0.102153,0,0,0,2192
0.103533,0,0,0,2030
0.104914,0,0,0,2035
0.106294,0,0,0,2035
0.107733,0,0,0,2036
0.109092,0,0,0,2071
0.110447,0,0,0,2041
0.111810,0,0,0,2032
0.113166,0,0,0,2073
0.114521,0,0,0,2033
0.115913,0,0,0,2043
0.117254,0,0,0,2038
0.118597,0,0,0,2082
0.120014,0,0,0,2052
0.121358,0,0,0,2035
0.122704,0,0,0,2037
0.124886,0,0,0,2067
0.126297,0,0,0,2073
0.127711,0,0,0,2055
0.129139,0,0,0,2034
0.130581,0,0,0,2035
0.132003,0,0,0,2036
0.133384,0,0,0,2031
0.134643,0,0,0,2096
0.135945,0,0,0,2027
0.137314,0,0,0,2150
0.138682,0,0,0,2042
0.140098,0,0,0,2089
0.141481,0,0,0,2039
0.142935,0,0,0,2112
0.144383,0,0,0,2039
0.145763,0,0,0,2032
0.147143,0,0,0,2034
0.148559,0,0,0,2030
0.149938,0,0,0,2030
0.151319,0,0,0,2031
0.152832,0,0,0,2034
0.154377,0,0,0,2035
0.155980,0,0,0,2175
0.157529,0,0,0,2033
0.159077,0,0,0,2262
0.160625,0,0,0,2034
0.162171,0,0,0,2031
0.163990,0,0,0,2148
0.165493,0,0,0,2035
0.166997,0,0,0,2032
0.168391,0,0,0,2039
0.169778,0,0,0,2035
0.171168,0,0,0,2030
0.172591,0,0,0,2030
0.173976,0,0,0,2030
0.175365,0,0,0,2184
0.176879,0,0,0,2036
0.178447,0,0,0,2225
0.180041,0,0,0,2042
0.181592,0,0,0,2039
0.183143,0,0,0,2035
0.184692,0,0,0,2034
0.186241,0,0,0,2137
0.187834,0,0,0,2036
0.189397,0,0,0,2038
0.190949,0,0,0,2027
0.192498,0,0,0,2110
0.194046,0,0,0,2054
0.195640,0,0,0,2026
0.197189,0,0,0,2034
0.198737,0,0,0,2192
0.200304,0,0,0,2034
0.201852,0,0,0,2116
0.203446,0,0,0,2051
0.204996,0,0,0,2032
0.206544,0,0,0,2029
0.208045,0,0,0,2031
0.209564,0,0,0,2029
0.211128,0,0,0,2221
0.212723,0,0,0,2036
0.214271,0,0,0,2036
0.215819,0,0,0,2030
0.217369,0,0,0,2039
