elapsed_s,VPC_BE_TSE_BE_PRIMITIVES,VPC_BE_TSE_BE_TRANSACTIONS,VPC_BE_STARVE_CYCLES_LRZ,VPC_BE_LRZ_ASSIGN_PRIMITIVES,VPC_BE_RB_VISIBLE_PRIMITIVES,VPC_BE_STARVE_CYCLES_RB
0.001138,0,0,0,0,0,0
0.002831,0,0,0,0,0,0
0.004442,0,0,0,0,0,0
0.005931,0,0,0,0,0,0
0.007485,0,0,0,0,0,0
0.009078,0,0,0,0,0,0
0.010527,0,0,0,0,0,0
0.011981,0,0,0,0,0,0
0.013546,0,0,0,0,0,0
0.015078,0,0,0,0,0,0
0.016724,0,0,0,0,0,0
0.018207,0,0,0,0,0,0
0.019894,0,0,0,0,0,0
0.021359,0,0,0,0,0,0
0.022979,0,0,0,0,0,0
0.024501,0,0,0,0,0,0
0.026013,0,0,0,0,0,0
0.027517,0,0,0,0,0,0
0.029095,0,0,0,0,0,0
0.030474,0,0,0,0,0,0
0.031883,0,0,0,0,0,0
0.033338,0,0,0,0,0,0
0.034794,0,0,0,0,0,0
0.036243,0,0,0,0,0,0
0.037697,0,0,0,0,0,0
0.039205,0,0,0,0,0,0
0.040636,0,0,0,0,0,0
0.041997,0,0,0,0,0,0
0.043351,0,0,0,0,0,0
0.044705,0,0,0,0,0,0
0.046060,0,0,0,0,0,0
0.047417,0,0,0,0,0,0
0.048771,0,0,0,0,0,0
0.050128,0,0,0,0,0,0
0.051492,0,0,0,0,0,0
0.052963,0,0,0,0,0,0
0.054312,0,0,0,0,0,0
0.055695,0,0,840,0,0,0
0.057410,0,0,0,0,0,0
0.058819,0,0,0,0,0,0
0.060220,0,0,0,0,0,0
0.061630,0,0,0,0,0,0
0.063066,0,0,0,0,0,0
0.064462,0,0,0,0,0,0
0.065882,0,0,1038,0,0,0
0.067508,0,0,2874,0,0,0
0.069067,0,0,0,0,0,0
0.070479,0,0,0,0,0,0
0.071940,0,0,0,0,0,0
0.073338,0,0,0,0,0,0
0.074734,0,0,0,0,0,0
0.076201,0,0,0,0,0,0
0.077597,0,0,0,0,0,0
0.078992,0,0,0,0,0,0
0.080387,0,0,0,0,0,0
0.081780,0,0,0,0,0,0
0.083221,0,0,0,0,0,0
0.084610,0,0,0,0,0,0
0.086001,0,0,0,0,0,0
0.087436,0,0,0,0,0,0
0.091871,0,0,0,0,0,0
0.093403,0,0,0,0,0,0
0.094912,0,0,0,0,0,0
0.096272,0,0,0,0,0,0
0.097600,0,0,0,0,0,0
0.098924,0,0,0,0,0,0
0.100306,0,0,0,0,0,0
0.101675,0,0,0,0,0,0
0.103079,0,0,0,0,0,0
0.104479,0,0,0,0,0,0
0.105870,0,0,0,0,0,0
0.107259,0,0,0,0,0,0
0.108652,0,0,0,0,0,0
0.110049,0,0,0,0,0,0
0.111445,0,0,0,0,0,0
0.112973,0,0,0,0,0,0
0.114535,0,0,0,0,0,0
0.116111,0,0,0,0,0,0
0.117672,0,0,0,0,0,0
0.119274,0,0,0,0,0,0
0.120834,0,0,0,0,0,0
0.122395,0,0,0,0,0,0
0.123958,0,0,0,0,0,0
0.125519,0,0,0,0,0,0
0.127135,0,0,0,0,0,0
0.128695,0,0,0,0,0,0
0.130255,0,0,0,0,0,0
0.131883,0,0,0,0,0,0
0.133510,0,0,0,0,0,0
0.135112,0,0,0,0,0,0
0.136672,0,0,0,0,0,0
0.138245,0,0,0,0,0,0
0.139872,0,0,0,0,0,0
0.141495,0,0,0,0,0,0
0.143096,0,0,0,0,0,0
0.144655,0,0,0,0,0,0
0.146216,0,0,0,0,0,0
0.147775,0,0,0,0,0,0
0.149183,0,0,0,0,0,0
0.150715,0,0,0,0,0,0
0.152276,0,0,0,0,0,0
0.153711,0,0,0,0,0,0
0.155241,0,0,0,0,0,0
0.156671,0,0,0,0,0,0
0.158204,0,0,0,0,0,0
0.159777,0,0,0,0,0,0
0.161392,0,0,0,0,0,0
0.162953,0,0,0,0,0,0
0.164516,0,0,0,0,0,0
0.166077,0,0,0,0,0,0
0.167639,0,0,0,0,0,0
0.169225,0,0,0,0,0,0
0.170797,0,0,0,0,0,0
0.172359,0,0,0,0,0,0
0.173920,0,0,0,0,0,0
0.175522,0,0,0,0,0,0
0.177088,0,0,0,0,0,0
0.178647,0,0,0,0,0,0
0.180209,0,0,0,0,0,0
0.181783,0,0,0,0,0,0
0.183350,0,0,0,0,0,0
0.184784,0,0,0,0,0,0
0.186181,0,0,0,0,0,0
0.187571,0,0,0,0,0,0
0.189017,0,0,0,0,0,0
0.190406,0,0,0,0,0,0
0.191890,0,0,0,0,0,0
0.193256,0,0,0,0,0,0
0.194619,0,0,0,0,0,0
0.195983,0,0,0,0,0,0
0.197345,0,0,0,0,0,0
0.198709,0,0,0,0,0,0
0.200039,0,0,0,0,0,0
0.201457,0,0,0,0,0,0
0.202771,0,0,0,0,0,0
0.204189,0,0,0,0,0,0
0.205608,0,0,0,0,0,0
0.207039,0,0,0,0,0,0
0.208479,0,0,0,0,0,0
0.209871,0,0,0,0,0,0
0.211264,0,0,0,0,0,0
0.212659,0,0,0,0,0,0
0.214069,0,0,0,0,0,0
0.215508,0,0,0,0,0,0
0.216982,0,0,0,0,0,0
0.218377,0,0,0,0,0,0
0.219899,0,0,0,0,0,0
0.222051,0,0,0,0,0,0
0.223496,0,0,0,0,0,0
0.225004,0,0,0,0,0,0
0.226405,0,0,0,0,0,0
0.227910,0,0,0,0,0,0
0.229736,0,0,693,0,0,0
0.231272,0,0,0,0,0,0
0.232668,0,0,0,0,0,0
0.234061,0,0,0,0,0,0
0.235463,0,0,0,0,0,0
0.236856,0,0,0,0,0,0
0.238246,0,0,0,0,0,0
0.239640,0,0,2943,0,0,0
0.241177,0,0,990,0,0,0
0.242570,0,0,0,0,0,0
0.244051,0,0,0,0,0,0
0.245448,0,0,0,0,0,0
0.246900,0,0,0,0,0,0
0.248297,0,0,0,0,0,0
0.249694,0,0,0,0,0,0
0.251088,0,0,0,0,0,0
0.252483,0,0,0,0,0,0
0.253876,0,0,0,0,0,0
0.255303,0,0,0,0,0,0
0.256694,0,0,0,0,0,0
0.258098,0,0,0,0,0,0
0.259489,0,0,0,0,0,0
0.260996,0,0,0,0,0,0
0.262384,0,0,0,0,0,0
0.263880,0,0,0,0,0,0
0.265362,0,0,0,0,0,0
0.266752,0,0,0,0,0,0
0.268151,0,0,0,0,0,0
0.269542,0,0,0,0,0,0
0.270980,0,0,0,0,0,0
0.272371,0,0,0,0,0,0
0.273761,0,0,0,0,0,0
0.275151,0,0,0,0,0,0
0.276543,0,0,0,0,0,0
0.277937,0,0,0,0,0,0
0.279510,0,0,0,0,0,0
0.281160,0,0,0,0,0,0
0.282719,0,0,0,0,0,0
0.284281,0,0,0,0,0,0
0.285832,0,0,0,0,0,0
0.287411,0,0,0,0,0,0
0.288973,0,0,0,0,0,0
0.290548,0,0,0,0,0,0
0.292153,0,0,0,0,0,0
0.293714,0,0,0,0,0,0
0.295316,0,0,0,0,0,0
0.296876,0,0,0,0,0,0
0.298437,0,0,0,0,0,0
0.300000,0,0,0,0,0,0
0.301574,0,0,0,0,0,0
0.303176,0,0,0,0,0,0
0.304613,0,0,0,0,0,0
0.306144,0,0,0,0,0,0
0.307703,0,0,0,0,0,0
0.309269,0,0,0,0,0,0
0.310872,0,0,0,0,0,0
0.312448,0,0,0,0,0,0
0.314010,0,0,0,0,0,0
0.315568,0,0,0,0,0,0
0.317134,0,0,0,0,0,0
0.318692,0,0,0,0,0,0
0.320256,0,0,0,0,0,0
0.321817,0,0,0,0,0,0
0.323389,0,0,0,0,0,0
0.324950,0,0,0,0,0,0
0.326512,0,0,0,0,0,0
0.328119,0,0,0,0,0,0
0.329682,0,0,0,0,0,0
0.331241,0,0,0,0,0,0
0.332802,0,0,0,0,0,0
0.334377,0,0,0,0,0,0
0.335941,0,0,0,0,0,0
0.337503,0,0,0,0,0,0
0.339062,0,0,0,0,0,0
0.340624,0,0,0,0,0,0
0.342186,0,0,0,0,0,0
0.343746,0,0,0,0,0,0
0.345323,0,0,0,0,0,0
0.346881,0,0,0,0,0,0
0.348444,0,0,0,0,0,0
0.350007,0,0,0,0,0,0
0.351607,0,0,0,0,0,0
0.353172,0,0,0,0,0,0
0.354608,0,0,0,0,0,0
0.356033,0,0,0,0,0,0
0.358168,0,0,0,0,0,0
0.359612,0,0,0,0,0,0
0.361243,0,0,0,0,0,0
0.362634,0,0,0,0,0,0
0.364024,0,0,0,0,0,0
0.365413,0,0,0,0,0,0
0.366861,0,0,0,0,0,0
0.368227,0,0,0,0,0,0
0.369594,0,0,0,0,0,0
0.370958,0,0,0,0,0,0
0.372322,0,0,0,0,0,0
0.373687,0,0,0,0,0,0
0.375085,0,0,0,0,0,0
0.376507,0,0,0,0,0,0
0.377928,0,0,0,0,0,0
0.379346,0,0,0,0,0,0
0.380765,0,0,0,0,0,0
0.382183,0,0,0,0,0,0
0.383614,0,0,0,0,0,0
0.384992,0,0,0,0,0,0
0.386384,0,0,0,0,0,0
0.387780,0,0,0,0,0,0
0.389275,0,0,0,0,0,0
0.390662,0,0,0,0,0,0
0.393031,0,0,0,0,0,0
0.394430,0,0,0,0,0,0
0.396047,0,0,0,0,0,0
0.397506,0,0,0,0,0,0
0.398966,0,0,0,0,0,0
0.400371,0,0,0,0,0,0
0.401771,0,0,0,0,0,0
0.403164,0,0,0,0,0,0
0.404583,0,0,693,0,0,0
0.406046,0,0,0,0,0,0
0.407441,0,0,0,0,0,0
0.408836,0,0,0,0,0,0
0.410229,0,0,0,0,0,0
0.411632,0,0,0,0,0,0
0.413039,0,0,0,0,0,0
0.414431,0,0,2085,0,0,0
0.415683,0,0,1848,0,0,0
0.417071,0,0,0,0,0,0
0.418470,0,0,0,0,0,0
0.419863,0,0,0,0,0,0
0.421260,0,0,0,0,0,0
0.422667,0,0,0,0,0,0
0.424110,0,0,0,0,0,0
0.425505,0,0,0,0,0,0
0.426900,0,0,0,0,0,0
0.428293,0,0,0,0,0,0
0.429689,0,0,0,0,0,0
0.431123,0,0,0,0,0,0
0.435904,0,0,0,0,0,0
0.437320,0,0,0,0,0,0
0.438711,0,0,0,0,0,0
0.440223,0,0,0,0,0,0
0.441619,0,0,0,0,0,0
0.442967,0,0,0,0,0,0
0.444315,0,0,0,0,0,0
0.445668,0,0,0,0,0,0
0.447035,0,0,0,0,0,0
0.448438,0,0,0,0,0,0
0.449833,0,0,0,0,0,0
0.451272,0,0,0,0,0,0
0.452662,0,0,0,0,0,0
0.454053,0,0,0,0,0,0
0.455477,0,0,0,0,0,0
0.456870,0,0,0,0,0,0
0.458268,0,0,0,0,0,0
0.459857,0,0,0,0,0,0
0.461419,0,0,0,0,0,0
0.463021,0,0,0,0,0,0
0.464587,0,0,0,0,0,0
0.466150,0,0,0,0,0,0
0.467710,0,0,0,0,0,0
0.469278,0,0,0,0,0,0
0.470896,0,0,0,0,0,0
0.472461,0,0,0,0,0,0
0.474024,0,0,0,0,0,0
0.475586,0,0,0,0,0,0
0.477152,0,0,0,0,0,0
0.478712,0,0,0,0,0,0
0.480276,0,0,0,0,0,0
0.481853,0,0,0,0,0,0
0.483414,0,0,0,0,0,0
0.484977,0,0,0,0,0,0
0.486541,0,0,0,0,0,0
0.488149,0,0,0,0,0,0
0.489712,0,0,0,0,0,0
0.491273,0,0,0,0,0,0
0.492722,0,0,0,0,0,0
0.494256,0,0,0,0,0,0
0.495888,0,0,0,0,0,0
0.497515,0,0,0,0,0,0
0.499076,0,0,0,0,0,0
0.500641,0,0,0,0,0,0
0.502194,0,0,0,0,0,0
0.503757,0,0,0,0,0,0
0.505236,0,0,0,0,0,0
0.506639,0,0,0,0,0,0
0.508039,0,0,0,0,0,0
