elapsed_s,PC_S_TESS_SETUP_ACTIVE,PC_S_TESS_PID_ACTIVE,PC_S_TESS_PRIM_GEN_ACTIVE,PC_S_TESS_FACTOR_TRANS,PC_S_TESS_PC_UV_TRANS,PC_S_TESS_PC_UV_PATCHES,PC_S_MESH_VS_WAVES
0.001095,0,0,0,0,0,0,0
0.002808,0,0,0,0,0,0,0
0.004255,0,0,0,0,0,0,0
0.005698,0,0,0,0,0,0,0
0.007142,0,0,0,0,0,0,0
0.008582,0,0,0,0,0,0,0
0.010036,0,0,0,0,0,0,0
0.011482,0,0,0,0,0,0,0
0.012924,0,0,0,0,0,0,0
0.014365,0,0,0,0,0,0,0
0.015807,0,0,0,0,0,0,0
0.017784,0,0,0,0,0,0,0
0.019281,0,0,0,0,0,0,0
0.020747,0,0,0,0,0,0,0
0.022191,0,0,0,0,0,0,0
0.023633,0,0,0,0,0,0,0
0.025074,0,0,0,0,0,0,0
0.026508,0,0,0,0,0,0,0
0.027927,0,0,0,0,0,0,0
0.029344,0,0,0,0,0,0,0
0.030789,0,0,0,0,0,0,0
0.032206,0,0,0,0,0,0,0
0.033710,0,0,0,0,0,0,0
0.035162,0,0,0,0,0,0,0
0.036577,0,0,0,0,0,0,0
0.038020,0,0,0,0,0,0,0
0.039431,0,0,0,0,0,0,0
0.040825,0,0,0,0,0,0,0
0.042244,0,0,0,0,0,0,0
0.043588,0,0,0,0,0,0,0
0.044929,0,0,0,0,0,0,0
0.046269,0,0,0,0,0,0,0
0.047625,0,0,0,0,0,0,0
0.048968,0,0,0,0,0,0,0
0.050308,0,0,0,0,0,0,0
0.051669,0,0,0,0,0,0,0
0.053006,0,0,0,0,0,0,0
0.054344,0,0,0,0,0,0,0
0.055689,0,0,0,0,0,0,0
0.057029,0,0,0,0,0,0,0
0.058364,0,0,0,0,0,0,0
0.059683,0,0,0,0,0,0,0
0.061003,0,0,0,0,0,0,0
0.062329,0,0,0,0,0,0,0
0.063649,0,0,0,0,0,0,0
0.064970,0,0,0,0,0,0,0
0.066288,0,0,0,0,0,0,0
0.067570,0,0,0,0,0,0,0
0.068847,0,0,0,0,0,0,0
0.070173,0,0,0,0,0,0,0
0.071529,0,0,0,0,0,0,0
0.072873,0,0,0,0,0,0,0
0.074220,0,0,0,0,0,0,0
0.075555,0,0,0,0,0,0,0
0.076883,0,0,0,0,0,0,0
0.078215,0,0,0,0,0,0,0
0.079542,0,0,0,0,0,0,0
0.080870,0,0,0,0,0,0,0
0.082202,0,0,0,0,0,0,0
0.083578,0,0,0,0,0,0,0
0.084947,0,0,0,0,0,0,0
0.086317,0,0,0,0,0,0,0
0.087687,0,0,0,0,0,0,0
0.089057,0,0,0,0,0,0,0
0.090426,0,0,0,0,0,0,0
0.091910,0,0,0,0,0,0,0
0.093279,0,0,0,0,0,0,0
0.094674,0,0,0,0,0,0,0
0.096044,0,0,0,0,0,0,0
0.097413,0,0,0,0,0,0,0
0.098814,0,0,0,0,0,0,0
0.100182,0,0,0,0,0,0,0
0.101554,0,0,0,0,0,0,0
0.102930,0,0,0,0,0,0,0
0.104298,0,0,0,0,0,0,0
0.105673,0,0,0,0,0,0,0
0.107042,0,0,0,0,0,0,0
0.108412,0,0,0,0,0,0,0
0.109778,0,0,0,0,0,0,0
0.111093,0,0,0,0,0,0,0
0.112530,0,0,0,0,0,0,0
0.113961,0,0,0,0,0,0,0
0.115394,0,0,0,0,0,0,0
0.116829,0,0,0,0,0,0,0
0.118261,0,0,0,0,0,0,0
0.119693,0,0,0,0,0,0,0
0.121125,0,0,0,0,0,0,0
0.122448,0,0,0,0,0,0,0
0.123770,0,0,0,0,0,0,0
0.125203,0,0,0,0,0,0,0
0.126676,0,0,0,0,0,0,0
0.128112,0,0,0,0,0,0,0
0.129544,0,0,0,0,0,0,0
0.130975,0,0,0,0,0,0,0
0.132412,0,0,0,0,0,0,0
0.133846,0,0,0,0,0,0,0
0.135278,0,0,0,0,0,0,0
0.136712,0,0,0,0,0,0,0
0.138160,0,0,0,0,0,0,0
0.139531,0,0,0,0,0,0,0
0.140902,0,0,0,0,0,0,0
0.142273,0,0,0,0,0,0,0
0.143645,0,0,0,0,0,0,0
0.145015,0,0,0,0,0,0,0
0.146388,0,0,0,0,0,0,0
0.147763,0,0,0,0,0,0,0
0.149151,0,0,0,0,0,0,0
0.150558,0,0,0,0,0,0,0
0.151932,0,0,0,0,0,0,0
0.153305,0,0,0,0,0,0,0
0.154745,0,0,0,0,0,0,0
0.156145,0,0,0,0,0,0,0
0.157548,0,0,0,0,0,0,0
0.158948,0,0,0,0,0,0,0
0.160364,0,0,0,0,0,0,0
0.161769,0,0,0,0,0,0,0
0.163179,0,0,0,0,0,0,0
0.165029,0,0,0,0,0,0,0
0.166433,0,0,0,0,0,0,0
0.167834,0,0,0,0,0,0,0
0.169235,0,0,0,0,0,0,0
0.170686,0,0,0,0,0,0,0
0.172087,0,0,0,0,0,0,0
0.173623,0,0,0,0,0,0,0
0.175192,0,0,0,0,0,0,0
0.176770,0,0,0,0,0,0,0
0.178339,0,0,0,0,0,0,0
0.179906,0,0,0,0,0,0,0
0.181487,0,0,0,0,0,0,0
0.183055,0,0,0,0,0,0,0
0.184622,0,0,0,0,0,0,0
