elapsed_s,PC_S_STALL_CYCLES_TESS,PC_S_STALL_CYCLES_VFD_ONLY,PC_S_STALL_CYCLES_VPC_ONLY,PC_S_VPC_PRIMITIVES,PC_S_VERTEX_HITS,PC_S_IA_VERTICES,PC_S_IA_PRIMITIVES,PC_S_HS_INVOCATIONS
0.001095,0,0,0,0,0,0,0,0
0.002574,0,0,0,0,0,0,0,0
0.004029,0,0,0,0,0,0,0,0
0.005482,0,0,0,0,0,0,0,0
0.006932,0,0,0,0,0,0,0,0
0.008384,0,0,0,0,0,0,0,0
0.009850,0,0,0,0,0,0,0,0
0.011303,0,0,0,0,0,0,0,0
0.012777,0,0,0,0,0,0,0,0
0.014228,0,0,0,0,0,0,0,0
0.015837,0,0,0,0,0,0,0,0
0.017324,0,0,0,0,0,0,0,0
0.018833,0,0,0,0,0,0,0,0
0.020320,0,0,0,0,0,0,0,0
0.021701,0,0,0,0,0,0,0,0
0.023080,0,0,0,0,0,0,0,0
0.024508,0,0,0,0,0,0,0,0
0.025900,0,0,0,0,0,0,0,0
0.027279,0,0,0,0,0,0,0,0
0.028671,0,0,0,0,0,0,0,0
0.030049,0,0,0,0,0,0,0,0
0.031435,0,0,0,0,0,0,0,0
0.032850,0,0,0,0,0,0,0,0
0.034231,0,0,0,0,0,0,0,0
0.035622,0,0,0,0,0,0,0,0
0.036953,0,0,0,0,0,0,0,0
0.038280,0,0,0,0,0,0,0,0
0.039658,0,0,0,0,0,0,0,0
0.040983,0,0,0,0,0,0,0,0
0.042314,0,0,0,0,0,0,0,0
0.043697,0,0,0,0,0,0,0,0
0.045040,0,0,0,0,0,0,0,0
0.046369,0,0,0,0,0,0,0,0
0.047695,0,0,0,0,0,0,0,0
0.049089,0,0,0,0,0,0,0,0
0.050370,0,0,0,0,0,0,0,0
0.051701,0,0,0,0,0,0,0,0
0.053039,0,0,0,0,0,0,0,0
0.054432,0,0,0,0,0,0,0,0
0.055775,0,0,0,0,0,0,0,0
0.057062,0,0,0,0,0,0,0,0
0.058345,0,0,0,0,0,0,0,0
0.059626,0,0,0,0,0,0,0,0
0.060909,0,0,0,0,0,0,0,0
0.062191,0,0,0,0,0,0,0,0
0.063482,0,0,0,0,0,0,0,0
0.064775,0,0,0,0,0,0,0,0
0.066056,0,0,0,0,0,0,0,0
0.067338,0,0,0,0,0,0,0,0
0.068685,0,0,0,0,0,0,0,0
0.069968,0,0,0,0,0,0,0,0
0.071251,0,0,0,0,0,0,0,0
0.072534,0,0,0,0,0,0,0,0
0.073820,0,0,0,0,0,0,0,0
0.075104,0,0,0,0,0,0,0,0
0.076436,0,0,0,0,0,0,0,0
0.077725,0,0,0,0,0,0,0,0
0.079007,0,0,0,0,0,0,0,0
