elapsed_s,PC_US_STARVE_CYCLES_DI,PC_US_VIS_STREAMS_LOADED,PC_US_INSTANCES,PC_US_DEAD_PRIM,PC_US_SLICE_LIVE_PRIM,PC_US_3D_DRAWCALLS,PC_US_2D_DRAWCALLS,PC_US_NON_DRAWCALL_GLOBAL_EVENTS
0.001483,0,0,0,0,0,0,0,0
0.003271,0,0,0,0,0,0,0,0
0.004876,0,0,0,0,0,0,0,0
0.006312,0,0,0,0,0,0,0,0
0.007776,0,0,0,0,0,0,0,0
0.009192,0,0,0,0,0,0,0,0
0.010641,0,0,0,0,0,0,0,0
0.012127,0,0,0,0,0,0,0,0
0.013600,0,0,0,0,0,0,0,0
0.015022,0,0,0,0,0,0,0,0
0.016483,0,0,0,0,0,0,0,0
0.017967,0,0,0,0,0,0,0,0
0.019602,0,0,0,0,0,0,0,0
0.021100,0,0,0,0,0,0,0,0
0.022533,0,0,0,0,0,0,0,0
0.024361,0,0,0,0,0,0,0,0
0.026000,0,0,0,0,0,0,0,0
0.027496,0,0,0,0,0,0,0,0
0.028931,0,0,0,0,0,0,0,0
0.030358,0,0,0,0,0,0,0,0
0.031792,0,0,0,0,0,0,0,0
0.033217,0,0,0,0,0,0,0,0
0.034641,0,0,0,0,0,0,0,0
0.036055,0,0,0,0,0,0,0,0
0.037432,0,0,0,0,0,0,0,0
0.038807,0,0,0,0,0,0,0,0
0.040186,0,0,0,0,0,0,0,0
0.041567,0,0,0,0,0,0,0,0
0.042956,0,0,0,0,0,0,0,0
0.044332,0,0,0,0,0,0,0,0
0.045710,0,0,0,0,0,0,0,0
0.047090,0,0,0,0,0,0,0,0
0.048493,0,0,0,0,0,0,0,0
0.049872,0,0,0,0,0,0,0,0
0.051250,0,0,0,0,0,0,0,0
0.052682,0,0,0,0,0,0,0,0
0.054068,0,0,0,0,0,0,0,0
0.055445,0,0,0,0,0,0,0,0
0.056819,0,0,0,0,0,0,0,0
0.058203,0,0,0,0,0,0,0,0
0.059579,0,0,0,0,0,0,0,0
0.060913,0,0,0,0,0,0,0,0
0.062243,0,0,0,0,0,0,0,0
0.063581,0,0,0,0,0,0,0,0
0.064925,0,0,0,0,0,0,0,0
0.066231,0,0,0,0,0,0,0,0
0.067516,0,0,0,0,0,0,0,0
0.068820,0,0,0,0,0,0,0,0
0.070102,0,0,0,0,0,0,0,0
0.071384,0,0,0,0,0,0,0,0
0.072667,0,0,0,0,0,0,0,0
0.073951,0,0,0,0,0,0,0,0
0.075291,0,0,0,0,0,0,0,0
0.076596,0,0,0,0,0,0,0,0
0.077926,0,0,0,0,0,0,0,0
0.079255,0,0,0,0,0,0,0,0
0.080630,0,0,0,0,0,0,0,0
0.082022,0,0,0,0,0,0,0,8
0.083522,0,0,0,0,0,0,0,0
0.084900,0,0,0,0,0,0,0,0
0.086282,0,0,0,0,0,0,0,0
0.087660,0,0,0,0,0,0,0,0
0.089037,0,0,0,0,0,0,0,0
0.090415,0,0,0,0,0,0,0,0
