elapsed_s,RB_NEVER_COUNT,RB_BUSY_CYCLES,RB_STALL_CYCLES_HLSQ,RB_STALL_CYCLES_FIFO0_FULL,RB_STALL_CYCLES_FIFO1_FULL,RB_STALL_CYCLES_FIFO2_FULL,RB_STARVE_CYCLES_SP,RB_STARVE_CYCLES_LRZ_TILE
0.001125,0,0,0,0,0,0,0,0
0.002751,0,0,0,0,0,0,0,0
0.004396,0,0,0,0,0,0,0,0
0.005947,0,0,0,0,0,0,0,0
0.007585,0,0,0,0,0,0,0,0
0.009112,0,0,0,0,0,0,0,0
0.010642,0,0,0,0,0,0,0,0
0.012222,0,0,0,0,0,0,0,0
0.013741,0,0,0,0,0,0,0,0
0.015261,0,0,0,0,0,0,0,0
0.016918,0,0,0,0,0,0,0,0
0.018388,0,0,0,0,0,0,0,0
0.019911,0,0,0,0,0,0,0,0
0.021493,0,0,0,0,0,0,0,0
0.022902,0,0,0,0,0,0,0,0
0.024422,0,0,0,0,0,0,0,0
0.025804,0,0,0,0,0,0,0,0
0.027195,0,0,0,0,0,0,0,0
0.028513,0,0,0,0,0,0,0,0
0.029854,0,0,0,0,0,0,0,0
0.031216,0,0,0,0,0,0,0,0
0.032659,0,0,0,0,0,0,0,0
0.034075,0,0,0,0,0,0,0,0
0.035493,0,0,0,0,0,0,0,0
0.036909,0,0,0,0,0,0,0,0
0.038325,0,0,0,0,0,0,0,0
0.039730,0,0,0,0,0,0,0,0
0.041089,0,0,0,0,0,0,0,0
0.042505,0,0,0,0,0,0,0,0
0.044053,0,0,0,0,0,0,0,0
0.045468,0,0,0,0,0,0,0,0
0.046835,0,0,0,0,0,0,0,0
0.048245,0,0,0,0,0,0,0,0
0.049609,0,0,0,0,0,0,0,0
0.050968,0,0,0,0,0,0,0,0
0.052584,0,1560,0,0,0,0,0,480
0.053901,0,0,0,0,0,0,0,0
0.055290,0,0,0,0,0,0,0,0
0.056715,0,0,0,0,0,0,0,0
0.058083,0,0,0,0,0,0,0,0
0.059447,0,0,0,0,0,0,0,0
0.060811,0,0,0,0,0,0,0,0
0.062173,0,0,0,0,0,0,0,0
0.063585,0,408245,0,0,0,0,0,3648
0.064863,0,1553763,0,0,0,0,0,9528
0.066133,0,1551444,0,0,0,0,0,9246
0.067395,0,1551341,0,0,0,0,0,8964
0.068654,0,1550733,0,0,0,0,0,9246
0.069916,0,1522324,0,0,0,0,0,9246
