group,counter,n_runs,majority_label,majority_label_count,label_consistency,ratio_mean,ratio_std,ratio_cv,corr_mean,corr_std,total_all_mean,total_all_std,total_w128_mean,total_w128_std,total_w256_mean,total_w256_std,total_w512_mean,total_w512_std,total_w1024_mean,total_w1024_std,total_w2048_mean,total_w2048_std,stable_strong_scaling,near_16x_scaling
SP,SP_WAVE_CSP_CYCLES,2,flat_or_saturated,2,1.0,0.836655676273663,0.0007654492322712071,0.0009148915784333185,-0.4812546099602012,0.005931817275583522,269855.5,303.3488091290289,62059.0,38.18376618407357,51924.5,20.506096654409877,52062.0,135.7645019878171,51888.0,124.45079348883236,51922.0,15.556349186104045,False,False
SP,SP_LB_READ_XFER_ALU,2,active_mixed,2,1.0,1.941851580459885,5.771216064796538e-05,2.9720170804350308e-05,0.9442515451581839,3.446841485993795e-05,257554.5,0.7071067811865476,35332.0,1.4142135623730951,47110.5,0.7071067811865476,50182.0,2.8284271247461903,56320.5,0.7071067811865476,68609.5,0.7071067811865476,False,False
UCHE,UCHE_VBIF_STALL_WRITE_DATA,1,strong_width_scaling,1,1.0,8.967805383022775,0.0,,0.8139930360119905,0.0,253133.0,0.0,9660.0,0.0,13878.0,0.0,41039.0,0.0,101927.0,0.0,86629.0,0.0,False,False
CP,CP_SQE_PM4_STARVE_RB,2,flat_or_saturated,2,1.0,0.015956168178816257,0.003527585305036649,0.2210797270061333,-0.5001107031741778,0.011683910053516272,198635.5,10767.11495712756,178590.0,8284.46304838159,11092.0,4224.255910808435,3071.5,717.7133829043457,3047.0,526.0874452027914,2835.0,497.80317395532944,False,False
SP,SP_CCHE_NONUAV_TOTAL_REQ,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,184320.0,0.0,36864.0,0.0,36864.0,0.0,36864.0,0.0,36864.0,0.0,36864.0,0.0,False,False
SP,SP_BRANCH_NOT_TAKEN,2,flat_or_saturated,2,1.0,1.2142857142857142,0.0,0.0,0.4766031238193981,0.0,167936.0,0.0,28672.0,0.0,34816.0,0.0,34816.0,0.0,34816.0,0.0,34816.0,0.0,False,False
SP,SP_WAVE_IDLE_CYCLES,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,167520.0,0.0,33504.0,0.0,33504.0,0.0,33504.0,0.0,33504.0,0.0,33504.0,0.0,False,False
UCHE,UCHE_VBIF_READ_BEATS_TP,1,flat_or_saturated,1,1.0,0.1650904605263158,0.0,,-0.46243317520731336,0.0,164162.0,0.0,19456.0,0.0,131072.0,0.0,5620.0,0.0,4802.0,0.0,3212.0,0.0,False,False
SP,SP_QUADS,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,163840.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,32768.0,0.0,False,False
CP,CP_SQE_RRB_STARVE,2,flat_or_saturated,2,1.0,0.012597615030057423,0.00017523564994801518,0.013910224239263518,-0.4922038477108844,0.007277859810876331,139231.0,2371.63614409968,128868.5,733.2697320904498,5623.0,2107.178207935912,1579.5,279.30717856868625,1536.5,221.32442251138937,1623.5,31.81980515339464,False,False
CP,CP_PREEMPTION_REACTION_DELAY,2,flat_or_saturated,2,1.0,0.0,0.0,,-0.6649823702842078,0.2617855678546862,134555.5,24200.729586109588,100080.5,70782.0959035546,10382.5,14683.07231133866,14605.5,18481.649939872794,9487.0,13416.644066233554,0.0,0.0,False,False
UCHE,UCHE_VBIF_WRITE_BEATS_CH0,1,flat_or_saturated,1,1.0,0.00408935546875,0.0,,-0.6232945541734285,0.0,98784.0,0.0,32768.0,0.0,65536.0,0.0,186.0,0.0,160.0,0.0,134.0,0.0,False,False
UCHE,UCHE_VBIF_WRITE_BEATS_CH1,1,flat_or_saturated,1,1.0,0.0003662109375,0.0,,-0.6232208610866647,0.0,98340.0,0.0,32768.0,0.0,65536.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,False,False
UCHE,UCHE_VBIF_READ_BEATS_CH0,1,flat_or_saturated,1,1.0,0.2041529605263158,0.0,,-0.46084569490550514,0.0,83598.0,0.0,9728.0,0.0,65536.0,0.0,3446.0,0.0,2902.0,0.0,1986.0,0.0,False,False
UCHE,UCHE_VBIF_READ_BEATS_CH1,1,flat_or_saturated,1,1.0,0.19613486842105263,0.0,,-0.46131096730723464,0.0,83344.0,0.0,9728.0,0.0,65536.0,0.0,3344.0,0.0,2828.0,0.0,1908.0,0.0,False,False
SP,SP_WAVE_EMIT_CYCLES,2,flat_or_saturated,2,1.0,1.0,0.0,0.0,0.0,0.0,56320.0,0.0,11264.0,0.0,11264.0,0.0,11264.0,0.0,11264.0,0.0,11264.0,0.0,False,False
