run,group,chunk,csv_path,region_index,width,start_idx,end_idx_exclusive,start_s,end_s,samples
sweep_20260625_152944,CP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk005.csv,3,512,308,329,0.464341,0.494363,21
sweep_20260625_152944,CP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk005.csv,4,1024,442,464,0.668297,0.698695,22
sweep_20260625_152944,CP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk005.csv,5,2048,571,593,0.862057,0.893414,22
sweep_20260625_152944,CP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk006.csv,1,128,39,60,0.064143,0.092638,21
sweep_20260625_152944,CP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk006.csv,2,256,162,183,0.247006,0.277829,21
sweep_20260625_152944,CP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk006.csv,3,512,295,316,0.450122,0.47988,21
sweep_20260625_152944,CP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk006.csv,4,1024,414,435,0.632072,0.661479,21
sweep_20260625_152944,CP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/01_CP/CP_chunk006.csv,5,2048,552,573,0.840507,0.868792,21
sweep_20260625_152944,RBBM,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk002.csv,1,128,44,65,0.064963,0.092594,21
sweep_20260625_152944,RBBM,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk002.csv,2,256,188,209,0.271736,0.30388,21
sweep_20260625_152944,RBBM,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk002.csv,3,512,329,351,0.478265,0.511875,22
sweep_20260625_152944,RBBM,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk002.csv,4,1024,461,482,0.672887,0.702278,21
sweep_20260625_152944,RBBM,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk002.csv,5,2048,602,624,0.87937,0.913346,22
sweep_20260625_152944,RBBM,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk003.csv,1,128,47,68,0.071021,0.099922,21
sweep_20260625_152944,RBBM,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk003.csv,2,256,181,202,0.264509,0.294763,21
sweep_20260625_152944,RBBM,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk003.csv,3,512,311,332,0.458203,0.487462,21
sweep_20260625_152944,RBBM,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk003.csv,4,1024,439,461,0.650123,0.681588,22
sweep_20260625_152944,RBBM,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/02_RBBM/RBBM_chunk003.csv,5,2048,581,603,0.858425,0.88858,22
sweep_20260625_152944,HLSQ,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk001.csv,1,128,51,72,0.07857,0.108117,21
sweep_20260625_152944,HLSQ,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk001.csv,2,256,189,210,0.27926,0.307792,21
sweep_20260625_152944,HLSQ,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk001.csv,3,512,330,351,0.486275,0.514945,21
sweep_20260625_152944,HLSQ,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk001.csv,4,1024,450,472,0.666084,0.69644,22
sweep_20260625_152944,HLSQ,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk001.csv,5,2048,591,612,0.871787,0.900779,21
sweep_20260625_152944,HLSQ,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk002.csv,1,128,51,73,0.076571,0.106107,22
sweep_20260625_152944,HLSQ,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk002.csv,2,256,182,203,0.265117,0.293314,21
sweep_20260625_152944,HLSQ,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk002.csv,3,512,310,331,0.450914,0.47967,21
sweep_20260625_152944,HLSQ,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk002.csv,4,1024,445,467,0.652541,0.68507,22
sweep_20260625_152944,HLSQ,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk002.csv,5,2048,565,586,0.836781,0.867378,21
sweep_20260625_152944,HLSQ,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk003.csv,1,128,46,1870,0.069672,2.876244,1824
sweep_20260625_152944,HLSQ,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk003.csv,2,256,1911,1932,2.946519,2.980987,21
sweep_20260625_152944,HLSQ,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk003.csv,3,512,1924,1945,2.968681,3.003121,21
sweep_20260625_152944,HLSQ,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk003.csv,4,1024,1932,1953,2.982542,3.016871,21
sweep_20260625_152944,HLSQ,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk003.csv,5,2048,2098,2119,3.261133,3.294074,21
sweep_20260625_152944,HLSQ,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk004.csv,1,128,60,81,0.091746,0.11927,21
sweep_20260625_152944,HLSQ,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk004.csv,2,256,189,210,0.276475,0.308057,21
sweep_20260625_152944,HLSQ,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk004.csv,3,512,329,350,0.481949,0.510074,21
sweep_20260625_152944,HLSQ,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk004.csv,4,1024,472,493,0.689607,0.717959,21
sweep_20260625_152944,HLSQ,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk004.csv,5,2048,596,618,0.871564,0.901093,22
sweep_20260625_152944,HLSQ,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk005.csv,1,128,43,65,0.066412,0.097252,22
sweep_20260625_152944,HLSQ,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk005.csv,2,256,178,199,0.264022,0.29217,21
sweep_20260625_152944,HLSQ,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk005.csv,3,512,313,334,0.460059,0.489095,21
sweep_20260625_152944,HLSQ,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk005.csv,4,1024,452,474,0.662488,0.693588,22
sweep_20260625_152944,HLSQ,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk005.csv,5,2048,584,605,0.857148,0.887688,21
sweep_20260625_152944,HLSQ,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk006.csv,1,128,53,74,0.078651,0.106298,21
sweep_20260625_152944,HLSQ,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk006.csv,2,256,178,200,0.257412,0.287758,22
sweep_20260625_152944,HLSQ,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk006.csv,3,512,325,347,0.470674,0.50083,22
sweep_20260625_152944,HLSQ,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk006.csv,4,1024,454,475,0.661689,0.689339,21
sweep_20260625_152944,HLSQ,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk006.csv,5,2048,590,611,0.860748,0.890833,21
sweep_20260625_152944,HLSQ,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk008.csv,1,128,53,74,0.083598,0.114777,21
sweep_20260625_152944,HLSQ,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk008.csv,2,256,176,197,0.267904,0.300607,21
sweep_20260625_152944,HLSQ,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk008.csv,3,512,310,331,0.465516,0.494793,21
sweep_20260625_152944,HLSQ,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk008.csv,4,1024,440,462,0.660055,0.689744,22
sweep_20260625_152944,HLSQ,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk008.csv,5,2048,565,587,0.84689,0.879885,22
sweep_20260625_152944,HLSQ,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk010.csv,1,128,50,72,0.074743,0.104785,22
sweep_20260625_152944,HLSQ,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk010.csv,2,256,180,202,0.263522,0.292702,22
sweep_20260625_152944,HLSQ,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk010.csv,3,512,312,333,0.455646,0.484346,21
sweep_20260625_152944,HLSQ,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk010.csv,4,1024,450,472,0.656695,0.685783,22
sweep_20260625_152944,HLSQ,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk010.csv,5,2048,568,589,0.835318,0.867121,21
sweep_20260625_152944,HLSQ,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk011.csv,1,128,45,67,0.067194,0.098575,22
sweep_20260625_152944,HLSQ,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk011.csv,2,256,169,190,0.250858,0.278618,21
sweep_20260625_152944,HLSQ,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk011.csv,3,512,308,329,0.45533,0.483377,21
sweep_20260625_152944,HLSQ,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk011.csv,4,1024,441,462,0.648946,0.677234,21
sweep_20260625_152944,HLSQ,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk011.csv,5,2048,570,591,0.840957,0.871341,21
sweep_20260625_152944,HLSQ,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk012.csv,1,128,42,63,0.063531,0.09068,21
sweep_20260625_152944,HLSQ,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk012.csv,2,256,169,190,0.245243,0.272836,21
sweep_20260625_152944,HLSQ,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk012.csv,3,512,310,331,0.449686,0.478204,21
sweep_20260625_152944,HLSQ,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk012.csv,4,1024,431,452,0.627391,0.657529,21
sweep_20260625_152944,HLSQ,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk012.csv,5,2048,574,595,0.834395,0.864373,21
sweep_20260625_152944,HLSQ,13,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk013.csv,1,128,53,74,0.081588,0.11047,21
sweep_20260625_152944,HLSQ,13,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk013.csv,2,256,180,201,0.26826,0.298294,21
sweep_20260625_152944,HLSQ,13,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk013.csv,3,512,312,333,0.461512,0.490768,21
sweep_20260625_152944,HLSQ,13,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk013.csv,4,1024,441,462,0.653275,0.683738,21
