run,group,chunk,csv_path,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
sweep_20260625_152944,UCHE,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk006.csv,2393,24,0,5,False
sweep_20260625_152944,UCHE,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk007.csv,2406,24,0,5,False
sweep_20260625_152944,UCHE,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk008.csv,2404,24,0,5,False
sweep_20260625_152944,UCHE,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/09_UCHE/UCHE_chunk009.csv,2491,11,0,5,False
sweep_20260625_152944,TP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk001.csv,2498,12,0,5,False
sweep_20260625_152944,TP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk002.csv,2486,12,0,5,False
sweep_20260625_152944,TP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk003.csv,2489,12,0,5,False
sweep_20260625_152944,TP,4,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk004.csv,2483,12,0,5,False
sweep_20260625_152944,TP,5,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk005.csv,2460,12,0,5,False
sweep_20260625_152944,TP,6,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk006.csv,2480,12,0,5,False
sweep_20260625_152944,TP,7,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk007.csv,2483,12,0,5,False
sweep_20260625_152944,TP,8,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk008.csv,2482,12,0,5,False
sweep_20260625_152944,TP,9,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk009.csv,2479,12,0,5,False
sweep_20260625_152944,TP,10,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk010.csv,2469,12,0,5,False
sweep_20260625_152944,TP,11,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk011.csv,2474,12,0,5,False
sweep_20260625_152944,TP,12,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/10_TP/TP_chunk012.csv,2493,11,0,5,False
sweep_20260625_152944,SP,1,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk001.csv,2396,24,5,5,True
sweep_20260625_152944,SP,2,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk002.csv,2391,24,5,5,True
sweep_20260625_152944,SP,3,/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/11_SP/SP_chunk003.csv,2388,24,5,5,True
