run,group,counter,label,total_all_widths,total_width_first,total_width_last,scaling_ratio_last_over_first,corr_total_vs_width,total_w128,total_w256,total_w512,total_w1024,total_w2048
sweep_20260625_152944,CP,CP_AHB_STALL_SQE_GMU,flat_or_saturated,3010.0,3010.0,0.0,0.0,-0.47660312381939823,3010.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AHB_STALL_SQE_RD_OTHER,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AHB_STALL_SQE_WR_OTHER,flat_or_saturated,4.0,4.0,0.0,0.0,-0.47660312381939807,4.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AHB_WR_STALL_PRE_DRAWS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_ALWAYS_COUNT,flat_or_saturated,766984109.0,670577854.0,7866139.0,0.011730388877411391,-0.48658341358144663,670577854.0,9061827.0,33155234.0,46323055.0,7866139.0
sweep_20260625_152944,CP,CP_AQE_NUM_AS_CHUNKS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AQE_NUM_MS_CHUNKS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_AQE_SQE_STALL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_BUSY_CYCLES,flat_or_saturated,21303602.0,18098871.0,194112.0,0.010725088874328128,-0.500446609501667,18098871.0,68517.0,1919525.0,1022577.0,194112.0
sweep_20260625_152944,CP,CP_BUSY_GFX_CORE_IDLE,flat_or_saturated,9622046.0,7609036.0,194138.0,0.02551413871612646,-0.4828325868786567,7609036.0,68539.0,727621.0,1022712.0,194138.0
sweep_20260625_152944,CP,CP_CACHE_FLUSH,flat_or_saturated,143.0,137.0,0.0,0.0,-0.4903573889785067,137.0,0.0,6.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_S_EMPTY,flat_or_saturated,776920509.0,725246534.0,6196197.0,0.0085435734050678,-0.49459500790416766,725246534.0,31962345.0,6438547.0,7076886.0,6196197.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_S_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_US_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_FE_U_EMPTY,flat_or_saturated,776408696.0,724748612.0,6184254.0,0.00853296425492154,-0.49461955250107165,724748612.0,31963175.0,6435767.0,7076888.0,6184254.0
sweep_20260625_152944,CP,CP_CLUSTER_GRAS_EMPTY,flat_or_saturated,776981426.0,725309505.0,6186199.0,0.008529047196203503,-0.4946072572311628,725309505.0,31959141.0,6449825.0,7076756.0,6186199.0
sweep_20260625_152944,CP,CP_CLUSTER_GRAS_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_PS_EMPTY,flat_or_saturated,775446153.0,724312754.0,5641856.0,0.007789253977433069,-0.4952219092537626,724312754.0,31956697.0,6458189.0,7076657.0,5641856.0
sweep_20260625_152944,CP,CP_CLUSTER_PS_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_SP_PS_EMPTY,flat_or_saturated,775565281.0,724422207.0,5655394.0,0.007806765095482502,-0.49520302056411747,724422207.0,31958321.0,6452627.0,7076732.0,5655394.0
sweep_20260625_152944,CP,CP_CLUSTER_SP_PS_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_SP_VS_EMPTY,flat_or_saturated,776416130.0,724798001.0,6138366.0,0.00846907137096257,-0.49466931971351735,724798001.0,31961539.0,6441364.0,7076860.0,6138366.0
sweep_20260625_152944,CP,CP_CLUSTER_SP_VS_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_VPC_PS_EMPTY,flat_or_saturated,776981510.0,725313459.0,6178446.0,0.008518311529084697,-0.4946169938652265,725313459.0,31957515.0,6455409.0,7076681.0,6178446.0
sweep_20260625_152944,CP,CP_CLUSTER_VPC_PS_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_VPC_US_EMPTY,flat_or_saturated,775953658.0,724795960.0,5675948.0,0.007831097734043661,-0.49516899804203074,724795960.0,31960749.0,6444169.0,7076832.0,5675948.0
sweep_20260625_152944,CP,CP_CLUSTER_VPC_US_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CLUSTER_VPC_VS_EMPTY,flat_or_saturated,776981088.0,725307919.0,6189445.0,0.008533541186939667,-0.4946030353159205,725307919.0,31959943.0,6446997.0,7076784.0,6189445.0
sweep_20260625_152944,CP,CP_CLUSTER_VPC_VS_FULL,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_CONTEXT_DONE,flat_or_saturated,3273.0,2983.0,0.0,0.0,-0.5062161093115518,2983.0,0.0,290.0,0.0,0.0
sweep_20260625_152944,CP,CP_DCACHE_HITS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_DCACHE_MISSES,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_DCACHE_STALLS,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_DEAD_DRAWS_IN_BIN_RENDER,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_ICACHE_HITS,moderate_width_scaling,540466.0,71982.0,179709.0,2.4965824789530715,0.9995803578027596,71982.0,75683.0,91669.0,121423.0,179709.0
sweep_20260625_152944,CP,CP_ICACHE_MISSES,flat_or_saturated,3113.0,652.0,534.0,0.8190184049079755,-0.9174635053506155,652.0,642.0,643.0,642.0,534.0
sweep_20260625_152944,CP,CP_ICACHE_STALL,flat_or_saturated,289058.0,44427.0,53135.0,1.196006932721093,-0.0264913436084372,44427.0,63665.0,64525.0,63306.0,53135.0
sweep_20260625_152944,CP,CP_ISR_CYCLES,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_LONG_PREEMPTIONS,flat_or_saturated,1.0,1.0,0.0,0.0,-0.47660312381939807,1.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_MEMORY_POOL_ABOVE_THRESH,flat_or_saturated,1866617.0,855668.0,505072.0,0.5902663182449268,0.1564738028209903,855668.0,0.0,0.0,505877.0,505072.0
sweep_20260625_152944,CP,CP_MEMORY_POOL_BELOW_THRESH,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_MEMORY_POOL_EMPTY,flat_or_saturated,802447849.0,764824585.0,3097293.0,0.004049677613331428,-0.49201902959834504,764824585.0,25361275.0,4999014.0,4165682.0,3097293.0
sweep_20260625_152944,CP,CP_MEMORY_POOL_SYNC_STALL,flat_or_saturated,1857703.0,855573.0,501156.0,0.5857548099343949,0.15162676003265138,855573.0,0.0,0.0,500974.0,501156.0
sweep_20260625_152944,CP,CP_MODE_SWITCH,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_NEVER_COUNT,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_NUM_PREEMPTIONS,flat_or_saturated,31.0,30.0,0.0,0.0,-0.48712807367681193,30.0,0.0,1.0,0.0,0.0
sweep_20260625_152944,CP,CP_OUTPUT_BLOCKED,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_PM4_DATA,flat_or_saturated,827.0,183.0,161.0,0.8797814207650273,-0.4766031238193981,183.0,161.0,161.0,161.0,161.0
sweep_20260625_152944,CP,CP_PM4_HEADERS,flat_or_saturated,905.0,181.0,181.0,1.0,0.0,181.0,181.0,181.0,181.0,181.0
sweep_20260625_152944,CP,CP_PREDICATED_DRAWS_KILLED,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_PREEMPTION_REACTION_DELAY,flat_or_saturated,151668.0,150131.0,0.0,0.0,-0.4798720200373881,150131.0,0.0,1537.0,0.0,0.0
sweep_20260625_152944,CP,CP_PREEMPTION_SWITCH_IN_TIME,flat_or_saturated,905526.0,875214.0,0.0,0.0,-0.48753151026249614,875214.0,0.0,30312.0,0.0,0.0
sweep_20260625_152944,CP,CP_PREEMPTION_SWITCH_OUT_TIME,flat_or_saturated,1237574.0,1198334.0,0.0,0.0,-0.48694551772604844,1198334.0,0.0,39240.0,0.0,0.0
sweep_20260625_152944,CP,CP_SQE_AQE_STARVE,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_SQE_CTXT_REG_BUNCH_EXEC,moderate_width_scaling,500.0,90.0,205.0,2.2777777777777777,0.7626637634112509,90.0,0.0,0.0,205.0,205.0
sweep_20260625_152944,CP,CP_SQE_DRAW_EXEC,zero_all_widths,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
sweep_20260625_152944,CP,CP_SQE_EXEC_PROFILED,flat_or_saturated,802653376.0,765039627.0,3069362.0,0.004012030085338312,-0.4920691652115664,765039627.0,25395939.0,5004193.0,4144255.0,3069362.0
