elapsed_s,SP_LPAC_INSTRUCTIONS,SP_FS_STAGE_1X_WAVES,SP_FS_STAGE_2X_WAVES,SP_QUADS,SP_CS_INVOCATIONS,SP_PIXELS,SP_LPAC_DRAWCALLS,SP_PI_WORKING_CYCLES,SP_WAVE_INPUT_CYCLES,SP_WAVE_OUTPUT_CYCLES,SP_WAVE_HWAVE_WAIT_CYCLES,SP_WAVE_HWAVE_SYNC,SP_OUTPUT_3D_PIXELS,SP_FULL_ALU_MAD_INSTRUCTIONS,SP_HALF_ALU_MAD_INSTRUCTIONS,SP_FULL_ALU_MUL_INSTRUCTIONS,SP_HALF_ALU_MUL_INSTRUCTIONS,SP_FULL_ALU_ADD_INSTRUCTIONS,SP_HALF_ALU_ADD_INSTRUCTIONS,SP_BARY_FP32_INSTRUCTIONS,SP_ALU_GPR_READ_CYCLES,SP_ALU_DATA_FORWARDING_CYCLES,SP_LM_FULL_CYCLES,SP_TEXTURE_FETCH_LATENCY_CYCLES
0.001171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.014140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.017877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.021392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.023166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
