elapsed_s,HLSQ_LPAC_S2W_CYCLES_SP,HLSQ_BV_S2W_CYCLES_SP,HLSQ_L2STC_REQ_HLSQ,HLSQ_L2STC_REQ_HLSQ_HIT,HLSQ_L2STC_REQ_SP,HLSQ_L2STC_REQ_SP_HIT
0.001104,0,0,0,0,0,0
0.002653,0,0,0,0,0,0
0.004251,0,0,0,0,0,0
0.005762,0,0,0,0,0,0
0.007504,0,0,0,0,0,0
0.009299,0,0,0,0,0,0
0.010805,0,0,0,0,0,0
0.012164,0,0,0,0,0,0
0.013587,0,0,0,0,0,0
0.014951,0,0,0,0,0,0
0.017688,0,0,0,0,0,0
0.019170,0,0,0,0,0,0
0.020698,0,0,0,0,0,0
0.022172,0,0,0,0,0,0
0.023635,0,0,0,0,0,0
0.025067,0,0,0,0,0,0
0.026499,0,0,0,0,0,0
0.027931,0,0,0,0,0,0
0.029380,0,0,0,0,0,0
0.030926,0,0,0,0,0,0
0.032376,0,0,0,0,0,0
0.033750,0,0,0,0,0,0
0.035139,0,0,0,0,0,0
0.036464,0,0,0,0,0,0
0.037805,0,0,0,0,0,0
0.039138,0,0,0,0,0,0
0.040630,0,0,0,0,0,0
0.041989,0,0,0,0,0,0
0.043344,0,0,0,0,0,0
0.044695,0,0,0,0,0,0
0.046045,0,0,0,0,0,0
0.047467,0,0,0,0,0,0
0.048907,0,0,0,0,0,0
0.050283,0,0,0,0,0,0
0.051678,0,0,0,0,0,0
0.053038,0,0,0,0,0,0
0.054389,0,0,0,0,0,0
0.055798,0,0,0,0,0,0
0.057152,0,0,0,0,0,0
0.058521,0,0,0,0,0,0
0.059875,0,0,0,0,0,0
0.061230,0,0,0,0,0,0
0.062593,0,0,0,0,0,0
0.065368,0,0,0,0,0,0
0.066784,0,0,0,0,0,0
0.068196,0,0,80,40,72,66
0.069447,0,0,0,0,684,684
0.070697,0,0,0,0,648,648
0.071969,0,0,0,0,720,720
0.073228,0,0,0,0,648,648
0.074479,0,0,0,0,648,666
0.075728,0,0,0,0,684,666
0.076978,0,0,0,0,666,684
0.078230,0,0,0,0,666,648
0.079528,0,0,0,0,684,684
0.080782,0,0,0,0,684,684
0.082397,0,0,0,0,864,864
0.083650,0,0,0,0,684,684
0.084908,0,0,0,0,648,648
0.086193,0,0,0,0,216,216
0.087663,0,0,0,0,0,0
0.089057,0,0,0,0,0,0
0.090452,0,0,0,0,0,0
0.091847,0,0,0,0,0,0
0.093242,0,0,0,0,0,0
0.094635,0,0,0,0,0,0
0.096075,0,0,0,0,0,0
0.097484,0,0,0,0,0,0
0.098882,0,0,0,0,0,0
0.102268,0,0,0,0,0,0
0.103703,0,0,0,0,0,0
0.105092,0,0,0,0,0,0
0.106483,0,0,0,0,0,0
0.107891,0,0,0,0,0,0
0.109278,0,0,0,0,0,0
0.110665,0,0,0,0,0,0
0.112056,0,0,0,0,0,0
0.113447,0,0,0,0,0,0
0.114837,0,0,0,0,0,0
0.116241,0,0,0,0,0,0
0.117630,0,0,0,0,0,0
0.119085,0,0,0,0,0,0
0.120560,0,0,0,0,0,0
0.121951,0,0,0,0,0,0
0.123341,0,0,0,0,0,0
0.124734,0,0,0,0,0,0
0.126247,0,0,0,0,0,0
0.127672,0,0,0,0,0,0
0.129199,0,0,0,0,0,0
0.130750,0,0,0,0,0,0
0.132375,0,0,0,0,0,0
0.133934,0,0,0,0,0,0
0.135541,0,0,0,0,0,0
0.137102,0,0,0,0,0,0
0.138769,0,0,0,0,0,0
0.140350,0,0,0,0,0,0
0.141910,0,0,0,0,0,0
0.143517,0,0,0,0,0,0
0.145078,0,0,0,0,0,0
0.146637,0,0,0,0,0,0
0.148261,0,0,0,0,0,0
0.149822,0,0,0,0,0,0
0.151442,0,0,0,0,0,0
0.153004,0,0,0,0,0,0
0.154563,0,0,0,0,0,0
0.156124,0,0,0,0,0,0
0.157686,0,0,0,0,0,0
0.159249,0,0,0,0,0,0
0.160855,0,0,0,0,0,0
0.162305,0,0,0,0,0,0
0.163840,0,0,0,0,0,0
0.165390,0,0,0,0,0,0
0.166941,0,0,0,0,0,0
0.168473,0,0,0,0,0,0
0.169910,0,0,0,0,0,0
0.171313,0,0,0,0,0,0
0.172722,0,0,0,0,0,0
0.174120,0,0,0,0,0,0
0.175556,0,0,0,0,0,0
0.177054,0,0,0,0,0,0
0.178614,0,0,0,0,0,0
0.180175,0,0,0,0,0,0
0.181737,0,0,0,0,0,0
0.183314,0,0,0,0,0,0
0.184922,0,0,0,0,0,0
0.186481,0,0,0,0,0,0
0.188042,0,0,0,0,0,0
0.189605,0,0,0,0,0,0
0.191170,0,0,0,0,0,0
0.192765,0,0,0,0,0,0
0.194327,0,0,0,0,0,0
0.195768,0,0,0,0,0,0
0.197193,0,0,0,0,0,0
0.198727,0,0,0,0,0,0
0.200293,0,0,0,0,0,0
0.201852,0,0,0,0,0,0
0.203414,0,0,0,0,0,0
0.204979,0,0,0,0,0,0
0.206529,0,0,0,0,0,0
0.208000,0,0,0,0,0,0
0.209529,0,0,0,0,0,0
0.211092,0,0,0,0,0,0
0.212650,0,0,0,0,0,0
0.214208,0,0,0,0,0,0
0.215703,0,0,0,0,0,0
0.217234,0,0,0,0,0,0
0.218791,0,0,0,0,0,0
0.220354,0,0,0,0,0,0
0.221911,0,0,0,0,0,0
0.223516,0,0,0,0,0,0
0.225075,0,0,0,0,0,0
0.226646,0,0,0,0,0,0
0.228266,0,0,0,0,0,0
0.229826,0,0,0,0,0,0
0.231386,0,0,0,0,0,0
0.232945,0,0,0,0,0,0
0.234502,0,0,0,0,0,0
0.236061,0,0,0,0,0,0
0.237634,0,0,0,0,0,0
0.239195,0,0,0,0,0,0
0.240798,0,0,0,0,0,0
0.242355,0,0,0,0,0,0
0.243913,0,0,0,0,0,0
0.245472,0,0,0,0,0,0
0.247031,0,0,0,0,0,0
0.248644,0,0,0,0,0,0
0.250102,0,0,0,0,0,0
0.251640,0,0,0,0,0,0
0.253202,0,0,0,0,0,0
0.254761,0,0,0,0,0,0
0.256328,0,0,0,0,0,0
0.257887,0,0,0,0,0,0
0.259463,0,0,0,0,0,0
0.261015,0,0,0,0,0,0
0.262566,0,0,0,0,0,0
0.263998,0,0,0,0,0,0
0.265530,0,0,0,0,0,0
0.267092,0,0,0,0,0,0
0.268654,0,0,0,0,0,0
0.270226,0,0,0,0,0,0
0.271831,0,0,0,0,0,0
0.273393,0,0,0,0,0,0
0.274952,0,0,0,0,0,0
0.276557,0,0,0,0,0,0
0.278116,0,0,0,0,0,0
0.279723,0,0,0,0,0,0
0.281299,0,0,0,0,0,0
0.282858,0,0,0,0,0,0
0.284425,0,0,0,0,0,0
0.285983,0,0,0,0,0,0
0.287588,0,0,0,0,0,0
0.289150,0,0,0,0,0,0
0.290709,0,0,0,0,0,0
0.292338,0,0,0,0,0,0
0.293898,0,0,0,0,0,0
0.295505,0,0,0,0,0,0
0.297058,0,0,0,0,0,0
0.298608,0,0,0,0,0,0
0.300036,0,0,0,0,0,0
0.301568,0,0,0,0,0,0
0.303144,0,0,0,0,0,0
0.304749,0,0,0,0,0,0
0.306207,0,0,0,0,0,0
0.307648,0,0,0,0,0,0
0.309054,0,0,0,0,0,0
0.310502,0,0,0,0,0,0
0.311902,0,0,0,0,0,0
0.313313,0,0,0,0,0,0
0.314850,0,0,0,0,0,0
0.316286,0,0,0,0,0,0
0.317692,0,0,0,0,0,0
0.319092,0,0,0,0,0,0
0.320491,0,0,0,0,0,0
0.321888,0,0,0,0,0,0
0.323282,0,0,0,0,0,0
0.324683,0,0,0,0,0,0
0.326198,0,0,0,0,0,0
0.327668,0,0,0,0,0,0
0.329197,0,0,0,0,0,0
0.330754,0,0,0,0,0,0
0.332316,0,0,0,0,0,0
0.334185,0,0,0,0,0,0
0.335626,0,0,0,0,0,0
0.337307,0,0,0,0,0,0
0.338724,0,0,0,0,0,0
0.340218,0,0,0,0,0,0
0.341725,0,0,0,0,0,0
0.343235,0,0,0,0,0,0
0.344620,0,0,0,0,0,0
0.346028,0,0,0,0,0,0
0.347424,0,0,0,0,0,0
0.350217,0,0,0,0,0,0
0.351743,0,0,0,0,0,0
0.353218,0,0,0,0,0,0
0.354658,0,0,0,0,0,0
0.356195,0,0,0,0,0,0
0.357566,0,0,0,0,0,0
0.358921,0,0,0,0,0,0
0.360292,0,0,0,0,0,0
0.361699,0,0,0,0,0,0
0.363113,0,0,0,0,0,0
0.364506,0,0,0,0,0,0
0.365897,0,0,0,0,0,0
0.367302,0,0,0,0,0,0
0.368840,0,0,0,0,0,0
0.370275,0,0,0,0,0,0
0.371687,0,0,0,0,0,0
0.373089,0,0,0,0,0,0
0.374486,0,0,0,0,0,0
0.375927,0,0,0,0,0,0
0.377336,0,0,0,0,0,0
0.378731,0,0,0,0,0,0
0.380257,0,0,0,0,0,0
0.381815,0,0,0,0,0,0
0.383377,0,0,0,0,0,0
0.384936,0,0,0,0,0,0
0.386494,0,0,0,0,0,0
0.388783,0,0,0,0,0,0
0.391712,0,0,0,0,0,0
0.393080,0,0,0,0,0,0
0.394426,0,0,0,0,0,0
0.395775,0,0,0,0,0,0
0.397130,0,0,0,0,0,0
0.398496,0,0,0,0,0,0
0.399861,0,0,0,0,0,0
0.402202,0,0,0,0,0,0
0.403841,0,0,0,0,0,0
0.405242,0,0,0,0,0,0
0.406635,0,0,0,0,0,0
0.408064,0,0,0,0,0,0
0.409467,0,0,0,0,0,0
0.410857,0,0,0,0,0,0
0.412289,0,0,0,0,0,0
0.413813,0,0,0,0,0,0
0.415376,0,0,0,0,0,0
0.416939,0,0,0,0,0,0
0.418498,0,0,0,0,0,0
0.420072,0,0,0,0,0,0
0.421633,0,0,0,0,0,0
0.423195,0,0,0,0,0,0
0.424802,0,0,0,0,0,0
0.426362,0,0,0,0,0,0
0.427922,0,0,0,0,0,0
0.429484,0,0,0,0,0,0
0.431061,0,0,0,0,0,0
0.432623,0,0,0,0,0,0
0.434182,0,0,0,0,0,0
0.435745,0,0,0,0,0,0
0.437297,0,0,0,0,0,0
0.438847,0,0,0,0,0,0
0.440363,0,0,0,0,0,0
0.441774,0,0,0,0,0,0
0.443303,0,0,0,0,0,0
0.444863,0,0,0,0,0,0
0.446421,0,0,0,0,0,0
0.448024,0,0,0,0,0,0
0.449681,0,0,0,0,0,0
0.451171,0,0,0,0,0,0
