elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.001099,0,0,0,0,0,0,0,0,0,0,0,0
0.002583,0,0,0,0,0,0,0,0,0,0,0,0
0.004034,0,0,0,0,0,0,0,0,0,0,0,0
0.005484,0,0,0,0,0,0,0,0,0,0,0,0
0.006932,0,0,0,0,0,0,0,0,0,0,0,0
0.008476,0,0,0,0,0,0,0,0,0,0,0,0
0.009915,0,0,0,0,0,0,0,0,0,0,0,0
0.011332,0,0,0,0,0,0,0,0,0,0,0,0
0.012748,0,0,0,0,0,0,0,0,0,0,0,0
0.014163,0,0,0,0,0,0,0,0,0,0,0,0
0.015586,0,0,0,0,0,0,0,0,0,0,0,0
0.017074,0,0,0,0,0,0,0,0,0,0,0,0
0.018540,0,0,0,0,0,0,0,0,0,0,0,0
0.019986,0,0,0,0,0,0,0,0,0,0,0,0
0.021433,0,0,0,0,0,0,0,0,0,0,0,0
0.022879,0,0,0,0,0,0,0,0,0,0,0,0
0.024434,0,0,0,0,0,0,0,0,0,0,0,0
0.025950,0,0,0,0,0,0,0,0,0,0,0,0
0.027474,0,0,0,0,0,0,0,0,0,0,0,0
0.028888,0,0,0,0,0,0,0,0,0,0,0,0
0.030289,0,0,0,0,0,0,0,0,0,0,0,0
0.031705,0,0,0,0,0,0,0,0,0,0,0,0
0.033104,0,0,0,0,0,0,0,0,0,0,0,0
0.034552,0,0,0,0,0,0,0,0,0,0,0,0
0.036002,0,0,0,0,0,0,0,0,0,0,0,0
0.037485,0,0,0,0,0,0,0,0,0,0,0,0
0.038836,0,0,0,0,0,0,0,0,0,0,0,0
0.040361,0,0,0,0,0,0,0,0,0,0,0,0
0.041956,0,0,0,0,0,0,0,0,0,0,0,0
0.043557,0,0,0,0,0,0,0,0,0,0,0,0
0.044967,0,0,0,0,0,0,0,0,0,0,0,0
0.046370,0,0,0,0,0,0,0,0,0,0,0,0
0.047826,0,0,0,0,0,0,0,0,0,0,0,0
0.049196,0,0,0,0,0,0,0,0,0,0,0,0
0.050533,0,0,0,0,0,0,0,0,0,0,0,0
0.051864,0,0,0,0,0,0,0,0,0,0,0,0
0.053193,0,0,0,0,0,0,0,0,0,0,0,0
0.054518,0,0,0,0,0,0,0,0,0,0,0,0
0.055909,0,0,0,0,0,0,0,0,0,0,0,0
0.057295,0,0,0,0,0,0,0,0,0,0,0,0
0.058677,0,0,0,0,0,0,0,1728,0,0,0,0
0.060217,0,0,0,0,0,0,0,0,0,0,0,0
0.061614,0,0,0,0,0,0,0,0,0,0,0,0
0.062997,0,0,0,0,0,0,0,0,0,0,0,0
0.064507,0,0,0,0,0,0,0,0,0,0,0,0
0.065948,0,0,0,0,0,0,0,0,0,0,0,0
0.067426,0,0,0,0,0,0,0,0,0,0,0,0
0.068865,0,0,0,0,0,0,0,0,0,0,0,0
0.070259,0,44160,46080,47232,50304,52992,54290,669365,658126,0,0,0
0.071546,0,571392,572496,572442,571392,571776,572974,5740640,5279210,0,0,0
0.072841,0,530432,529434,529416,530432,530432,529617,5300100,4877528,0,0,0
0.074078,0,527360,528406,529742,528066,527360,528751,5314783,4875239,0,0,0
0.075315,0,532352,531200,531088,532798,533120,531216,5244266,4823859,0,0,0
0.076559,0,534656,535808,535624,533604,533248,534768,5226501,4760332,0,0,0
0.077797,0,534860,532588,531256,530204,529792,529408,5136254,4716285,0,0,0
0.079036,0,530100,531055,531584,534656,535808,536576,5165612,4712600,0,0,0
0.080386,0,585488,583845,582528,583614,583622,582271,5708284,5249566,0,0,0
0.081679,0,556272,558528,559360,558146,558138,558337,5409514,4961493,0,0,0
0.083161,0,673792,674496,676736,675842,674000,674304,6556779,5982391,0,0,0
0.084532,0,556032,556032,555964,555166,555824,556672,5363003,4920327,0,0,0
0.085820,0,558080,557280,555146,556896,557824,556673,5445864,5013248,0,0,0
0.087108,0,574464,575264,575962,574464,574720,575871,5544511,5062107,0,0,0
0.088478,0,571392,570816,570513,571392,571392,570688,5475511,5019967,0,0,0
0.089761,0,555136,555584,557384,556631,555072,555456,5393914,4924891,0,0,0
0.091043,0,552832,552842,551301,551337,552896,553216,5288153,4831845,0,0,0
