elapsed_s,TP_QUADS_CONSTANT_MULTIPLIED,TP_FRONTEND_WORKING_CYCLES,TP_L1_TAG_WORKING_CYCLES,TP_L1_DATA_WRITE_WORKING_CYCLES,TP_PRE_L1_DECOM_WORKING_CYCLES,TP_BACKEND_WORKING_CYCLES,TP_L1_5_CACHE_WORKING_CYCLES,TP_STARVE_CYCLES_SP,TP_STARVE_CYCLES_UCHE,TP_STALL_CYCLES_UFC,TP_FORMAT_DECOMP_POINT,TP_FILTER_POINT_FP16
0.148478,0,0,0,0,0,0,0,0,0,0,0,0
0.150077,0,0,0,0,0,0,0,0,0,0,0,0
0.151670,0,0,0,0,0,0,0,0,0,0,0,0
0.153265,0,0,0,0,0,0,0,0,0,0,0,0
0.154860,0,0,0,0,0,0,0,0,0,0,0,0
0.156453,0,0,0,0,0,0,0,0,0,0,0,0
0.158068,0,0,0,0,0,0,0,0,0,0,0,0
0.159543,0,0,0,0,0,0,0,0,0,0,0,0
0.160976,0,0,0,0,0,0,0,0,0,0,0,0
0.162579,0,0,0,0,0,0,0,0,0,0,0,0
0.164172,0,0,0,0,0,0,0,0,0,0,0,0
0.165765,0,0,0,0,0,0,0,0,0,0,0,0
0.167357,0,0,0,0,0,0,0,0,0,0,0,0
0.169000,0,0,0,0,0,0,0,0,0,0,0,0
0.170607,0,0,0,0,0,0,0,0,0,0,0,0
0.172201,0,0,0,0,0,0,0,0,0,0,0,0
0.173793,0,0,0,0,0,0,0,0,0,0,0,0
0.175386,0,0,0,0,0,0,0,0,0,0,0,0
0.176979,0,0,0,0,0,0,0,0,0,0,0,0
0.178573,0,0,0,0,0,0,0,0,0,0,0,0
0.180164,0,0,0,0,0,0,0,0,0,0,0,0
0.181644,0,0,0,0,0,0,0,0,0,0,0,0
0.183080,0,0,0,0,0,0,0,0,0,0,0,0
0.184511,0,0,0,0,0,0,0,0,0,0,0,0
0.185944,0,0,0,0,0,0,0,0,0,0,0,0
0.187372,0,0,0,0,0,0,0,0,0,0,0,0
0.188803,0,0,0,0,0,0,0,0,0,0,0,0
0.190231,0,0,0,0,0,0,0,0,0,0,0,0
0.191796,0,0,0,0,0,0,0,0,0,0,0,0
0.193436,0,0,0,0,0,0,0,0,0,0,0,0
0.195029,0,0,0,0,0,0,0,0,0,0,0,0
0.196686,0,0,0,0,0,0,0,0,0,0,0,0
0.198342,0,0,0,0,0,0,0,0,0,0,0,0
0.199934,0,0,0,0,0,0,0,0,0,0,0,0
0.201527,0,0,0,0,0,0,0,0,0,0,0,0
0.203009,0,0,0,0,0,0,0,0,0,0,0,0
0.204572,0,0,0,0,0,0,0,0,0,0,0,0
0.206235,0,0,0,0,0,0,0,0,0,0,0,0
0.207826,0,0,0,0,0,0,0,0,0,0,0,0
0.209439,0,0,0,0,0,0,0,0,0,0,0,0
0.211031,0,0,0,0,0,0,0,0,0,0,0,0
0.212690,0,0,0,0,0,0,0,0,0,0,0,0
0.214359,0,0,0,0,0,0,0,0,0,0,0,0
0.215950,0,0,0,0,0,0,0,0,0,0,0,0
0.217543,0,0,0,0,0,0,0,0,0,0,0,0
0.219135,0,0,0,0,0,0,0,0,0,0,0,0
0.220729,0,0,0,0,0,0,0,0,0,0,0,0
0.222322,0,0,0,0,0,0,0,0,0,0,0,0
0.223913,0,0,0,0,0,0,0,0,0,0,0,0
0.225874,0,0,0,0,0,0,0,0,0,0,0,0
