elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.001103,0,0,0,0,0,0,0,12558
0.002628,0,0,0,0,0,0,0,12765
0.004085,0,0,0,0,0,0,0,14142
0.005539,0,0,0,0,0,0,0,13296
0.006991,0,0,0,0,0,0,0,13392
0.008442,0,0,0,0,0,0,0,12390
0.009907,0,0,0,0,0,0,0,12036
0.011472,0,0,0,0,0,0,0,13260
0.012935,0,0,0,0,0,0,0,13662
0.014389,0,0,0,0,0,0,0,13485
0.015897,0,0,0,0,0,0,0,13416
0.017387,0,0,0,0,0,0,0,12603
0.018845,0,0,0,0,0,0,0,12948
0.020338,0,0,0,0,0,0,0,13521
0.021723,0,0,0,0,0,0,0,13365
0.023154,0,0,0,0,0,0,0,14067
0.024538,0,0,0,0,0,0,0,12078
0.025919,0,0,0,0,0,0,0,13236
0.027301,0,0,0,0,0,0,0,12153
0.028683,0,0,0,0,0,0,0,12816
0.030066,0,0,0,0,0,0,0,12264
0.031507,0,0,0,0,0,0,0,12738
0.032899,0,0,0,0,0,0,0,13434
0.034280,0,0,0,0,0,0,0,12048
0.035753,0,0,0,0,0,0,0,11910
0.037134,0,0,0,0,0,0,0,12003
0.038453,0,0,0,0,0,0,0,11337
0.039822,0,0,0,0,0,0,0,11778
0.041143,0,0,0,0,0,0,0,11880
0.042517,0,0,0,0,0,0,0,11625
0.043933,0,0,0,0,0,0,0,12042
0.045257,0,0,0,0,0,0,0,11850
0.046581,0,0,0,0,0,0,0,11310
0.047903,0,0,0,0,0,0,0,10335
0.049178,0,0,0,0,0,0,0,9951
0.050452,0,0,0,0,0,0,0,10722
0.051851,0,0,0,0,0,0,0,10746
0.053127,0,0,0,0,0,0,0,10515
0.054570,0,0,0,0,0,0,0,11598
0.055936,0,0,0,0,0,0,0,11625
0.057318,0,0,0,0,0,0,0,11370
0.058682,0,0,0,0,0,0,0,10086
0.060046,0,0,0,0,0,0,0,10212
0.061416,0,0,0,0,0,0,0,10818
0.062797,0,0,0,0,0,0,0,11562
0.064222,0,0,0,0,0,0,0,12924
0.065636,0,0,0,0,0,0,0,12717
0.067571,0,0,0,0,0,0,0,11430
0.069056,0,0,0,0,0,0,0,11934
0.070541,0,0,0,0,0,0,0,27261
0.072132,0,0,0,0,0,0,0,11502
0.073589,0,0,0,0,0,0,0,12207
0.075061,0,0,0,0,0,0,0,11094
0.076513,0,0,0,0,0,0,0,11949
0.077968,0,0,0,0,0,0,0,11568
0.079421,0,0,0,0,0,0,0,9063
0.080827,0,0,0,0,0,0,0,9036
0.082231,0,0,0,0,0,0,0,33426
0.083633,0,0,0,0,0,0,0,0
0.086232,0,0,0,0,0,0,0,0
0.087496,0,0,0,0,0,0,0,0
0.088758,0,0,0,0,0,0,0,0
0.090019,0,0,0,0,0,0,0,0
0.091283,0,0,0,0,0,0,0,0
0.092548,0,0,0,0,0,0,0,0
0.093811,0,0,0,0,0,0,0,0
0.095076,0,0,0,0,0,0,0,0
0.096343,0,0,0,0,0,0,0,0
0.097766,0,0,0,0,0,0,0,21777
0.099233,0,0,0,0,0,0,0,13575
0.100719,0,0,0,0,0,0,0,14901
0.102125,0,0,0,0,0,0,0,14514
0.103530,0,0,0,0,0,0,0,15522
0.104937,0,0,0,0,0,0,0,14736
0.106341,0,0,0,0,0,0,0,14445
0.107825,0,0,0,0,0,0,0,15651
0.109237,0,0,0,0,0,0,0,14271
0.110650,0,0,0,0,0,0,0,14838
0.112059,0,0,0,0,0,0,0,14109
0.113462,0,0,0,0,0,0,0,14460
0.115058,0,0,0,0,0,0,0,13233
0.119573,0,0,0,0,0,0,0,14250
0.120977,0,0,0,0,0,0,0,15093
0.122405,0,0,0,0,0,0,0,14127
0.125824,0,0,0,0,0,0,0,13602
0.128160,0,0,0,0,0,0,0,14535
0.129573,0,0,0,0,0,0,0,13827
0.131107,0,0,0,0,0,0,0,15396
0.132523,0,0,0,0,0,0,0,14298
0.133889,0,0,0,0,0,0,0,14127
0.135252,0,0,0,0,0,0,0,13545
0.136621,0,0,0,0,0,0,0,13287
0.137982,0,0,0,0,0,0,0,13767
0.139342,0,0,0,0,0,0,0,14298
0.140720,0,0,0,0,0,0,0,14325
0.142082,0,0,0,0,0,0,0,14088
0.143445,0,0,0,0,0,0,0,13758
0.144806,0,0,0,0,0,0,0,14598
0.146166,0,0,0,0,0,0,0,13134
0.147660,0,0,0,0,0,0,0,13797
0.149245,0,0,0,0,0,0,0,13578
0.150819,0,0,0,0,0,0,0,13176
0.152406,0,0,0,0,0,0,0,13338
0.153979,0,0,0,0,0,0,0,13251
0.155550,0,0,0,0,0,0,0,13524
0.157124,0,0,0,0,0,0,0,13119
0.158733,0,0,0,0,0,0,0,13404
0.160346,0,0,0,0,0,0,0,14214
0.161767,0,0,0,0,0,0,0,13188
0.163235,0,0,0,0,0,0,0,14643
0.164647,0,0,0,0,0,0,0,13566
0.166056,0,0,0,0,0,0,0,13581
0.167466,0,0,0,0,0,0,0,14076
0.169057,0,0,0,0,0,0,0,14196
0.170632,0,0,0,0,0,0,0,13635
0.172197,0,0,0,0,0,0,0,13761
0.173652,0,0,0,0,0,0,0,17190
0.175064,0,0,0,0,0,0,0,13620
0.176476,0,0,0,0,0,0,0,14565
0.177886,0,0,0,0,0,0,0,13953
0.179339,0,0,0,0,0,0,0,13887
0.180749,0,0,0,0,0,0,0,14727
0.182286,0,0,0,0,0,0,0,13821
0.183877,0,0,0,0,0,0,0,14370
0.185448,0,0,0,0,0,0,0,14937
0.187023,0,0,0,0,0,0,0,14025
0.188596,0,0,0,0,0,0,0,13746
0.190167,0,0,0,0,0,0,0,13551
0.191612,0,0,0,0,0,0,0,13629
0.193155,0,0,0,0,0,0,0,13989
0.194742,0,0,0,0,0,0,0,13944
0.196359,0,0,0,0,0,0,0,14001
0.197931,0,0,0,0,0,0,0,14328
0.199502,0,0,0,0,0,0,0,13689
0.201065,0,0,0,0,0,0,0,13725
0.202686,0,0,0,0,0,0,0,13590
0.204117,0,0,0,0,0,0,0,13656
0.205540,0,0,0,0,0,0,0,14814
0.207079,0,0,0,0,0,0,0,13398
0.208651,0,0,0,0,0,0,0,13941
0.210221,0,0,0,0,0,0,0,14445
0.211808,0,0,0,0,0,0,0,14481
0.213308,0,0,0,0,0,0,0,13845
0.214896,0,0,0,0,0,0,0,13791
0.216358,0,0,0,0,0,0,0,14208
0.217898,0,0,0,0,0,0,0,14451
0.219472,0,0,0,0,0,0,0,13662
0.221044,0,0,0,0,0,0,0,13830
0.222616,0,0,0,0,0,0,0,14787
0.224190,0,0,0,0,0,0,0,13605
0.225762,0,0,0,0,0,0,0,13758
0.227391,0,0,0,0,0,0,0,14946
0.228964,0,0,0,0,0,0,0,13740
0.230536,0,0,0,0,0,0,0,13569
