elapsed_s,RB_VRS_4X2_QUADS,RB_VRS_4X4_QUADS,RB_STALL_CYCLES_HLSQ_INFO,RB_HLSQ_ACTIVE_INFO,RB_STALL_CYCLES_HLSQ_ATTR,RB_HLSQ_ACTIVE_ATTR,RB_STALL_CYCLES_ZMODE_SWITCH,RB_TOTAL_PASS_PIXELS
0.001098,0,0,0,0,0,0,0,0
0.002583,0,0,0,0,0,0,0,0
0.004044,0,0,0,0,0,0,0,0
0.005498,0,0,0,0,0,0,0,0
0.006950,0,0,0,0,0,0,0,0
0.008401,0,0,0,0,0,0,0,0
0.009864,0,0,0,0,0,0,0,0
0.011315,0,0,0,0,0,0,0,0
0.012766,0,0,0,0,0,0,0,0
0.014221,0,0,0,0,0,0,0,0
0.015672,0,0,0,0,0,0,0,0
0.017201,0,0,0,0,0,0,0,0
0.018621,0,0,0,0,0,0,0,0
0.020100,0,0,0,0,0,0,0,0
0.021519,0,0,0,0,0,0,0,0
0.022907,0,0,0,0,0,0,0,0
0.024292,0,0,0,0,0,0,0,0
0.025674,0,0,0,0,0,0,0,0
0.027056,0,0,0,0,0,0,0,0
0.028486,0,0,0,0,0,0,0,0
0.029870,0,0,0,0,0,0,0,0
0.031264,0,0,0,0,0,0,0,0
0.032697,0,0,0,0,0,0,0,0
0.034079,0,0,0,0,0,0,0,0
0.035445,0,0,0,0,0,0,0,0
0.036901,0,0,0,0,0,0,0,0
0.038265,0,0,0,0,0,0,0,0
0.039630,0,0,0,0,0,0,0,0
0.041021,0,0,0,0,0,0,0,0
0.042397,0,0,0,0,0,0,0,0
0.043761,0,0,0,0,0,0,0,0
0.045164,0,0,0,0,0,0,0,0
0.046544,0,0,0,0,0,0,0,0
0.048022,0,0,0,0,0,0,0,0
0.049479,0,0,0,0,0,0,0,0
0.050814,0,0,0,0,0,0,0,0
0.052182,0,0,0,0,0,0,0,0
0.053567,0,0,0,0,0,0,0,0
0.054888,0,0,0,0,0,0,0,0
0.056209,0,0,0,0,0,0,0,0
0.057639,0,0,0,0,0,0,0,0
0.058959,0,0,0,0,0,0,0,0
0.060281,0,0,0,0,0,0,0,0
0.061601,0,0,0,0,0,0,0,0
0.062922,0,0,0,0,0,0,0,0
0.064300,0,0,0,0,0,0,0,0
0.065571,0,0,0,0,0,0,0,0
0.066917,0,0,0,0,0,0,0,0
0.068278,0,0,0,0,0,0,0,0
0.069640,0,0,0,0,0,0,0,0
0.071006,0,0,0,0,0,0,0,0
0.072373,0,0,0,0,0,0,0,0
0.073740,0,0,0,0,0,0,0,0
0.075122,0,0,0,0,0,0,0,0
0.076489,0,0,0,0,0,0,0,0
0.077858,0,0,0,0,0,0,0,0
0.079281,0,0,0,0,0,0,0,0
0.080671,0,0,0,0,0,0,0,0
0.082112,0,0,0,0,0,0,0,0
0.083522,0,0,0,0,0,0,0,0
0.084975,0,0,0,0,0,0,0,0
0.086393,0,0,0,0,0,0,0,0
0.087907,0,0,0,0,0,0,0,0
0.089324,0,0,0,0,0,0,0,0
0.090729,0,0,0,0,0,0,0,0
0.092059,0,0,0,0,0,0,0,0
