elapsed_s,TSE_BE_BV_STALLS_DUETO_BR_POLY,TSE_BE_BV_STALLS_DUETO_BR,TSE_FE_BUSY_CYCLES,TSE_FE_STALL_CYCLES_VPC_US
0.001148,0,0,0,0
0.003142,0,0,0,0
0.004917,0,0,0,0
0.006479,0,0,0,0
0.008019,0,0,0,0
0.009801,0,0,0,0
0.011364,0,0,0,0
0.013166,0,0,0,0
0.014617,0,0,0,0
0.016114,0,0,0,0
0.017676,0,0,0,0
0.019202,0,0,0,0
0.020712,0,0,0,0
0.022163,0,0,0,0
0.023696,0,0,0,0
0.025208,0,0,0,0
0.026720,0,0,0,0
0.028254,0,0,0,0
0.029792,0,0,0,0
0.031271,0,0,0,0
0.032763,0,0,0,0
0.034234,0,0,0,0
0.035707,0,0,0,0
0.037088,0,0,0,0
0.038560,0,0,0,0
0.040030,0,0,0,0
0.041506,0,0,0,0
0.042979,0,0,0,0
0.044474,0,0,0,0
0.045987,0,0,0,0
0.047459,0,0,0,0
0.048930,0,0,0,0
0.050387,0,0,0,0
0.051820,0,0,0,0
0.053307,0,0,0,0
0.054741,0,0,0,0
0.056164,0,0,0,0
0.057599,0,0,0,0
0.059029,0,0,0,0
0.060475,0,0,0,0
0.061913,0,0,0,0
0.063393,0,0,0,0
0.065076,0,0,0,0
0.066544,0,0,0,0
0.068108,0,0,0,0
0.069719,0,0,0,0
0.071401,0,0,0,0
0.072987,0,0,0,0
0.074411,0,0,0,0
0.075968,0,0,0,0
0.077591,0,0,0,0
0.079037,0,0,0,0
0.080460,0,0,0,0
0.081909,0,0,0,0
0.083427,0,0,0,0
0.084912,0,0,0,0
0.086415,0,0,0,0
0.087912,0,0,0,0
0.089455,0,0,0,0
0.090948,0,0,0,0
0.092481,0,0,0,0
0.094063,0,0,0,0
0.095566,0,0,0,0
0.097119,0,0,0,0
0.098610,0,0,0,0
0.100127,0,0,198,0
0.101723,0,0,0,0
0.103258,0,0,0,0
0.104782,0,0,0,0
0.106286,0,0,0,0
0.107783,0,0,0,0
0.109241,0,0,0,0
0.110629,0,0,0,0
0.112015,0,0,0,0
0.113403,0,0,0,0
0.114797,0,0,0,0
0.116200,0,0,0,0
0.117637,0,0,0,0
0.119065,0,0,0,0
0.120488,0,0,0,0
0.121912,0,0,0,0
0.123337,0,0,0,0
0.124763,0,0,0,0
0.126342,0,0,0,0
0.127857,0,0,0,0
0.129400,0,0,576,0
0.130821,0,0,1548,0
0.132001,0,0,1590,0
0.133128,0,0,1086,0
0.134493,0,0,0,0
0.135932,0,0,0,0
0.137250,0,0,0,0
0.138561,0,0,0,0
0.139885,0,0,0,0
0.141254,0,0,0,0
0.142759,0,0,0,0
0.144114,0,0,0,0
0.145472,0,0,0,0
0.146830,0,0,0,0
0.148223,0,0,0,0
0.149576,0,0,0,0
0.150930,0,0,0,0
0.152284,0,0,0,0
0.153637,0,0,0,0
0.154998,0,0,0,0
0.156375,0,0,0,0
0.157728,0,0,0,0
0.159093,0,0,0,0
0.160447,0,0,0,0
0.161893,0,0,0,0
0.163315,0,0,0,0
0.164885,0,0,0,0
0.166368,0,0,0,0
0.167750,0,0,0,0
0.169136,0,0,0,0
0.170515,0,0,0,0
0.171940,0,0,0,0
0.173399,0,0,0,0
0.174858,0,0,0,0
0.176315,0,0,0,0
0.177770,0,0,0,0
0.179242,0,0,0,0
0.180951,0,0,0,0
0.182419,0,0,0,0
0.183886,0,0,0,0
0.185350,0,0,0,0
0.186809,0,0,0,0
0.188317,0,0,0,0
0.189789,0,0,0,0
0.191447,0,0,0,0
0.193160,0,0,0,0
0.194857,0,0,0,0
0.196612,0,0,0,0
0.198257,0,0,0,0
0.199929,0,0,0,0
0.201397,0,0,0,0
0.202864,0,0,0,0
0.204384,0,0,0,0
0.205965,0,0,0,0
0.207429,0,0,0,0
0.209086,0,0,0,0
0.210626,0,0,0,0
0.212356,0,0,0,0
0.214197,0,0,0,0
0.215902,0,0,0,0
0.217609,0,0,0,0
0.219313,0,0,0,0
0.220858,0,0,0,0
0.222420,0,0,0,0
0.223904,0,0,0,0
0.225382,0,0,0,0
0.226854,0,0,0,0
0.228378,0,0,0,0
0.230008,0,0,0,0
0.231501,0,0,0,0
0.232974,0,0,0,0
0.234447,0,0,0,0
0.235975,0,0,0,0
0.237447,0,0,0,0
0.238914,0,0,0,0
0.240505,0,0,0,0
0.242240,0,0,0,0
0.244026,0,0,0,0
0.245731,0,0,0,0
0.247441,0,0,0,0
0.249153,0,0,0,0
0.250862,0,0,0,0
0.252655,0,0,0,0
0.254361,0,0,0,0
0.256054,0,0,0,0
0.257865,0,0,0,0
0.259383,0,0,0,0
0.261134,0,0,0,0
0.262683,0,0,0,0
0.264348,0,0,0,0
0.266005,0,0,0,0
0.267952,0,0,0,0
0.269452,0,0,0,0
0.270947,0,0,0,0
0.272419,0,0,0,0
0.274041,0,0,0,0
0.275512,0,0,0,0
0.276985,0,0,0,0
0.278643,0,0,0,0
0.280351,0,0,0,0
0.282187,0,0,0,0
0.283882,0,0,0,0
0.285425,0,0,0,0
0.287154,0,0,0,0
0.288863,0,0,0,0
0.290572,0,0,0,0
0.292341,0,0,0,0
0.294181,0,0,0,0
0.295904,0,0,0,0
0.297614,0,0,0,0
0.299320,0,0,0,0
0.301472,0,0,0,0
0.303065,0,0,0,0
0.304544,0,0,0,0
0.306223,0,0,0,0
0.307997,0,0,0,0
0.309707,0,0,0,0
0.311418,0,0,0,0
0.313132,0,0,0,0
0.314827,0,0,0,0
0.316424,0,0,0,0
0.318039,0,0,0,0
0.319512,0,0,0,0
0.321014,0,0,0,0
0.322482,0,0,0,0
0.324003,0,0,0,0
0.325662,0,0,0,0
0.327391,0,0,0,0
0.329103,0,0,0,0
0.330813,0,0,0,0
0.332582,0,0,0,0
0.334300,0,0,0,0
0.336006,0,0,0,0
0.337735,0,0,0,0
0.339444,0,0,0,0
0.341156,0,0,0,0
0.342867,0,0,0,0
0.344574,0,0,0,0
0.346292,0,0,0,0
0.347834,0,0,0,0
0.349572,0,0,0,0
0.351284,0,0,0,0
0.352996,0,0,0,0
0.354706,0,0,0,0
0.356478,0,0,0,0
0.358214,0,0,0,0
0.359922,0,0,0,0
0.361635,0,0,0,0
0.363344,0,0,0,0
0.365057,0,0,0,0
0.366768,0,0,0,0
0.368492,0,0,0,0
0.370208,0,0,0,0
0.371979,0,0,0,0
0.373689,0,0,0,0
0.375381,0,0,0,0
0.376982,0,0,0,0
0.378618,0,0,0,0
0.380163,0,0,0,0
0.381634,0,0,0,0
0.383100,0,0,0,0
0.384566,0,0,0,0
0.386058,0,0,0,0
0.387712,0,0,0,0
0.389316,0,0,0,0
0.390981,0,0,0,0
0.392685,0,0,0,0
0.394192,0,0,0,0
0.395660,0,0,0,0
0.397383,0,0,0,0
0.398907,0,0,0,0
0.400594,0,0,0,0
0.402123,0,0,0,0
0.403785,0,0,0,0
0.405560,0,0,0,0
0.407264,0,0,0,0
0.408974,0,0,0,0
0.410702,0,0,0,0
0.412471,0,0,0,0
0.414004,0,0,0,0
0.415672,0,0,0,0
0.417384,0,0,0,0
0.419095,0,0,0,0
0.420643,0,0,0,0
0.422398,0,0,0,0
0.424186,0,0,0,0
0.425977,0,0,0,0
0.427767,0,0,0,0
0.429283,0,0,0,0
0.431051,0,0,0,0
0.432844,0,0,0,0
0.434621,0,0,0,0
0.436469,0,0,0,0
0.438244,0,0,0,0
0.439987,0,0,0,0
0.441716,0,0,0,0
0.443327,0,0,0,0
0.445083,0,0,0,0
0.446623,0,0,0,0
0.448148,0,0,0,0
0.449678,0,0,0,0
0.451211,0,0,0,0
0.452830,0,0,0,0
0.454363,0,0,0,0
0.455895,0,0,0,0
0.457430,0,0,0,0
0.458961,0,0,0,0
0.460491,0,0,0,0
0.462227,0,0,0,0
0.463833,0,0,0,0
0.465581,0,0,0,0
0.467367,0,0,0,0
0.468976,0,0,0,0
0.470652,0,0,0,0
0.472195,0,0,0,0
0.473734,0,0,0,0
0.475279,0,0,0,0
0.477121,0,0,0,0
0.479640,0,0,0,0
0.481148,0,0,0,0
0.482592,0,0,0,0
0.484078,0,0,0,0
0.485524,0,0,0,0
0.486949,0,0,0,0
0.488373,0,0,0,0
0.489990,0,0,0,0
0.492939,0,0,0,0
0.494464,0,0,0,0
0.496000,0,0,0,0
0.497717,0,0,0,0
0.499239,0,0,0,0
0.500759,0,0,0,0
0.502258,0,0,0,0
0.503720,0,0,0,0
0.505186,0,0,0,0
0.506659,0,0,0,0
0.508377,0,0,0,0
0.510223,0,0,0,0
0.511928,0,0,0,0
0.513634,0,0,0,0
0.515341,0,0,0,0
0.517068,0,0,0,0
0.518775,0,0,0,0
0.520478,0,0,0,0
0.522191,0,0,0,0
0.523893,0,0,0,0
0.525415,0,0,0,0
0.526910,0,0,0,0
0.528567,0,0,0,0
0.530107,0,0,0,0
0.531857,0,0,0,0
0.533658,0,0,0,0
0.535247,0,0,0,0
0.536993,0,0,0,0
0.538594,0,0,0,0
0.540404,0,0,0,0
0.542172,0,0,0,0
0.543914,0,0,0,0
0.545466,0,0,0,0
0.547210,0,0,0,0
0.549014,0,0,0,0
0.550765,0,0,0,0
0.552634,0,0,0,0
0.554423,0,0,0,0
0.556272,0,0,0,0
0.558292,0,0,0,0
0.560183,0,0,0,0
0.561792,0,0,0,0
0.563567,0,0,0,0
0.565436,0,0,0,0
0.567224,0,0,0,0
0.569015,0,0,0,0
0.570989,0,0,0,0
0.572719,0,0,0,0
0.574560,0,0,0,0
0.576261,0,0,0,0
0.577966,0,0,0,0
0.580521,0,0,0,0
0.583147,0,0,0,0
