elapsed_s,TP_FILTER_WORKLOAD_16BIT,TP_FILTER_WORKLOAD_32BIT,TP_QUADS_RECEIVED,TP_QUADS_OFFSET,TP_QUADS_SHADOW,TP_QUADS_ARRAY,TP_QUADS_GRADIENT,TP_QUADS_1D,TP_QUADS_2D,TP_QUADS_BUFFER,TP_QUADS_3D,TP_QUADS_CUBE
0.001126,0,0,0,0,0,0,0,0,0,0,0,0
0.002812,0,0,0,0,0,0,0,0,0,0,0,0
0.004469,0,0,0,0,0,0,0,0,0,0,0,0
0.006082,0,0,0,0,0,0,0,0,0,0,0,0
0.007691,0,0,0,0,0,0,0,0,0,0,0,0
0.009390,0,0,0,0,0,0,0,0,0,0,0,0
0.010993,0,0,0,0,0,0,0,0,0,0,0,0
0.012766,0,0,0,0,0,0,0,0,0,0,0,0
0.014461,0,0,0,0,0,0,0,0,0,0,0,0
0.016153,0,0,0,0,0,0,0,0,0,0,0,0
0.017771,0,0,0,0,0,0,0,0,0,0,0,0
0.019364,0,0,0,0,0,0,0,0,0,0,0,0
0.020948,0,0,0,0,0,0,0,0,0,0,0,0
0.022509,0,0,0,0,0,0,0,0,0,0,0,0
0.024090,0,0,0,0,0,0,0,0,0,0,0,0
0.025724,0,0,0,0,0,0,0,0,0,0,0,0
0.027330,0,0,0,0,0,0,0,0,0,0,0,0
0.029078,0,0,0,0,0,0,0,0,0,0,0,0
0.030693,0,0,0,0,0,0,0,0,0,0,0,0
0.032299,0,0,0,0,0,0,0,0,0,0,0,0
0.033905,0,0,0,0,0,0,0,0,0,0,0,0
0.035540,0,0,0,0,0,0,0,0,0,0,0,0
0.037158,0,0,0,0,0,0,0,0,0,0,0,0
0.038761,0,0,0,0,0,0,0,0,0,0,0,0
0.040444,0,0,0,0,0,0,0,0,0,0,0,0
0.042033,0,0,0,0,0,0,0,0,0,0,0,0
0.043612,0,0,0,0,0,0,0,0,0,0,0,0
0.045189,0,0,0,0,0,0,0,0,0,0,0,0
0.046766,0,0,0,0,0,0,0,0,0,0,0,0
0.048344,0,0,0,0,0,0,0,0,0,0,0,0
0.049925,0,0,0,0,0,0,0,0,0,0,0,0
0.051501,0,0,0,0,0,0,0,0,0,0,0,0
0.053082,0,0,0,0,0,0,0,0,0,0,0,0
0.054545,0,0,0,0,0,0,0,0,0,0,0,0
0.056052,0,0,0,0,0,0,0,0,0,0,0,0
0.057499,0,0,0,0,0,0,0,0,0,0,0,0
0.058944,0,0,0,0,0,0,0,0,0,0,0,0
0.060389,0,0,0,0,0,0,0,0,0,0,0,0
0.061833,0,0,0,0,0,0,0,0,0,0,0,0
0.063284,0,0,0,0,0,0,0,0,0,0,0,0
0.064857,0,0,0,0,0,0,0,0,0,0,0,0
0.066307,0,0,0,0,0,0,0,0,0,0,0,0
0.067754,0,0,0,0,0,0,0,0,0,0,0,0
0.069198,0,0,0,0,0,0,0,0,0,0,0,0
0.070643,0,0,0,0,0,0,0,0,0,0,0,0
0.072129,0,0,0,0,0,0,0,0,0,0,0,0
0.073647,0,0,0,0,0,0,0,0,0,0,0,0
0.075161,0,0,0,0,0,0,0,0,0,0,0,0
0.076728,0,0,0,0,0,0,0,0,0,0,0,0
0.078238,0,0,0,0,0,0,0,0,0,0,0,0
0.079747,0,0,0,0,0,0,0,0,0,0,0,0
0.081195,0,0,0,0,0,0,0,0,0,0,0,0
0.082553,0,0,0,0,0,0,0,0,0,0,0,0
0.084017,0,0,0,0,0,0,0,0,0,0,0,0
0.085471,0,0,0,0,0,0,0,0,0,0,0,0
0.086919,0,0,0,0,0,0,0,0,0,0,0,0
0.088382,0,0,0,0,0,0,0,0,0,0,0,0
0.089833,0,0,0,0,0,0,0,0,0,0,0,0
0.091283,0,0,0,0,0,0,0,0,0,0,0,0
0.092704,0,0,0,0,0,0,0,0,0,0,0,0
0.094154,0,0,0,0,0,0,0,0,0,0,0,0
0.095640,0,0,0,0,0,0,0,0,0,0,0,0
0.097189,0,0,0,0,0,0,0,0,0,0,0,0
0.098662,0,0,0,0,0,0,0,0,0,0,0,0
0.100122,0,0,0,0,0,0,0,0,0,0,0,0
0.101579,0,0,0,0,0,0,0,0,0,0,0,0
0.103030,0,0,0,0,0,0,0,0,0,0,0,0
0.104575,0,0,0,0,0,0,0,0,0,0,0,0
0.106144,0,0,0,0,0,0,0,0,0,0,0,0
0.107872,0,0,0,0,0,0,0,0,0,0,0,0
0.109500,0,0,0,0,0,0,0,0,0,0,0,0
0.111077,0,0,0,0,0,0,0,0,0,0,0,0
0.112756,0,211968,54144,0,0,0,0,0,0,59264,0,0
0.113997,0,787968,196608,0,0,0,0,0,0,196900,0,0
0.115237,0,786432,196608,0,0,0,0,0,0,204124,0,0
0.116525,0,817664,204416,0,0,0,0,0,0,196992,0,0
0.117764,0,786432,196608,0,0,0,0,0,0,196608,0,0
0.119003,0,786432,196608,0,0,0,0,0,0,196224,0,0
0.120295,0,820736,205184,0,0,0,0,0,0,205184,0,0
0.121534,0,786432,196608,0,0,0,0,0,0,196608,0,0
0.122776,0,786664,196992,0,0,0,0,0,0,196992,0,0
0.124016,0,787736,196608,0,0,0,0,0,0,196992,0,0
0.125255,0,786432,196608,0,0,0,0,0,0,196224,0,0
0.126527,0,243712,60160,0,0,0,0,0,0,55040,0,0
0.127982,0,0,0,0,0,0,0,0,0,0,0,0
0.129428,0,0,0,0,0,0,0,0,0,0,0,0
0.130872,0,0,0,0,0,0,0,0,0,0,0,0
0.132317,0,0,0,0,0,0,0,0,0,0,0,0
0.133763,0,0,0,0,0,0,0,0,0,0,0,0
0.135208,0,0,0,0,0,0,0,0,0,0,0,0
0.136568,0,0,0,0,0,0,0,0,0,0,0,0
0.137984,0,0,0,0,0,0,0,0,0,0,0,0
0.139391,0,0,0,0,0,0,0,0,0,0,0,0
0.140742,0,0,0,0,0,0,0,0,0,0,0,0
0.142086,0,0,0,0,0,0,0,0,0,0,0,0
0.143430,0,0,0,0,0,0,0,0,0,0,0,0
0.144748,0,0,0,0,0,0,0,0,0,0,0,0
0.146156,0,0,0,0,0,0,0,0,0,0,0,0
0.147618,0,0,0,0,0,0,0,0,0,0,0,0
0.149038,0,0,0,0,0,0,0,0,0,0,0,0
0.150336,0,0,0,0,0,0,0,0,0,0,0,0
0.151742,0,0,0,0,0,0,0,0,0,0,0,0
0.153086,0,0,0,0,0,0,0,0,0,0,0,0
0.154409,0,0,0,0,0,0,0,0,0,0,0,0
0.155731,0,0,0,0,0,0,0,0,0,0,0,0
0.157053,0,0,0,0,0,0,0,0,0,0,0,0
0.158376,0,0,0,0,0,0,0,0,0,0,0,0
0.159703,0,0,0,0,0,0,0,0,0,0,0,0
0.161024,0,0,0,0,0,0,0,0,0,0,0,0
0.162346,0,0,0,0,0,0,0,0,0,0,0,0
0.163667,0,0,0,0,0,0,0,0,0,0,0,0
0.164989,0,0,0,0,0,0,0,0,0,0,0,0
0.166311,0,0,0,0,0,0,0,0,0,0,0,0
0.167633,0,0,0,0,0,0,0,0,0,0,0,0
0.169071,0,0,0,0,0,0,0,0,0,0,0,0
0.170521,0,0,0,0,0,0,0,0,0,0,0,0
0.171950,0,0,0,0,0,0,0,0,0,0,0,0
0.173509,0,0,0,0,0,0,0,0,0,0,0,0
0.175099,0,0,0,0,0,0,0,0,0,0,0,0
0.176824,0,0,0,0,0,0,0,0,0,0,0,0
0.178415,0,0,0,0,0,0,0,0,0,0,0,0
0.180010,0,0,0,0,0,0,0,0,0,0,0,0
0.181614,0,0,0,0,0,0,0,0,0,0,0,0
0.183205,0,0,0,0,0,0,0,0,0,0,0,0
0.184847,0,0,0,0,0,0,0,0,0,0,0,0
0.186438,0,0,0,0,0,0,0,0,0,0,0,0
0.188032,0,0,0,0,0,0,0,0,0,0,0,0
0.189625,0,0,0,0,0,0,0,0,0,0,0,0
0.191216,0,0,0,0,0,0,0,0,0,0,0,0
0.192825,0,0,0,0,0,0,0,0,0,0,0,0
0.194415,0,0,0,0,0,0,0,0,0,0,0,0
0.196009,0,0,0,0,0,0,0,0,0,0,0,0
0.197602,0,0,0,0,0,0,0,0,0,0,0,0
0.199194,0,0,0,0,0,0,0,0,0,0,0,0
0.200791,0,0,0,0,0,0,0,0,0,0,0,0
