elapsed_s,TSE_BE_STALL_CYCLES_LRZ_BARYPLANE,TSE_BE_STALL_CYCLES_LRZ_ZPLANE,TSE_BE_STARVE_CYCLES_PC,TSE_BE_INPUT_PRIM
0.002960,0,0,0,0
0.004531,0,0,0,0
0.006549,0,0,0,0
0.008247,0,0,0,0
0.009892,0,0,0,0
0.011340,0,0,0,0
0.012725,0,0,0,0
0.014107,0,0,0,0
0.015484,0,0,0,0
0.016938,0,0,0,0
0.018363,0,0,0,0
0.019948,0,0,0,0
0.021604,0,0,0,0
0.022998,0,0,0,0
0.024414,0,0,0,0
0.025807,0,0,0,0
0.027235,0,0,0,0
0.028878,0,0,0,0
0.030579,0,0,0,0
0.032010,0,0,0,0
0.033428,0,0,0,0
0.034844,0,0,0,0
0.036257,0,0,0,0
0.037895,0,0,0,0
0.040070,0,0,0,0
0.042224,0,0,0,0
0.043723,0,0,0,0
0.045122,0,0,0,0
0.046518,0,0,0,0
0.047911,0,0,0,0
0.049306,0,0,0,0
0.050700,0,0,0,0
0.052095,0,0,0,0
0.053557,0,0,0,0
0.054954,0,0,0,0
0.056347,0,0,0,0
0.057765,0,0,0,0
0.059109,0,0,0,0
0.060540,0,0,0,0
0.061848,0,0,0,0
0.063140,0,0,0,0
0.064629,0,0,0,0
0.065886,0,0,0,0
0.067143,0,0,0,0
0.068446,0,0,0,0
0.069702,0,0,0,0
0.070958,0,0,0,0
0.072270,0,0,0,0
0.073577,0,0,0,0
0.074890,0,0,0,0
0.076197,0,0,0,0
0.077589,0,0,0,0
0.079006,0,0,0,0
0.080422,0,0,0,0
0.081759,0,0,0,0
0.083213,0,0,0,0
0.084666,0,0,0,0
0.086135,0,0,129,0
0.087847,0,0,0,0
0.089301,0,0,0,0
0.090656,0,0,0,0
0.091996,0,0,0,0
0.093355,0,0,0,0
0.094772,0,0,0,0
0.096199,0,0,0,0
0.097789,0,0,0,0
0.099212,0,0,0,0
0.100593,0,0,0,0
0.101977,0,0,0,0
0.103371,0,0,2502,0
0.104567,0,0,4785,0
0.105775,0,0,4803,0
0.107016,0,0,4896,0
0.108256,0,0,5304,0
0.109592,0,0,4896,0
0.110830,0,0,4896,0
0.112069,0,0,4902,0
0.113310,0,0,4896,0
0.114553,0,0,4896,0
0.115800,0,0,4896,0
0.117045,0,0,1179,0
0.118428,0,0,0,0
0.119826,0,0,0,0
0.121259,0,0,0,0
0.122642,0,0,0,0
0.124026,0,0,0,0
0.125410,0,0,0,0
0.126794,0,0,0,0
0.128185,0,0,0,0
0.129573,0,0,0,0
0.130955,0,0,0,0
0.132338,0,0,0,0
0.133709,0,0,0,0
0.135090,0,0,0,0
0.136885,0,0,0,0
0.138313,0,0,0,0
0.139695,0,0,0,0
0.141074,0,0,0,0
0.142457,0,0,0,0
0.143842,0,0,0,0
0.147173,0,0,0,0
0.149043,0,0,0,0
0.150424,0,0,0,0
0.151801,0,0,0,0
0.153225,0,0,0,0
0.154605,0,0,0,0
0.155985,0,0,0,0
0.157365,0,0,0,0
0.158755,0,0,0,0
0.160135,0,0,0,0
0.161612,0,0,0,0
0.162991,0,0,0,0
0.164370,0,0,0,0
0.165852,0,0,0,0
0.167231,0,0,0,0
0.168613,0,0,0,0
0.170008,0,0,0,0
0.171393,0,0,0,0
0.172779,0,0,0,0
0.174366,0,0,0,0
0.175915,0,0,0,0
0.177465,0,0,0,0
0.179015,0,0,0,0
0.180579,0,0,0,0
0.182129,0,0,0,0
0.183677,0,0,0,0
0.185272,0,0,0,0
0.186822,0,0,0,0
0.188370,0,0,0,0
0.190065,0,0,0,0
0.191626,0,0,0,0
0.193176,0,0,0,0
0.194723,0,0,0,0
0.196269,0,0,0,0
0.197822,0,0,0,0
0.199369,0,0,0,0
0.200964,0,0,0,0
0.202525,0,0,0,0
0.204073,0,0,0,0
0.205570,0,0,0,0
0.207086,0,0,0,0
0.208553,0,0,0,0
0.209953,0,0,0,0
0.211469,0,0,0,0
0.212908,0,0,0,0
0.214428,0,0,0,0
0.215976,0,0,0,0
0.217528,0,0,0,0
0.219079,0,0,0,0
0.220629,0,0,0,0
0.222179,0,0,0,0
0.223742,0,0,0,0
0.225292,0,0,0,0
0.226844,0,0,0,0
0.228477,0,0,0,0
0.229878,0,0,0,0
0.231264,0,0,0,0
0.232655,0,0,0,0
0.234101,0,0,0,0
0.235487,0,0,0,0
0.236874,0,0,0,0
0.238369,0,0,0,0
0.239917,0,0,0,0
0.241467,0,0,0,0
0.243017,0,0,0,0
0.244580,0,0,0,0
0.246129,0,0,0,0
0.247677,0,0,0,0
0.249272,0,0,0,0
0.250821,0,0,0,0
0.252369,0,0,0,0
0.253850,0,0,0,0
0.255249,0,0,0,0
0.256765,0,0,0,0
0.258313,0,0,0,0
0.259860,0,0,0,0
0.261409,0,0,0,0
0.262958,0,0,0,0
0.264507,0,0,0,0
0.266113,0,0,0,0
0.267776,0,0,0,0
0.269327,0,0,0,0
0.270877,0,0,0,0
0.272429,0,0,0,0
0.273978,0,0,0,0
0.275528,0,0,0,0
0.277091,0,0,0,0
0.278642,0,0,0,0
0.280190,0,0,0,0
0.281744,0,0,0,0
0.283388,0,0,0,0
0.285249,0,0,0,0
0.286789,0,0,0,0
0.288232,0,0,0,0
0.289811,0,0,0,0
0.291360,0,0,0,0
0.292911,0,0,0,0
0.294461,0,0,0,0
0.296010,0,0,0,0
0.297433,0,0,0,0
0.298963,0,0,0,0
0.300515,0,0,0,0
0.302065,0,0,0,0
0.303613,0,0,0,0
0.305164,0,0,0,0
0.306593,0,0,0,0
0.307993,0,0,0,0
0.309395,0,0,0,0
0.310779,0,0,0,0
0.312160,0,0,0,0
0.313639,0,0,0,0
0.315025,0,0,0,0
0.316413,0,0,0,0
0.317798,0,0,0,0
0.319309,0,0,0,0
0.320872,0,0,0,0
0.322421,0,0,0,0
0.323967,0,0,0,0
0.325514,0,0,0,0
0.327063,0,0,0,0
0.328613,0,0,0,0
0.330205,0,0,0,0
0.331765,0,0,0,0
0.333313,0,0,0,0
0.334863,0,0,0,0
0.336412,0,0,0,0
0.337962,0,0,0,0
0.339508,0,0,0,0
0.341216,0,0,0,0
0.344194,0,0,0,0
0.345652,0,0,0,0
0.347042,0,0,0,0
0.348434,0,0,0,0
0.349824,0,0,0,0
0.351210,0,0,0,0
0.352699,0,0,0,0
0.354135,0,0,0,0
0.355528,0,0,0,0
0.356917,0,0,0,0
0.358352,0,0,0,0
0.359738,0,0,0,0
0.361169,0,0,0,0
0.362682,0,0,0,0
0.364228,0,0,0,0
0.365796,0,0,0,0
0.367345,0,0,0,0
0.368896,0,0,0,0
0.370445,0,0,0,0
0.371992,0,0,0,0
0.373542,0,0,0,0
0.375091,0,0,0,0
0.376531,0,0,0,0
0.378095,0,0,0,0
0.379642,0,0,0,0
0.381192,0,0,0,0
0.382741,0,0,0,0
0.384288,0,0,0,0
0.385841,0,0,0,0
0.387402,0,0,0,0
0.389895,0,0,0,0
0.391341,0,0,0,0
0.392885,0,0,0,0
0.394273,0,0,0,0
0.395655,0,0,0,0
0.397041,0,0,0,0
0.398398,0,0,0,0
0.399911,0,0,0,0
0.401461,0,0,0,0
0.403011,0,0,0,0
0.404562,0,0,0,0
0.406109,0,0,0,0
0.407655,0,0,0,0
0.409148,0,0,0,0
0.410551,0,0,0,0
0.412068,0,0,0,0
0.413556,0,0,0,0
0.415075,0,0,0,0
0.416627,0,0,0,0
0.418179,0,0,0,0
0.419741,0,0,0,0
0.421293,0,0,0,0
0.422844,0,0,0,0
0.424450,0,0,0,0
0.426000,0,0,0,0
0.427551,0,0,0,0
0.429104,0,0,0,0
0.430667,0,0,0,0
0.432218,0,0,0,0
0.433740,0,0,0,0
0.435133,0,0,0,0
0.436651,0,0,0,0
0.438202,0,0,0,0
0.439753,0,0,0,0
0.441360,0,0,0,0
0.442912,0,0,0,0
0.444464,0,0,0,0
0.446015,0,0,0,0
0.447564,0,0,0,0
0.449117,0,0,0,0
0.450668,0,0,0,0
0.452230,0,0,0,0
0.453786,0,0,0,0
0.455336,0,0,0,0
0.456932,0,0,0,0
0.458485,0,0,0,0
0.460035,0,0,0,0
0.461649,0,0,0,0
0.463212,0,0,0,0
0.464764,0,0,0,0
0.466317,0,0,0,0
0.467866,0,0,0,0
0.469416,0,0,0,0
0.470968,0,0,0,0
0.472520,0,0,0,0
0.474129,0,0,0,0
0.475679,0,0,0,0
0.477231,0,0,0,0
0.478783,0,0,0,0
0.480332,0,0,0,0
0.481747,0,0,0,0
0.483140,0,0,0,0
0.484667,0,0,0,0
0.486217,0,0,0,0
0.487767,0,0,0,0
0.489360,0,0,0,0
0.490912,0,0,0,0
0.492464,0,0,0,0
0.494006,0,0,0,0
0.495560,0,0,0,0
0.496981,0,0,0,0
0.498500,0,0,0,0
0.500048,0,0,0,0
0.501647,0,0,0,0
0.503195,0,0,0,0
0.504745,0,0,0,0
0.506307,0,0,0,0
0.507855,0,0,0,0
0.509404,0,0,0,0
0.510953,0,0,0,0
0.513285,0,0,0,0
0.514827,0,0,0,0
0.516530,0,0,0,0
0.518068,0,0,0,0
0.519609,0,0,0,0
0.521072,0,0,0,0
0.522658,0,0,0,0
0.524205,0,0,0,0
0.525754,0,0,0,0
0.527316,0,0,0,0
0.528867,0,0,0,0
0.530415,0,0,0,0
0.531963,0,0,0,0
0.533512,0,0,0,0
0.535993,0,0,0,0
0.537447,0,0,0,0
0.538839,0,0,0,0
0.540227,0,0,0,0
0.541615,0,0,0,0
0.543007,0,0,0,0
0.544403,0,0,0,0
0.546014,0,0,0,0
0.547577,0,0,0,0
0.549130,0,0,0,0
0.550672,0,0,0,0
0.552211,0,0,0,0
0.554001,0,0,0,0
0.555564,0,0,0,0
0.557115,0,0,0,0
0.558687,0,0,0,0
0.560237,0,0,0,0
0.561792,0,0,0,0
0.563342,0,0,0,0
0.564894,0,0,0,0
0.566445,0,0,0,0
0.567993,0,0,0,0
0.569431,0,0,0,0
0.570953,0,0,0,0
0.572504,0,0,0,0
0.574055,0,0,0,0
0.575605,0,0,0,0
0.577157,0,0,0,0
0.578708,0,0,0,0
0.580270,0,0,0,0
0.581825,0,0,0,0
0.583374,0,0,0,0
0.584970,0,0,0,0
0.586521,0,0,0,0
0.588070,0,0,0,0
0.589682,0,0,0,0
0.591243,0,0,0,0
0.592795,0,0,0,0
0.594347,0,0,0,0
0.595897,0,0,0,0
0.597448,0,0,0,0
0.598989,0,0,0,0
0.600596,0,0,0,0
0.602158,0,0,0,0
0.603582,0,0,0,0
0.604975,0,0,0,0
0.606489,0,0,0,0
0.608034,0,0,0,0
0.609641,0,0,0,0
0.611166,0,0,0,0
0.612731,0,0,0,0
0.614273,0,0,0,0
0.615814,0,0,0,0
0.617278,0,0,0,0
0.618798,0,0,0,0
0.620346,0,0,0,0
0.621938,0,0,0,0
0.623498,0,0,0,0
0.625048,0,0,0,0
0.626598,0,0,0,0
0.628145,0,0,0,0
0.629697,0,0,0,0
0.631122,0,0,0,0
0.632643,0,0,0,0
0.634252,0,0,0,0
0.635802,0,0,0,0
0.637352,0,0,0,0
0.638902,0,0,0,0
0.640454,0,0,0,0
0.642004,0,0,0,0
0.643552,0,0,0,0
0.645116,0,0,0,0
0.646667,0,0,0,0
0.648215,0,0,0,0
0.649839,0,0,0,0
0.651231,0,0,0,0
0.652748,0,0,0,0
0.654298,0,0,0,0
0.656147,0,0,0,0
0.657704,0,0,0,0
0.659253,0,0,0,0
0.660804,0,0,0,0
0.662354,0,0,0,0
0.663902,0,0,0,0
0.665329,0,0,0,0
0.666866,0,0,0,0
0.668417,0,0,0,0
0.669968,0,0,0,0
0.671517,0,0,0,0
0.673067,0,0,0,0
0.674615,0,0,0,0
0.676042,0,0,0,0
0.677450,0,0,0,0
0.678968,0,0,0,0
0.680521,0,0,0,0
0.682115,0,0,0,0
0.683663,0,0,0,0
0.685214,0,0,0,0
0.686765,0,0,0,0
0.688328,0,0,0,0
0.689709,0,0,0,0
0.691227,0,0,0,0
0.692781,0,0,0,0
0.694331,0,0,0,0
0.695881,0,0,0,0
0.697477,0,0,0,0
0.698916,0,0,0,0
0.700440,0,0,0,0
0.701981,0,0,0,0
0.703521,0,0,0,0
0.704942,0,0,0,0
0.706461,0,0,0,0
0.708008,0,0,0,0
0.709569,0,0,0,0
0.711118,0,0,0,0
0.712669,0,0,0,0
0.714264,0,0,0,0
0.715811,0,0,0,0
0.717361,0,0,0,0
0.718911,0,0,0,0
0.720476,0,0,0,0
