elapsed_s,VFD_NEVER_COUNT,VFD_BUSY_CYCLES,VFD_STALL_CYCLES_UCHE,VFD_STALL_CYCLES_VPC_ALLOC,VFD_STALL_CYCLES_SP_INFO,VFD_STALL_CYCLES_SP_ATTR,VFD_STARVE_CYCLES_UCHE,VFD_RBUFFER_FULL
0.001486,0,0,0,0,0,0,0,0
0.003088,0,0,0,0,0,0,0,0
0.009110,0,0,0,0,0,0,0,0
0.010696,0,0,0,0,0,0,0,0
0.012066,0,0,0,0,0,0,0,0
0.015950,0,0,0,0,0,0,0,0
0.017523,0,0,0,0,0,0,0,0
0.018999,0,0,0,0,0,0,0,0
0.020466,0,0,0,0,0,0,0,0
0.021943,0,0,0,0,0,0,0,0
0.027652,0,0,0,0,0,0,0,0
0.033120,0,0,0,0,0,0,0,0
0.034618,0,0,0,0,0,0,0,0
0.036170,0,0,0,0,0,0,0,0
0.037746,0,0,0,0,0,0,0,0
0.039192,0,0,0,0,0,0,0,0
0.040639,0,0,0,0,0,0,0,0
0.047954,0,0,0,0,0,0,0,0
0.049454,0,0,0,0,0,0,0,0
0.050901,0,0,0,0,0,0,0,0
0.052302,0,0,0,0,0,0,0,0
0.053734,0,0,0,0,0,0,0,0
0.055159,0,0,0,0,0,0,0,0
0.056625,0,0,0,0,0,0,0,0
0.058083,0,0,0,0,0,0,0,0
0.059500,0,0,0,0,0,0,0,0
0.060970,0,0,0,0,0,0,0,0
0.062392,0,0,0,0,0,0,0,0
0.063737,0,0,0,0,0,0,0,0
0.065214,0,0,0,0,0,0,0,0
0.066630,0,0,0,0,0,0,0,0
0.068083,0,0,0,0,0,0,0,0
0.069527,0,0,0,0,0,0,0,0
0.070942,0,0,0,0,0,0,0,0
0.072345,0,0,0,0,0,0,0,0
0.073748,0,0,0,0,0,0,0,0
0.075175,0,0,0,0,0,0,0,0
0.076632,0,0,0,0,0,0,0,0
0.078035,0,0,0,0,0,0,0,0
0.079435,0,0,0,0,0,0,0,0
0.080847,0,0,0,0,0,0,0,0
0.082303,0,0,0,0,0,0,0,0
0.083723,0,0,0,0,0,0,0,0
0.085133,0,0,0,0,0,0,0,0
0.086540,0,0,0,0,0,0,0,0
0.087947,0,0,0,0,0,0,0,0
0.089378,0,0,0,0,0,0,0,0
0.090857,0,342,0,0,0,0,0,0
0.092094,0,0,0,0,0,0,0,0
0.093514,0,0,0,0,0,0,0,0
0.094931,0,0,0,0,0,0,0,0
0.096413,0,0,0,0,0,0,0,0
0.097820,0,0,0,0,0,0,0,0
0.099282,0,0,0,0,0,0,0,0
0.100782,0,0,0,0,0,0,0,0
0.102210,0,0,0,0,0,0,0,0
0.103616,0,0,0,0,0,0,0,0
0.105030,0,0,0,0,0,0,0,0
0.106433,0,0,0,0,0,0,0,0
0.107838,0,0,0,0,0,0,0,0
0.109280,0,0,0,0,0,0,0,0
0.110745,0,0,0,0,0,0,0,0
0.112235,0,1824,0,0,0,0,0,0
0.113400,0,2382,0,0,0,0,0,0
0.114562,0,2364,0,0,0,0,0,0
0.115782,0,558,0,0,0,0,0,0
0.117144,0,0,0,0,0,0,0,0
0.118432,0,0,0,0,0,0,0,0
0.119717,0,0,0,0,0,0,0,0
0.121086,0,0,0,0,0,0,0,0
0.122421,0,0,0,0,0,0,0,0
0.123764,0,0,0,0,0,0,0,0
0.125054,0,0,0,0,0,0,0,0
0.126343,0,0,0,0,0,0,0,0
0.127634,0,0,0,0,0,0,0,0
0.128974,0,0,0,0,0,0,0,0
0.130319,0,0,0,0,0,0,0,0
0.131677,0,0,0,0,0,0,0,0
0.133022,0,0,0,0,0,0,0,0
0.134320,0,0,0,0,0,0,0,0
0.135669,0,0,0,0,0,0,0,0
0.137047,0,0,0,0,0,0,0,0
0.138361,0,0,0,0,0,0,0,0
0.139709,0,0,0,0,0,0,0,0
0.141047,0,0,0,0,0,0,0,0
0.142400,0,0,0,0,0,0,0,0
0.143738,0,0,0,0,0,0,0,0
0.145120,0,0,0,0,0,0,0,0
0.146486,0,0,0,0,0,0,0,0
0.147844,0,0,0,0,0,0,0,0
0.149142,0,0,0,0,0,0,0,0
0.150433,0,0,0,0,0,0,0,0
0.151726,0,0,0,0,0,0,0,0
0.153152,0,0,0,0,0,0,0,0
0.154506,0,0,0,0,0,0,0,0
0.155819,0,0,0,0,0,0,0,0
0.157130,0,0,0,0,0,0,0,0
0.158422,0,0,0,0,0,0,0,0
0.159768,0,0,0,0,0,0,0,0
0.161130,0,0,0,0,0,0,0,0
0.162483,0,0,0,0,0,0,0,0
0.163829,0,0,0,0,0,0,0,0
0.165179,0,0,0,0,0,0,0,0
0.166529,0,0,0,0,0,0,0,0
0.167988,0,0,0,0,0,0,0,0
0.169408,0,0,0,0,0,0,0,0
0.170842,0,0,0,0,0,0,0,0
0.172279,0,0,0,0,0,0,0,0
0.173716,0,0,0,0,0,0,0,0
0.175162,0,0,0,0,0,0,0,0
0.176599,0,0,0,0,0,0,0,0
0.178112,0,0,0,0,0,0,0,0
0.179725,0,0,0,0,0,0,0,0
0.181228,0,0,0,0,0,0,0,0
0.182722,0,0,0,0,0,0,0,0
0.184208,0,0,0,0,0,0,0,0
0.185636,0,0,0,0,0,0,0,0
0.187061,0,0,0,0,0,0,0,0
0.188538,0,0,0,0,0,0,0,0
0.190051,0,0,0,0,0,0,0,0
0.191475,0,0,0,0,0,0,0,0
0.192915,0,0,0,0,0,0,0,0
0.194455,0,0,0,0,0,0,0,0
0.195910,0,0,0,0,0,0,0,0
0.197341,0,0,0,0,0,0,0,0
0.198767,0,0,0,0,0,0,0,0
0.200201,0,0,0,0,0,0,0,0
0.201722,0,0,0,0,0,0,0,0
0.203347,0,0,0,0,0,0,0,0
0.204810,0,0,0,0,0,0,0,0
0.206324,0,0,0,0,0,0,0,0
0.207801,0,0,0,0,0,0,0,0
0.209254,0,0,0,0,0,0,0,0
0.210926,0,0,0,0,0,0,0,0
0.212356,0,0,0,0,0,0,0,0
0.213776,0,0,0,0,0,0,0,0
0.215191,0,0,0,0,0,0,0,0
0.216618,0,0,0,0,0,0,0,0
0.218058,0,0,0,0,0,0,0,0
0.219488,0,0,0,0,0,0,0,0
0.221184,0,0,0,0,0,0,0,0
0.222636,0,0,0,0,0,0,0,0
0.224124,0,0,0,0,0,0,0,0
0.225620,0,0,0,0,0,0,0,0
0.227443,0,0,0,0,0,0,0,0
0.229006,0,0,0,0,0,0,0,0
0.230489,0,0,0,0,0,0,0,0
0.231966,0,0,0,0,0,0,0,0
0.233380,0,0,0,0,0,0,0,0
0.234840,0,0,0,0,0,0,0,0
0.236302,0,0,0,0,0,0,0,0
0.237738,0,0,0,0,0,0,0,0
0.239238,0,0,0,0,0,0,0,0
0.240686,0,0,0,0,0,0,0,0
0.242136,0,0,0,0,0,0,0,0
0.243571,0,0,0,0,0,0,0,0
0.245095,0,0,0,0,0,0,0,0
0.246743,0,0,0,0,0,0,0,0
0.248309,0,0,0,0,0,0,0,0
0.249825,0,0,0,0,0,0,0,0
0.251321,0,0,0,0,0,0,0,0
0.252756,0,0,0,0,0,0,0,0
0.254186,0,0,0,0,0,0,0,0
0.255586,0,0,0,0,0,0,0,0
0.257142,0,0,0,0,0,0,0,0
0.258562,0,0,0,0,0,0,0,0
0.260085,0,0,0,0,0,0,0,0
0.261506,0,0,0,0,0,0,0,0
0.263101,0,0,0,0,0,0,0,0
0.264580,0,0,0,0,0,0,0,0
0.266161,0,0,0,0,0,0,0,0
0.267642,0,0,0,0,0,0,0,0
0.269238,0,0,0,0,0,0,0,0
0.270985,0,0,0,0,0,0,0,0
0.272596,0,0,0,0,0,0,0,0
0.274187,0,0,0,0,0,0,0,0
0.275703,0,0,0,0,0,0,0,0
0.277198,0,0,0,0,0,0,0,0
0.278653,0,0,0,0,0,0,0,0
0.280103,0,0,0,0,0,0,0,0
0.281547,0,0,0,0,0,0,0,0
0.282987,0,0,0,0,0,0,0,0
0.284499,0,0,0,0,0,0,0,0
0.285972,0,0,0,0,0,0,0,0
0.287410,0,0,0,0,0,0,0,0
0.288838,0,0,0,0,0,0,0,0
0.290384,0,0,0,0,0,0,0,0
0.291984,0,0,0,0,0,0,0,0
0.293483,0,0,0,0,0,0,0,0
0.294953,0,0,0,0,0,0,0,0
0.296336,0,0,0,0,0,0,0,0
0.297719,0,0,0,0,0,0,0,0
0.299115,0,0,0,0,0,0,0,0
0.300423,0,0,0,0,0,0,0,0
0.301778,0,0,0,0,0,0,0,0
0.303105,0,0,0,0,0,0,0,0
0.304399,0,0,0,0,0,0,0,0
0.305695,0,0,0,0,0,0,0,0
0.306994,0,0,0,0,0,0,0,0
0.308582,0,0,0,0,0,0,0,0
0.310313,0,0,0,0,0,0,0,0
0.312242,0,0,0,0,0,0,0,0
