elapsed_s,VPC_BE_STALL_CYCLES_HLSQ_PRIM_ALLOC,VPC_BE_STALL_CYCLES_SP_LM,VPC_BE_NUM_PA_REQ,VPC_BE_NUM_LM_REQ_HIT,VPC_BE_NUM_ATTR_REQ_LM,VPC_BE_LM_TRANSACTION
0.001103,0,0,0,0,0,0
0.002838,0,0,0,0,0,0
0.004364,0,0,0,0,0,0
0.005915,0,0,0,0,0,0
0.007426,0,0,0,0,0,0
0.008936,0,0,0,0,0,0
0.010458,0,0,0,0,0,0
0.011969,0,0,0,0,0,0
0.013642,0,0,0,0,0,0
0.015152,0,0,0,0,0,0
0.016692,0,0,0,0,0,0
0.018228,0,0,0,0,0,0
0.019705,0,0,0,0,0,0
0.021226,0,0,0,0,0,0
0.022673,0,0,0,0,0,0
0.024115,0,0,0,0,0,0
0.025579,0,0,0,0,0,0
0.027027,0,0,0,0,0,0
0.028471,0,0,0,0,0,0
0.029911,0,0,0,0,0,0
0.031364,0,0,0,0,0,0
0.032944,0,0,0,0,0,0
0.034327,0,0,0,0,0,0
0.035710,0,0,0,0,0,0
0.037143,0,0,0,0,0,0
0.038547,0,0,0,0,0,0
0.039929,0,0,0,0,0,0
0.041546,0,0,0,0,0,0
0.042937,0,0,0,0,0,0
0.044440,0,0,0,0,0,0
0.045945,0,0,0,0,0,0
0.047333,0,0,0,0,0,0
0.048841,0,0,0,0,0,0
0.050212,0,0,0,0,0,0
0.051585,0,0,0,0,0,0
0.052969,0,0,0,0,0,0
0.054292,0,0,0,0,0,0
0.055614,0,0,0,0,0,0
0.056936,0,0,0,0,0,0
0.058260,0,0,0,0,0,0
0.059588,0,0,0,0,0,0
0.060911,0,0,0,0,0,0
0.062322,0,0,0,0,0,0
0.063671,0,0,0,0,0,0
0.065064,0,0,0,0,0,0
0.066425,0,0,0,0,0,0
0.067778,0,0,0,0,0,0
0.069132,0,0,0,0,0,0
0.070667,0,0,0,0,0,0
0.072023,0,0,0,0,0,0
0.073447,0,0,0,0,0,0
0.074801,0,0,0,0,0,0
0.076155,0,0,0,0,0,0
0.077515,0,0,0,0,0,0
0.078921,0,0,0,0,0,0
0.080278,0,0,0,0,0,0
0.081490,0,0,0,0,0,0
0.082703,0,0,0,0,0,0
0.083911,0,0,0,0,0,0
0.085118,0,0,0,0,0,0
0.086322,0,0,0,0,0,0
0.087530,0,0,0,0,0,0
0.088735,0,0,0,0,0,0
0.089941,0,0,0,0,0,0
0.091148,0,0,0,0,0,0
0.092391,0,0,0,0,0,0
0.093599,0,0,0,0,0,0
0.094806,0,0,0,0,0,0
0.096012,0,0,0,0,0,0
0.097218,0,0,0,0,0,0
0.098578,0,0,0,0,0,0
0.099986,0,0,0,0,0,0
0.101648,0,0,0,0,0,0
0.103057,0,0,0,0,0,0
0.104464,0,0,0,0,0,0
0.105926,0,0,0,0,0,0
0.107332,0,0,0,0,0,0
0.108735,0,0,0,0,0,0
0.110144,0,0,0,0,0,0
0.111536,0,0,0,0,0,0
0.113060,0,0,0,0,0,0
0.115361,0,0,0,0,0,0
0.117211,0,0,0,0,0,0
0.118810,0,0,0,0,0,0
0.120222,0,0,0,0,0,0
0.121591,0,0,0,0,0,0
0.122981,0,0,0,0,0,0
0.124438,0,0,0,0,0,0
0.127308,0,0,0,0,0,0
0.128699,0,0,0,0,0,0
0.130138,0,0,0,0,0,0
0.131547,0,0,0,0,0,0
0.132938,0,0,0,0,0,0
0.134334,0,0,0,0,0,0
0.135724,0,0,0,0,0,0
0.137118,0,0,0,0,0,0
0.138515,0,0,0,0,0,0
0.139911,0,0,0,0,0,0
0.141306,0,0,0,0,0,0
0.142719,0,0,0,0,0,0
0.144114,0,0,0,0,0,0
0.145547,0,0,0,0,0,0
0.146944,0,0,0,0,0,0
0.148338,0,0,0,0,0,0
0.149934,0,0,0,0,0,0
0.151337,0,0,0,0,0,0
0.152746,0,0,0,0,0,0
0.154356,0,0,0,0,0,0
0.155916,0,0,0,0,0,0
0.157478,0,0,0,0,0,0
0.159040,0,0,0,0,0,0
0.160603,0,0,0,0,0,0
0.162210,0,0,0,0,0,0
0.163660,0,0,0,0,0,0
0.165195,0,0,0,0,0,0
0.166757,0,0,0,0,0,0
0.168316,0,0,0,0,0,0
0.169921,0,0,0,0,0,0
0.171481,0,0,0,0,0,0
0.173045,0,0,0,0,0,0
0.174489,0,0,0,0,0,0
0.176012,0,0,0,0,0,0
0.177649,0,0,0,0,0,0
0.179209,0,0,0,0,0,0
0.180770,0,0,0,0,0,0
0.182330,0,0,0,0,0,0
0.183888,0,0,0,0,0,0
0.185461,0,0,0,0,0,0
0.187022,0,0,0,0,0,0
0.188582,0,0,0,0,0,0
0.190142,0,0,0,0,0,0
0.191701,0,0,0,0,0,0
0.193137,0,0,0,0,0,0
0.194666,0,0,0,0,0,0
0.196236,0,0,0,0,0,0
0.197801,0,0,0,0,0,0
0.199359,0,0,0,0,0,0
0.200921,0,0,0,0,0,0
0.202480,0,0,0,0,0,0
0.204039,0,0,0,0,0,0
0.205651,0,0,0,0,0,0
0.207222,0,0,0,0,0,0
0.208828,0,0,0,0,0,0
0.210390,0,0,0,0,0,0
0.211948,0,0,0,0,0,0
0.213507,0,0,0,0,0,0
0.215067,0,0,0,0,0,0
0.216629,0,0,0,0,0,0
0.218202,0,0,0,0,0,0
0.219760,0,0,0,0,0,0
0.221320,0,0,0,0,0,0
0.222880,0,0,0,0,0,0
0.224441,0,0,0,0,0,0
0.226000,0,0,0,0,0,0
0.227558,0,0,0,0,0,0
0.229131,0,0,0,0,0,0
0.230691,0,0,0,0,0,0
0.232250,0,0,0,0,0,0
0.233814,0,0,0,0,0,0
0.235372,0,0,0,0,0,0
0.236932,0,0,0,0,0,0
0.238518,0,0,0,0,0,0
