elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.001090,0,0,0,0,0,275924,273508,272145,270419,268503,266523,264702,262807,261633
0.009340,0,0,0,0,0,128206,128206,128204,128203,128203,128207,128206,128207,128199
0.010866,0,0,0,0,0,100424,100463,100511,100550,100597,100631,100672,100717,100758
0.012268,0,0,0,0,0,103057,103056,103054,103059,103052,103052,103045,103050,103049
0.013680,0,0,0,0,0,102396,103403,104356,105557,106704,106827,106826,106807,106812
0.015109,0,0,0,0,0,107341,106665,106137,104952,104086,104441,104445,105244,105799
0.016601,0,0,0,0,0,103607,103274,102852,102828,102555,102062,102062,101260,100703
0.018034,0,0,0,0,0,98520,98466,98418,98369,98321,98284,98229,98195,98152
0.019474,0,0,0,0,0,98894,98916,98921,98938,98931,98942,98953,98957,98956
0.020872,0,0,0,0,0,98796,98776,98770,99130,100562,100561,100648,101009,101439
0.022269,0,0,0,0,0,100858,100876,100880,100512,99083,99089,99012,98643,98216
0.023653,0,0,0,0,0,98386,98373,98377,98383,98383,98357,98344,98349,98361
0.025037,0,0,0,0,0,98260,98259,98241,98215,98215,98220,98219,98206,98181
0.026421,0,0,0,0,0,115458,116677,116700,116818,118882,120474,121768,123697,123928
0.028004,0,0,0,0,0,116827,115837,116481,116764,114928,113571,112494,110788,111053
0.029503,0,0,0,0,0,111050,111043,110611,110444,110425,110417,110440,110499,110254
0.030975,0,0,0,0,0,110441,110488,110504,110539,110609,110656,110672,110647,110676
0.032450,0,0,0,0,0,111014,110995,111006,110992,110974,110968,110979,110948,110935
0.033978,0,0,0,0,0,110528,110539,110550,110573,110578,110582,110587,110621,110633
0.035502,0,0,0,0,0,110438,110442,110410,110397,110367,110337,110289,110283,110251
0.036975,0,0,0,0,0,110688,110663,110657,110639,110642,110653,110688,110699,110704
0.038450,0,0,0,0,0,111833,112017,112004,111973,112210,112173,112994,112963,113410
0.039967,0,0,0,0,0,107580,106578,105781,104996,103938,103146,101485,100669,99401
0.041392,0,0,0,0,0,97539,97537,97539,97538,97537,97540,97553,97559,97555
0.042789,0,0,0,0,0,97982,97981,97981,97979,97978,97980,98080,98339,98338
