elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.001094,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.002763,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.004641,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.006591,0,0,34,1,267,0,0,0,0,0,0,0,0,0
0.008384,0,0,34,1,263,0,0,0,0,0,0,0,0,0
0.010305,0,0,34,1,251,0,0,0,0,0,0,0,0,0
0.012150,0,0,34,1,219,0,0,0,0,0,0,0,0,0
0.014020,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.015743,0,0,34,1,221,0,0,0,0,0,0,0,0,0
0.017479,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.019212,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.021055,0,0,34,1,267,0,0,0,0,0,0,0,0,0
0.023043,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.025077,0,0,34,1,219,0,0,0,0,0,0,0,0,0
0.027054,0,0,34,1,215,0,0,0,0,0,0,0,0,0
0.029066,0,0,34,1,263,0,0,0,0,0,0,0,0,0
0.031118,0,0,34,1,267,0,0,0,0,0,0,0,0,0
0.033215,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.035260,0,0,34,1,215,0,0,0,0,0,0,0,0,0
0.037339,0,0,34,1,263,0,0,0,0,0,0,0,0,0
0.039483,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.041787,0,0,34,1,263,0,0,0,0,0,0,0,0,0
0.043902,0,0,34,1,253,0,0,0,0,0,0,0,0,0
0.045964,0,0,34,1,267,0,0,0,0,0,0,0,0,0
0.047994,0,0,34,1,259,0,0,0,0,0,0,0,0,0
0.049958,0,0,34,1,219,0,0,0,0,0,0,0,0,0
0.051963,0,0,34,1,267,0,0,0,0,0,0,0,0,0
0.053960,0,0,34,1,221,0,0,0,0,0,0,0,0,0
0.055924,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.058035,0,0,34,1,219,0,0,0,0,0,0,0,0,0
0.060007,0,0,34,1,267,0,0,0,0,0,0,0,0,0
0.062264,0,0,34,1,273,0,0,0,0,0,0,0,0,0
0.064285,0,0,34,1,221,0,0,0,0,0,0,0,0,0
0.066419,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.068386,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.070412,0,0,34,1,263,0,0,0,0,0,0,0,0,0
0.366616,3,3,243,4,1886,0,0,0,0,0,0,0,0,0
0.374552,0,0,40,1,252,0,0,0,0,0,0,0,0,0
0.376076,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.377580,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.378983,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.380414,0,0,34,1,237,0,0,0,0,0,0,0,0,0
0.381838,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.383222,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.384728,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.386235,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.387624,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.389029,0,0,34,1,239,0,0,0,0,0,0,0,0,0
0.390495,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.391963,0,0,35,1,217,0,0,0,0,0,0,0,0,0
0.393503,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.394998,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.396563,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.398032,0,0,34,1,237,0,0,0,0,0,0,0,0,0
0.399501,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.401027,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.402502,0,0,36,1,225,0,0,0,0,0,0,0,0,0
