elapsed_s,TSE_SETUP_CTRL_WORKING_CYCLE_L2,TSE_SETUP_FDP3_WORKING_CYCLE_L2,TSE_SETUP_FDP3_0_WORKING_CYCLE_L3,TSE_SETUP_FDP3_1_WORKING_CYCLE_L3
0.171192,0,0,0,0
0.172614,0,0,0,0
0.174132,0,0,0,0
0.175571,0,0,0,0
0.177138,0,0,0,0
0.178690,0,0,0,0
0.180239,0,0,0,0
0.181794,0,0,0,0
0.183343,0,0,0,0
0.184938,0,0,0,0
0.186503,0,0,0,0
0.188052,0,0,0,0
0.189606,0,0,0,0
0.191155,0,0,0,0
0.192750,0,0,0,0
0.194301,0,0,0,0
0.195849,0,0,0,0
0.197414,0,0,0,0
0.198965,0,0,0,0
0.201418,0,0,0,0
0.202836,0,0,0,0
0.204225,0,0,0,0
0.205615,0,0,0,0
0.207000,0,0,0,0
0.208397,0,0,0,0
0.209912,0,0,0,0
0.211461,0,0,0,0
0.213013,0,0,0,0
0.214563,0,0,0,0
0.216111,0,0,0,0
0.217666,0,0,0,0
0.219103,0,0,0,0
0.220504,0,0,0,0
0.221895,0,0,0,0
0.223283,0,0,0,0
0.224672,0,0,0,0
0.226055,0,0,0,0
0.227436,0,0,0,0
0.228892,0,0,0,0
0.230416,0,0,0,0
0.231967,0,0,0,0
0.233570,0,0,0,0
0.235120,0,0,0,0
0.236674,0,0,0,0
0.238225,0,0,0,0
0.239775,0,0,0,0
0.241385,0,0,0,0
0.242938,0,0,0,0
0.244491,0,0,0,0
0.246042,0,0,0,0
0.247593,0,0,0,0
0.249189,0,0,0,0
0.250741,0,0,0,0
0.252389,0,0,0,0
0.253861,0,0,0,0
0.255254,0,0,0,0
0.256816,0,0,0,0
0.258367,0,0,0,0
0.259916,0,0,0,0
0.261467,0,0,0,0
0.263032,0,0,0,0
0.264586,0,0,0,0
0.266182,0,0,0,0
0.267732,0,0,0,0
0.269283,0,0,0,0
0.270834,0,0,0,0
0.272386,0,0,0,0
0.273995,0,0,0,0
0.275547,0,0,0,0
0.277099,0,0,0,0
0.278651,0,0,0,0
0.280201,0,0,0,0
0.281758,0,0,0,0
0.283308,0,0,0,0
0.284875,0,0,0,0
0.286427,0,0,0,0
0.287978,0,0,0,0
0.289592,0,0,0,0
0.291142,0,0,0,0
0.292696,0,0,0,0
0.294248,0,0,0,0
0.295812,0,0,0,0
0.297406,0,0,0,0
0.298958,0,0,0,0
0.300511,0,0,0,0
0.302064,0,0,0,0
0.303613,0,0,0,0
0.305207,0,0,0,0
0.306774,0,0,0,0
0.308327,0,0,0,0
0.309880,0,0,0,0
0.311430,0,0,0,0
0.313027,0,0,0,0
0.314580,0,0,0,0
0.316129,0,0,0,0
0.317650,0,0,0,0
0.319043,0,0,0,0
0.320559,0,0,0,0
0.322154,0,0,0,0
0.323704,0,0,0,0
0.325255,0,0,0,0
0.326806,0,0,0,0
0.328418,0,0,0,0
0.330005,0,0,0,0
0.331545,0,0,0,0
0.332967,0,0,0,0
0.334444,0,0,0,0
0.335998,0,0,0,0
0.337604,0,0,0,0
0.339167,0,0,0,0
0.340720,0,0,0,0
0.342272,0,0,0,0
0.343822,0,0,0,0
0.345417,0,0,0,0
0.346970,0,0,0,0
0.348523,0,0,0,0
0.350089,0,0,0,0
0.351567,0,0,0,0
0.353147,0,0,0,0
0.354700,0,0,0,0
0.356250,0,0,0,0
0.357657,0,0,0,0
0.359050,0,0,0,0
0.360577,0,0,0,0
0.362173,0,0,0,0
0.363722,0,0,0,0
0.365274,0,0,0,0
0.366827,0,0,0,0
0.368380,0,0,0,0
0.369932,0,0,0,0
0.371496,0,0,0,0
0.373049,0,0,0,0
0.374601,0,0,0,0
0.376151,0,0,0,0
0.377708,0,0,0,0
0.379259,0,0,0,0
0.380813,0,0,0,0
0.382378,0,0,0,0
0.383929,0,0,0,0
0.385523,0,0,0,0
0.387076,0,0,0,0
0.388630,0,0,0,0
0.390181,0,0,0,0
0.391731,0,0,0,0
0.393339,0,0,0,0
0.394892,0,0,0,0
0.396445,0,0,0,0
0.397997,0,0,0,0
0.399547,0,0,0,0
0.401143,0,0,0,0
0.402695,0,0,0,0
0.404259,0,0,0,0
0.405675,0,0,0,0
0.407067,0,0,0,0
0.408586,0,0,0,0
0.410183,0,0,0,0
0.411733,0,0,0,0
0.413285,0,0,0,0
0.414851,0,0,0,0
0.416404,0,0,0,0
0.418000,0,0,0,0
0.419665,0,0,0,0
0.421134,0,0,0,0
0.422530,0,0,0,0
0.424047,0,0,0,0
0.425617,0,0,0,0
0.427168,0,0,0,0
0.428721,0,0,0,0
0.430272,0,0,0,0
0.431822,0,0,0,0
0.433417,0,0,0,0
0.434960,0,0,0,0
0.436475,0,0,0,0
0.437999,0,0,0,0
0.439550,0,0,0,0
0.441147,0,0,0,0
0.442699,0,0,0,0
0.444248,0,0,0,0
0.445736,0,0,0,0
0.447137,0,0,0,0
0.448655,0,0,0,0
0.450208,0,0,0,0
0.451757,0,0,0,0
0.453307,0,0,0,0
0.454857,0,0,0,0
0.456409,0,0,0,0
0.458028,0,0,0,0
0.459579,0,0,0,0
0.461133,0,0,0,0
0.462685,0,0,0,0
0.464235,0,0,0,0
0.465792,0,0,0,0
0.467342,0,0,0,0
0.468909,0,0,0,0
0.470462,0,0,0,0
0.472012,0,0,0,0
0.473568,0,0,0,0
0.475118,0,0,0,0
0.476672,0,0,0,0
0.478225,0,0,0,0
0.479789,0,0,0,0
0.481384,0,0,0,0
0.482936,0,0,0,0
0.484489,0,0,0,0
0.486040,0,0,0,0
0.487591,0,0,0,0
0.489188,0,0,0,0
0.490753,0,0,0,0
0.492387,0,0,0,0
0.494002,0,0,0,0
0.495552,0,0,0,0
0.497149,0,0,0,0
0.498701,0,0,0,0
0.500252,0,0,0,0
0.501861,0,0,0,0
0.503411,0,0,0,0
0.505007,0,0,0,0
0.506559,0,0,0,0
0.508110,0,0,0,0
0.509665,0,0,0,0
0.511215,0,0,0,0
0.512825,0,0,0,0
0.514378,0,0,0,0
0.515928,0,0,0,0
0.517479,0,0,0,0
0.519021,0,0,0,0
0.520588,0,0,0,0
0.522209,0,0,0,0
0.523773,0,0,0,0
0.525325,0,0,0,0
0.526878,0,0,0,0
0.528431,0,0,0,0
0.530027,0,0,0,0
0.531576,0,0,0,0
0.533129,0,0,0,0
0.534696,0,0,0,0
0.536245,0,0,0,0
0.537769,0,0,0,0
0.539155,0,0,0,0
0.540538,0,0,0,0
0.542052,0,0,0,0
0.543601,0,0,0,0
0.545208,0,0,0,0
0.546757,0,0,0,0
0.548372,0,0,0,0
0.549985,0,0,0,0
0.551533,0,0,0,0
0.553128,0,0,0,0
0.554678,0,0,0,0
0.556240,0,0,0,0
0.557794,0,0,0,0
0.559343,0,0,0,0
0.560936,0,0,0,0
0.562487,0,0,0,0
0.564035,0,0,0,0
0.565588,0,0,0,0
0.567149,0,0,0,0
0.568744,0,0,0,0
0.570295,0,0,0,0
0.571842,0,0,0,0
0.573392,0,0,0,0
0.574941,0,0,0,0
0.576493,0,0,0,0
0.578101,0,0,0,0
0.579650,0,0,0,0
0.581199,0,0,0,0
0.582748,0,0,0,0
0.584379,0,0,0,0
0.586035,0,0,0,0
0.587583,0,0,0,0
0.589146,0,0,0,0
0.590696,0,0,0,0
0.592243,0,0,0,0
0.593795,0,0,0,0
0.595343,0,0,0,0
0.596894,0,0,0,0
0.598444,0,0,0,0
0.600006,0,0,0,0
0.601646,0,0,0,0
0.603194,0,0,0,0
0.604745,0,0,0,0
0.606295,0,0,0,0
0.607844,0,0,0,0
0.609437,0,0,0,0
0.611002,0,0,0,0
0.612554,0,0,0,0
0.614104,0,0,0,0
0.615652,0,0,0,0
0.617245,0,0,0,0
0.618794,0,0,0,0
0.620387,0,0,0,0
0.621808,0,0,0,0
0.623197,0,0,0,0
0.624760,0,0,0,0
0.626312,0,0,0,0
0.627863,0,0,0,0
0.629414,0,0,0,0
0.630966,0,0,0,0
0.632534,0,0,0,0
0.634131,0,0,0,0
0.635680,0,0,0,0
0.637231,0,0,0,0
0.638784,0,0,0,0
0.640337,0,0,0,0
0.641880,0,0,0,0
0.643436,0,0,0,0
0.644859,0,0,0,0
0.646381,0,0,0,0
0.647931,0,0,0,0
