elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.001096,0,0,0,0
0.002591,0,0,0,0
0.004010,0,0,0,0
0.005427,0,0,0,0
0.006938,0,0,0,0
0.008352,0,0,0,0
0.009780,0,0,0,0
0.011195,0,0,0,0
0.012609,0,0,0,0
0.014022,0,0,0,0
0.015473,0,0,0,0
0.017068,0,0,0,0
0.018616,0,0,0,0
0.019995,0,0,0,0
0.021340,0,0,0,0
0.022732,0,0,0,0
0.024080,0,0,0,0
0.025425,0,0,0,0
0.026818,0,0,0,0
0.028164,0,0,0,0
0.029511,0,0,0,0
0.030930,0,0,0,0
0.032278,0,0,0,0
0.033624,0,0,0,0
0.034978,0,0,0,0
0.036324,0,0,0,0
0.037658,0,0,0,0
0.039065,0,0,0,0
0.040413,0,0,0,0
0.041758,0,0,0,0
0.043090,0,0,0,0
0.044418,0,0,0,0
0.045794,0,0,0,0
0.047126,0,0,0,0
0.048465,0,0,0,0
0.049795,0,0,0,0
0.051112,0,0,0,0
0.052405,0,0,0,0
0.053741,0,0,0,0
0.055040,0,0,0,0
0.056331,0,0,0,0
0.057622,0,0,0,0
0.058912,0,0,0,0
0.060203,0,0,0,0
0.061493,0,0,0,0
0.062852,0,0,0,0
0.064114,0,0,0,0
0.065370,0,0,0,0
0.066719,0,0,0,0
0.068108,0,0,0,0
0.069453,0,0,0,0
0.070804,0,0,0,0
0.072180,0,0,0,0
0.073551,0,0,0,0
0.074900,0,0,0,0
0.076244,0,0,0,0
0.077583,0,0,0,0
0.078975,0,0,0,0
0.080353,0,0,0,0
0.081731,0,0,0,0
0.083345,0,0,0,0
0.086494,0,0,0,0
0.087898,0,0,0,0
0.089347,0,0,0,0
0.092064,0,0,0,0
0.093820,0,0,0,0
0.095326,0,0,0,0
0.096566,0,0,0,0
0.098986,0,0,0,0
0.100376,0,0,0,0
0.101589,0,0,0,0
0.102789,0,0,0,0
0.103986,0,0,0,0
0.105181,0,0,0,0
0.106375,0,0,0,0
0.107568,0,0,0,0
0.108762,0,0,0,0
0.109959,0,0,0,0
0.111153,0,0,0,0
0.112346,0,0,0,0
0.113539,0,0,0,0
0.115021,0,0,0,0
0.116420,0,0,0,0
0.117670,0,0,0,0
0.119129,0,0,0,0
0.120373,0,0,0,0
0.121616,0,0,0,0
0.122861,0,0,0,0
0.124102,0,0,0,0
0.125344,0,0,0,0
0.126587,0,0,0,0
0.127829,0,0,0,0
0.129070,0,0,0,0
0.130350,0,0,0,0
0.131591,0,0,0,0
0.132835,0,0,0,0
0.134222,0,0,0,0
0.135651,0,0,0,0
0.137039,0,0,0,0
0.138425,0,0,0,0
0.141927,0,0,0,0
0.146908,0,0,0,0
0.148292,0,0,0,0
0.149636,0,0,0,0
0.150985,0,0,0,0
0.152333,0,0,0,0
0.153669,0,0,0,0
0.155251,0,0,0,0
0.156608,0,0,0,0
0.157984,0,0,0,0
0.159323,0,0,0,0
0.160661,0,0,0,0
0.161998,0,0,0,0
0.163411,0,0,0,0
0.164920,0,0,0,0
0.166338,0,0,0,0
0.167862,0,0,0,0
0.169297,0,0,0,0
0.170693,0,0,0,0
0.172231,0,0,0,0
0.173618,0,0,0,0
0.175011,0,0,0,0
0.176396,0,0,0,0
0.177912,0,0,0,0
0.179522,0,0,0,0
0.180985,0,0,0,0
0.182511,0,0,0,0
0.183906,0,0,0,0
0.185294,0,0,0,0
0.186682,0,0,0,0
0.188068,0,0,0,0
0.189916,0,0,0,0
0.192661,0,0,0,0
0.194160,0,0,0,0
0.195834,0,0,0,0
0.197425,0,0,0,0
0.198906,0,0,0,0
0.200304,0,0,0,0
0.201787,0,0,0,0
0.203166,0,0,0,0
0.204546,0,0,0,0
0.205967,0,0,0,0
0.207381,0,0,0,0
0.208761,0,0,0,0
0.210180,0,0,0,0
0.211704,0,0,0,0
0.213252,0,0,0,0
0.214801,0,0,0,0
0.216202,0,0,0,0
0.217602,0,0,0,0
0.218992,0,0,0,0
0.220378,0,0,0,0
0.221776,0,0,0,0
0.223188,0,0,0,0
0.224575,0,0,0,0
0.226136,0,0,0,0
0.227688,0,0,0,0
0.229236,0,0,0,0
0.230788,0,0,0,0
0.232353,0,0,0,0
0.233906,0,0,0,0
0.235448,0,0,0,0
0.236987,0,0,0,0
0.238406,0,0,0,0
0.239925,0,0,0,0
0.241473,0,0,0,0
0.243039,0,0,0,0
0.244588,0,0,0,0
0.246139,0,0,0,0
0.247927,0,0,0,0
0.249478,0,0,0,0
0.251030,0,0,0,0
0.252576,0,0,0,0
0.254017,0,0,0,0
0.255542,0,0,0,0
0.257092,0,0,0,0
0.258687,0,0,0,0
0.260238,0,0,0,0
0.261791,0,0,0,0
0.263343,0,0,0,0
0.264907,0,0,0,0
0.266460,0,0,0,0
0.268011,0,0,0,0
0.269561,0,0,0,0
0.271116,0,0,0,0
0.272666,0,0,0,0
0.274263,0,0,0,0
0.275828,0,0,0,0
0.277377,0,0,0,0
0.278891,0,0,0,0
0.280410,0,0,0,0
0.281963,0,0,0,0
0.283515,0,0,0,0
0.285065,0,0,0,0
0.286628,0,0,0,0
0.288180,0,0,0,0
0.289733,0,0,0,0
0.291284,0,0,0,0
0.292832,0,0,0,0
0.294383,0,0,0,0
0.295935,0,0,0,0
0.297498,0,0,0,0
0.299053,0,0,0,0
0.300603,0,0,0,0
0.302155,0,0,0,0
0.303707,0,0,0,0
0.305257,0,0,0,0
0.306851,0,0,0,0
0.308415,0,0,0,0
0.309968,0,0,0,0
0.311519,0,0,0,0
0.313067,0,0,0,0
0.314618,0,0,0,0
0.316170,0,0,0,0
0.317722,0,0,0,0
0.319277,0,0,0,0
0.320817,0,0,0,0
0.322271,0,0,0,0
0.323790,0,0,0,0
0.325338,0,0,0,0
0.326937,0,0,0,0
0.328487,0,0,0,0
0.330050,0,0,0,0
0.331599,0,0,0,0
0.333146,0,0,0,0
0.334696,0,0,0,0
0.336245,0,0,0,0
0.337795,0,0,0,0
0.339389,0,0,0,0
0.340950,0,0,0,0
0.342501,0,0,0,0
0.344050,0,0,0,0
0.345598,0,0,0,0
0.347152,0,0,0,0
0.348700,0,0,0,0
0.350250,0,0,0,0
0.351812,0,0,0,0
0.353360,0,0,0,0
0.354969,0,0,0,0
0.356517,0,0,0,0
0.358068,0,0,0,0
0.359666,0,0,0,0
