elapsed_s,TP_2D_OUTPUT_PIXELS_BILINEAR,TP_2D_FILTER_WORKLOAD_16BIT,TP_2D_FILTER_WORKLOAD_32BIT,TP_TPA2TPC_TRANS,TP_L1_MISSES_ASTC_1TILE,TP_L1_MISSES_ASTC_2TILE,TP_L1_MISSES_ASTC_4TILE,TP_L1_5_COMPRESS_REQS,TP_L1_5_L2_COMPRESS_MISS,TP_L1_BANK_CONFLICT,TP_L1_5_MISS_LATENCY_CYCLES,TP_L1_5_MISS_LATENCY_TRANS
0.001118,0,0,0,0,0,0,0,0,0,0,0,0
0.002748,0,0,0,0,0,0,0,0,0,0,0,0
0.004367,0,0,0,0,0,0,0,0,0,0,0,0
0.006129,0,0,0,0,0,0,0,0,0,0,0,0
0.007953,0,0,0,0,0,0,0,0,0,0,0,0
0.009560,0,0,0,0,0,0,0,0,0,0,0,0
0.011185,0,0,0,0,0,0,0,0,0,0,0,0
0.013025,0,0,0,0,0,0,0,0,0,0,0,0
0.014634,0,0,0,0,0,0,0,0,0,0,0,0
0.016280,0,0,0,0,0,0,0,0,0,0,0,0
0.017911,0,0,0,0,0,0,0,0,0,0,0,0
0.019703,0,0,0,0,0,0,0,0,0,0,0,0
0.021465,0,0,0,0,0,0,0,0,0,0,0,0
0.023089,0,0,0,0,0,0,0,0,0,0,0,0
0.024817,0,0,0,0,0,0,0,0,0,0,0,0
0.026431,0,0,0,0,0,0,0,0,0,0,0,0
0.028061,0,0,0,0,0,0,0,0,0,0,0,0
0.029681,0,0,0,0,0,0,0,0,0,0,0,0
0.031290,0,0,0,0,0,0,0,0,0,0,0,0
0.032958,0,0,0,0,0,0,0,0,0,0,0,0
0.034562,0,0,0,0,0,0,0,0,0,0,0,0
0.036165,0,0,0,0,0,0,0,0,0,0,0,0
0.037768,0,0,0,0,0,0,0,0,0,0,0,0
0.039541,0,0,0,0,0,0,0,0,0,0,0,0
0.041316,0,0,0,0,0,0,0,0,0,0,0,0
0.042893,0,0,0,0,0,0,0,0,0,0,0,0
0.044471,0,0,0,0,0,0,0,0,0,0,0,0
0.046049,0,0,0,0,0,0,0,0,0,0,0,0
0.047704,0,0,0,0,0,0,0,0,0,0,0,0
0.049282,0,0,0,0,0,0,0,0,0,0,0,0
0.050870,0,0,0,0,0,0,0,0,0,0,0,0
0.052450,0,0,0,0,0,0,0,0,0,0,0,0
0.054029,0,0,0,0,0,0,0,0,0,0,0,0
0.055738,0,0,0,0,0,0,0,0,0,0,0,0
0.057335,0,0,0,0,0,0,0,0,0,0,0,0
0.058970,0,0,0,0,0,0,0,0,0,0,0,0
0.060483,0,0,0,0,0,0,0,0,0,0,0,0
0.062013,0,0,0,0,0,0,0,0,0,0,0,0
0.063526,0,0,0,0,0,0,0,0,0,0,0,0
0.065043,0,0,0,0,0,0,0,0,0,0,0,0
0.066556,0,0,0,0,0,0,0,0,0,0,0,0
0.068068,0,0,0,0,0,0,0,0,0,0,0,0
0.069592,0,0,0,0,0,0,0,0,0,0,0,0
0.071104,0,0,0,0,0,0,0,0,0,0,0,0
0.072646,0,0,0,0,0,0,0,0,0,0,0,0
0.074074,0,0,0,0,0,0,0,0,0,0,0,0
0.075506,0,0,0,0,0,0,0,0,0,0,0,0
0.076898,0,0,0,0,0,0,0,0,0,0,0,0
0.078256,0,0,0,0,0,0,0,0,0,0,0,0
0.079614,0,0,0,0,0,0,0,0,0,0,0,0
0.080974,0,0,0,0,0,0,0,0,0,0,0,0
0.082331,0,0,0,0,0,0,0,0,0,0,0,0
0.083705,0,0,0,0,0,0,0,0,0,0,0,0
0.085059,0,0,0,0,0,0,0,0,0,0,0,0
0.086464,0,0,0,0,0,0,0,0,0,0,0,0
0.087941,0,0,0,0,0,0,0,0,0,0,0,0
0.089334,0,0,0,0,0,0,0,0,0,0,0,0
0.090723,0,0,0,0,0,0,0,0,0,0,0,0
0.092110,0,0,0,0,0,0,0,0,0,0,0,0
0.093585,0,0,0,0,0,0,0,0,0,0,0,0
0.095016,0,0,0,0,0,0,0,0,0,0,0,0
0.096410,0,0,0,0,0,0,0,0,0,0,0,0
0.097799,0,0,0,71296,0,0,0,0,0,0,195622,2495
0.099041,0,0,0,182656,0,0,0,0,0,0,366555,6116
0.100328,0,0,0,192640,0,0,0,0,0,0,377448,6335
0.101569,0,0,0,184192,0,0,0,0,0,0,369093,6144
0.102808,0,0,0,184064,0,0,0,0,0,0,362850,6080
0.104049,0,0,0,184576,0,0,0,0,0,0,368985,6149
0.105288,0,0,0,183680,0,0,0,0,0,0,361227,6019
0.106527,0,0,0,184448,0,0,0,0,0,0,364106,6172
0.107767,0,0,0,183808,0,0,0,0,0,0,364673,6069
0.109006,0,0,0,184448,0,0,0,0,0,0,365645,6115
0.110244,0,0,0,183040,0,0,0,0,0,0,365483,6063
0.111482,0,0,0,178304,0,0,0,0,0,0,340872,5684
0.112749,0,0,0,0,0,0,0,0,0,0,0,0
0.114142,0,0,0,0,0,0,0,0,0,0,0,0
0.115428,0,0,0,0,0,0,0,0,0,0,0,0
0.116822,0,0,0,0,0,0,0,0,0,0,0,0
0.118215,0,0,0,0,0,0,0,0,0,0,0,0
0.119551,0,0,0,0,0,0,0,0,0,0,0,0
0.120969,0,0,0,0,0,0,0,0,0,0,0,0
0.122375,0,0,0,0,0,0,0,0,0,0,0,0
0.123784,0,0,0,0,0,0,0,0,0,0,0,0
0.125203,0,0,0,0,0,0,0,0,0,0,0,0
0.126504,0,0,0,0,0,0,0,0,0,0,0,0
0.127910,0,0,0,0,0,0,0,0,0,0,0,0
0.129317,0,0,0,0,0,0,0,0,0,0,0,0
0.130723,0,0,0,0,0,0,0,0,0,0,0,0
0.132189,0,0,0,0,0,0,0,0,0,0,0,0
0.133497,0,0,0,0,0,0,0,0,0,0,0,0
0.134910,0,0,0,0,0,0,0,0,0,0,0,0
0.136343,0,0,0,0,0,0,0,0,0,0,0,0
0.137681,0,0,0,0,0,0,0,0,0,0,0,0
0.139015,0,0,0,0,0,0,0,0,0,0,0,0
0.140349,0,0,0,0,0,0,0,0,0,0,0,0
0.141681,0,0,0,0,0,0,0,0,0,0,0,0
0.143011,0,0,0,0,0,0,0,0,0,0,0,0
0.144341,0,0,0,0,0,0,0,0,0,0,0,0
0.145683,0,0,0,0,0,0,0,0,0,0,0,0
0.147017,0,0,0,0,0,0,0,0,0,0,0,0
0.148350,0,0,0,0,0,0,0,0,0,0,0,0
0.149684,0,0,0,0,0,0,0,0,0,0,0,0
0.151017,0,0,0,0,0,0,0,0,0,0,0,0
0.152475,0,0,0,0,0,0,0,0,0,0,0,0
0.154081,0,0,0,0,0,0,0,0,0,0,0,0
0.155675,0,0,0,0,0,0,0,0,0,0,0,0
0.157281,0,0,0,0,0,0,0,0,0,0,0,0
0.158873,0,0,0,0,0,0,0,0,0,0,0,0
0.160465,0,0,0,0,0,0,0,0,0,0,0,0
0.162057,0,0,0,0,0,0,0,0,0,0,0,0
0.163650,0,0,0,0,0,0,0,0,0,0,0,0
0.165242,0,0,0,0,0,0,0,0,0,0,0,0
0.166834,0,0,0,0,0,0,0,0,0,0,0,0
0.168358,0,0,0,0,0,0,0,0,0,0,0,0
0.169920,0,0,0,0,0,0,0,0,0,0,0,0
0.171513,0,0,0,0,0,0,0,0,0,0,0,0
0.173104,0,0,0,0,0,0,0,0,0,0,0,0
0.174693,0,0,0,0,0,0,0,0,0,0,0,0
0.176163,0,0,0,0,0,0,0,0,0,0,0,0
0.177733,0,0,0,0,0,0,0,0,0,0,0,0
0.179260,0,0,0,0,0,0,0,0,0,0,0,0
0.180830,0,0,0,0,0,0,0,0,0,0,0,0
0.182423,0,0,0,0,0,0,0,0,0,0,0,0
0.184063,0,0,0,0,0,0,0,0,0,0,0,0
0.185659,0,0,0,0,0,0,0,0,0,0,0,0
0.187252,0,0,0,0,0,0,0,0,0,0,0,0
0.188851,0,0,0,0,0,0,0,0,0,0,0,0
0.190458,0,0,0,0,0,0,0,0,0,0,0,0
0.192054,0,0,0,0,0,0,0,0,0,0,0,0
0.193649,0,0,0,0,0,0,0,0,0,0,0,0
0.195242,0,0,0,0,0,0,0,0,0,0,0,0
0.196841,0,0,0,0,0,0,0,0,0,0,0,0
0.198433,0,0,0,0,0,0,0,0,0,0,0,0
0.200073,0,0,0,0,0,0,0,0,0,0,0,0
0.201681,0,0,0,0,0,0,0,0,0,0,0,0
0.203275,0,0,0,0,0,0,0,0,0,0,0,0
0.204848,0,0,0,0,0,0,0,0,0,0,0,0
0.206283,0,0,0,0,0,0,0,0,0,0,0,0
0.207844,0,0,0,0,0,0,0,0,0,0,0,0
0.209438,0,0,0,0,0,0,0,0,0,0,0,0
0.211031,0,0,0,0,0,0,0,0,0,0,0,0
0.212637,0,0,0,0,0,0,0,0,0,0,0,0
0.214232,0,0,0,0,0,0,0,0,0,0,0,0
0.215828,0,0,0,0,0,0,0,0,0,0,0,0
0.217424,0,0,0,0,0,0,0,0,0,0,0,0
0.219016,0,0,0,0,0,0,0,0,0,0,0,0
0.220610,0,0,0,0,0,0,0,0,0,0,0,0
0.222205,0,0,0,0,0,0,0,0,0,0,0,0
0.223815,0,0,0,0,0,0,0,0,0,0,0,0
0.225411,0,0,0,0,0,0,0,0,0,0,0,0
0.227004,0,0,0,0,0,0,0,0,0,0,0,0
0.228598,0,0,0,0,0,0,0,0,0,0,0,0
0.230193,0,0,0,0,0,0,0,0,0,0,0,0
0.231789,0,0,0,0,0,0,0,0,0,0,0,0
0.233428,0,0,0,0,0,0,0,0,0,0,0,0
0.235036,0,0,0,0,0,0,0,0,0,0,0,0
0.236631,0,0,0,0,0,0,0,0,0,0,0,0
0.238223,0,0,0,0,0,0,0,0,0,0,0,0
0.239816,0,0,0,0,0,0,0,0,0,0,0,0
0.241401,0,0,0,0,0,0,0,0,0,0,0,0
0.242985,0,0,0,0,0,0,0,0,0,0,0,0
0.244449,0,0,0,0,0,0,0,0,0,0,0,0
0.246021,0,0,0,0,0,0,0,0,0,0,0,0
0.247615,0,0,0,0,0,0,0,0,0,0,0,0
0.249252,0,0,0,0,0,0,0,0,0,0,0,0
0.250843,0,0,0,0,0,0,0,0,0,0,0,0
0.252436,0,0,0,0,0,0,0,0,0,0,0,0
0.254027,0,0,0,0,0,0,0,0,0,0,0,0
0.256208,0,0,0,0,0,0,0,0,0,0,0,0
0.257697,0,0,0,0,0,0,0,0,0,0,0,0
0.259133,0,0,0,0,0,0,0,0,0,0,0,0
0.260709,0,0,0,0,0,0,0,0,0,0,0,0
0.262138,0,0,0,0,0,0,0,0,0,0,0,0
