elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.001095,0,0,0,1987
0.002585,0,0,0,1995
0.003952,0,0,0,2009
0.005297,0,0,0,1995
0.006683,0,0,0,1982
0.008022,0,0,0,2140
0.009354,0,0,0,1988
0.010855,0,0,0,2118
0.012170,0,0,0,2000
0.013484,0,0,0,2103
0.014799,0,0,0,1983
0.016107,0,0,0,1998
0.017451,0,0,0,2000
0.018788,0,0,0,2099
0.020044,0,0,0,1983
0.021302,0,0,0,1995
0.022559,0,0,0,1982
0.023825,0,0,0,1976
0.025081,0,0,0,2018
0.026360,0,0,0,1982
0.027702,0,0,0,2020
0.029042,0,0,0,2031
0.030382,0,0,0,1989
0.031782,0,0,0,1736
0.033130,0,0,0,1746
0.034625,0,0,0,1832
0.036040,0,0,0,1780
0.037428,0,0,0,1765
0.038929,0,0,0,1544
0.040469,0,0,0,1548
0.041959,0,0,0,1556
0.043360,0,0,0,1566
0.044747,0,0,0,1550
0.046133,0,0,0,1613
0.047518,0,0,0,1578
0.048906,312,281,0,16096
0.050977,0,0,0,1793
0.052377,0,0,0,1618
0.053768,0,0,0,1641
0.055150,0,0,0,1581
0.056531,0,0,0,1706
0.057913,0,0,0,1667
0.059298,101892,227,0,100947
0.060537,286924,227,0,146356
0.061915,0,0,0,2188
0.063312,0,0,0,2192
0.064696,0,0,0,2149
0.066082,0,0,0,2032
0.067465,0,0,0,2032
0.068880,0,0,0,2117
0.070279,0,0,0,2035
0.071662,0,0,0,2141
0.073045,0,0,0,2114
0.074437,0,0,0,2068
0.076137,0,0,0,2099
0.078261,0,0,0,2046
0.079714,0,0,0,2076
0.081096,0,0,0,2042
0.085776,0,0,0,2192
0.087229,0,0,0,2111
0.088611,0,0,0,2028
0.090090,0,0,0,2029
0.091445,0,0,0,2025
0.092759,0,0,0,2051
0.094073,0,0,0,2055
0.095386,0,0,0,2050
0.096698,0,0,0,2049
0.098040,0,0,0,2033
0.099665,0,0,0,2051
0.101045,0,0,0,2036
0.102430,0,0,0,2151
0.103815,0,0,0,2029
0.105195,0,0,0,2051
0.106615,0,0,0,2052
0.108124,0,0,0,2053
0.109555,0,0,0,2050
0.111107,0,0,0,2047
0.112530,0,0,0,2049
0.114096,0,0,0,2050
0.115649,0,0,0,2027
0.117199,0,0,0,2032
0.118751,0,0,0,2031
0.120315,0,0,0,2038
0.121911,0,0,0,2049
0.123453,0,0,0,2093
0.124993,0,0,0,2031
0.126411,0,0,0,2032
0.127932,0,0,0,2048
0.129525,0,0,0,2140
0.130999,0,0,0,2054
0.132392,0,0,0,2211
0.133913,0,0,0,2047
0.135464,0,0,0,2030
0.137015,0,0,0,2035
0.138566,0,0,0,2030
0.140118,0,0,0,2054
0.141682,0,0,0,2179
0.143237,0,0,0,2051
0.144629,0,0,0,2032
0.146191,0,0,0,2136
0.147734,0,0,0,2035
0.149273,0,0,0,2053
0.150690,0,0,0,2054
0.152223,0,0,0,2045
0.153775,0,0,0,2031
0.155327,0,0,0,2035
0.156876,0,0,0,2056
0.158428,0,0,0,2049
0.159980,0,0,0,2055
0.161572,0,0,0,2243
0.163015,0,0,0,2031
0.164537,0,0,0,2082
0.166090,0,0,0,2047
0.167642,0,0,0,2067
0.169192,0,0,0,2036
0.170787,0,0,0,2333
0.172339,0,0,0,2076
0.173905,0,0,0,2056
0.175456,0,0,0,2053
0.177005,0,0,0,2162
0.178558,0,0,0,2053
0.180109,0,0,0,2028
0.181659,0,0,0,2024
0.183076,0,0,0,2076
0.184483,0,0,0,2219
0.185923,0,0,0,2051
0.187312,0,0,0,2050
0.188698,0,0,0,2042
0.190087,0,0,0,2052
0.191603,0,0,0,2079
0.193153,0,0,0,2032
0.194761,0,0,0,2033
0.196312,0,0,0,2055
0.197866,0,0,0,2030
0.199406,0,0,0,2050
0.200946,0,0,0,2048
0.202365,0,0,0,2033
0.203886,0,0,0,2048
0.205447,0,0,0,2062
0.207001,0,0,0,2054
0.208550,0,0,0,2031
0.210144,0,0,0,2035
0.211695,0,0,0,2040
0.213243,0,0,0,2055
0.214793,0,0,0,2054
0.216358,0,0,0,2039
0.217951,0,0,0,2025
0.219503,0,0,0,2027
0.221052,0,0,0,2030
0.222602,0,0,0,2026
0.224152,0,0,0,2050
0.225747,0,0,0,2027
0.227312,0,0,0,2053
0.228860,0,0,0,2031
0.230410,0,0,0,2044
0.231858,0,0,0,2038
0.233375,0,0,0,2035
0.234978,0,0,0,2027
0.236500,0,0,0,2050
0.238066,0,0,0,2031
0.239618,0,0,0,2031
0.241167,0,0,0,2036
0.242763,0,0,0,2032
0.244315,0,0,0,2052
0.245867,0,0,0,2055
0.247418,0,0,0,2048
0.248981,0,0,0,2037
0.250535,0,0,0,2030
0.252076,0,0,0,2048
0.253617,0,0,0,2051
0.255185,0,0,0,2056
0.256730,0,0,0,2053
0.258282,0,0,0,2048
0.259845,0,0,0,2022
0.261393,0,0,0,2032
0.263004,0,0,0,2050
0.264552,0,0,0,2045
0.266145,0,0,0,2231
0.267695,0,0,0,2030
0.269353,0,0,0,2068
0.271143,0,0,0,2036
0.272542,0,0,0,2035
0.273973,0,0,0,2050
0.275369,0,0,0,2052
0.276783,0,0,0,2149
0.278208,0,0,0,2033
0.279555,0,0,0,2024
0.280894,0,0,0,2094
0.282253,0,0,0,2023
0.283590,0,0,0,2029
0.284925,0,0,0,2052
0.286309,0,0,0,2058
0.287645,0,0,0,2029
0.288983,0,0,0,2034
0.290313,0,0,0,2041
0.291618,0,0,0,2033
0.292937,0,0,0,2135
0.294292,0,0,0,2053
0.295601,0,0,0,2052
0.296911,0,0,0,2032
0.298217,0,0,0,2221
0.299507,0,0,0,2027
0.300796,0,0,0,2026
0.302136,0,0,0,2010
0.303460,0,0,0,2115
0.304756,0,0,0,2251
0.306038,0,0,0,2253
0.307396,0,0,0,2018
0.308756,0,0,0,2264
0.310165,0,0,0,2081
0.311523,0,0,0,2198
0.312883,0,0,0,2062
0.314340,0,0,0,1994
0.315765,0,0,0,2181
0.317163,0,0,0,1950
0.318915,0,0,0,2095
0.320330,0,0,0,2043
0.321785,0,0,0,2146
0.323177,0,0,0,2005
0.324587,0,0,0,1978
0.326041,0,0,0,1971
0.327434,0,0,0,1958
0.328818,0,0,0,2002
0.330204,0,0,0,1969
0.331587,0,0,0,1970
0.332974,313,281,0,20847
0.334961,0,0,0,2259
0.336360,0,0,0,1994
0.337774,0,0,0,2169
0.339157,0,0,0,2414
0.340537,0,0,0,1952
0.341928,0,0,0,2008
0.343308,195893,267,0,127520
0.344546,191964,187,0,106337
0.345927,0,0,0,2149
0.347331,0,0,0,2239
0.348717,0,0,0,2032
0.350101,0,0,0,2189
0.351485,0,0,0,2036
0.352867,0,0,0,2003
0.354252,0,0,0,2031
0.355637,0,0,0,2030
0.357019,0,0,0,2068
0.358405,0,0,0,2029
0.359786,0,0,0,2034
0.361165,0,0,0,2041
0.363263,0,0,0,2038
0.364644,0,0,0,2115
0.369958,0,0,0,2063
0.371362,0,0,0,2158
0.372749,0,0,0,2073
0.374132,0,0,0,2031
0.375537,0,0,0,2219
0.376914,0,0,0,2049
0.378294,0,0,0,2054
0.379680,0,0,0,2053
0.381066,0,0,0,2034
0.382730,0,0,0,2032
0.384200,0,0,0,2046
