elapsed_s,PC_S_DS_INVOCATIONS,PC_S_VS_INVOCATIONS,PC_S_GS_INVOCATIONS,PC_S_DS_PRIMITIVES,PC_S_TESS_BUSY_CYCLES,PC_S_TESS_WORKING_CYCLES,PC_S_TESS_STALL_CYCLES_PC,PC_S_TESS_STARVE_CYCLES_PC
0.001486,0,0,0,0,0,0,0,6192
0.003201,0,0,0,0,0,0,0,5919
0.004764,0,0,0,0,0,0,0,5421
0.006312,0,0,0,0,0,0,0,5904
0.008142,0,0,0,0,0,0,0,5343
0.009812,0,0,0,0,0,0,0,5430
0.011364,0,0,0,0,0,0,0,5586
0.012895,0,0,0,0,0,0,0,5508
0.014397,0,0,0,0,0,0,0,5352
0.015911,0,0,0,0,0,0,0,6219
0.017416,0,0,0,0,0,0,0,5658
0.019079,0,0,0,0,0,0,0,5952
0.020986,0,0,0,0,0,0,0,6129
0.022495,0,0,0,0,0,0,0,6096
0.024026,0,0,0,0,0,0,0,5916
0.025560,0,0,0,0,0,0,0,6189
0.027181,0,0,0,0,0,0,0,6177
0.028703,0,0,0,0,0,0,0,5526
0.030224,0,0,0,0,0,0,0,5592
0.031755,0,0,0,0,0,0,0,5790
0.033276,0,0,0,0,0,0,0,5967
0.034794,0,0,0,0,0,0,0,5361
0.036456,0,0,0,0,0,0,0,5670
0.038203,0,0,0,0,0,0,0,5787
0.039796,0,0,0,0,0,0,0,5682
0.041302,0,0,0,0,0,0,0,5541
0.042944,0,0,0,0,0,0,0,5709
0.044578,0,0,0,0,0,0,0,6024
0.046279,0,0,0,0,0,0,0,5562
0.047913,0,0,0,0,0,0,0,5877
0.049418,0,0,0,0,0,0,0,5799
0.051115,0,0,0,0,0,0,0,5799
0.052748,0,0,0,0,0,0,0,5754
0.054259,0,0,0,0,0,0,0,5406
0.055823,0,0,0,0,0,0,0,5424
0.057410,0,0,0,0,0,0,0,5310
0.059057,0,0,0,0,0,0,0,5319
0.060644,0,0,0,0,0,0,0,5316
0.062259,0,0,0,0,0,0,0,4644
0.063654,0,0,0,0,0,0,0,4656
0.065045,0,0,0,0,0,0,0,4698
0.066430,0,0,0,0,0,0,0,4686
0.067825,0,0,0,0,0,0,0,4698
0.069211,0,0,0,0,0,0,0,4686
0.070653,0,0,0,0,0,0,0,5181
0.072071,0,0,0,0,0,0,0,4632
0.073526,0,0,0,0,0,0,0,4692
0.074950,0,0,0,0,0,0,0,4701
0.076342,0,0,0,0,0,0,0,5205
0.077729,0,0,0,0,0,0,0,4662
0.079118,0,0,0,0,0,0,0,5160
0.080507,0,0,0,0,0,0,0,5160
0.081893,0,0,0,0,0,0,0,5175
0.083331,0,0,0,0,0,0,0,5163
0.084783,0,0,0,0,0,0,0,5754
0.086008,0,0,0,0,0,0,0,4668
0.087418,0,0,0,0,0,0,0,4812
0.088808,0,0,0,0,0,0,0,4716
0.090217,0,0,0,0,0,0,0,5193
0.091582,0,0,0,0,0,0,0,4638
0.092943,0,0,0,0,0,0,0,4665
0.094313,0,0,0,0,0,0,0,4920
0.095816,0,0,0,0,0,0,0,4908
0.097253,0,0,0,0,0,0,0,5202
0.098705,0,0,0,0,0,0,0,5061
0.100121,0,0,0,0,0,0,0,35904
0.101365,0,0,0,0,0,0,0,20022
0.102731,0,0,0,0,0,0,0,13488
0.104102,0,0,0,0,0,0,0,13638
0.105468,0,0,0,0,0,0,0,14220
0.106833,0,0,0,0,0,0,0,13386
0.108197,0,0,0,0,0,0,0,14166
0.109576,0,0,0,0,0,0,0,14175
0.111010,0,0,0,0,0,0,0,13920
0.112368,0,0,0,0,0,0,0,14466
0.113726,0,0,0,0,0,0,0,14106
0.115084,0,0,0,0,0,0,0,13740
0.116441,0,0,0,0,0,0,0,14700
0.117797,0,0,0,0,0,0,0,13335
0.119154,0,0,0,0,0,0,0,14631
0.120575,0,0,0,0,0,0,0,13308
0.121951,0,0,0,0,0,0,0,15120
0.123385,0,0,0,0,0,0,0,14373
0.124792,0,0,0,0,0,0,0,14019
0.126193,0,0,0,0,0,0,0,15051
0.127594,0,0,0,0,0,0,0,14256
0.128994,0,0,0,0,0,0,0,14583
0.130528,0,0,0,0,0,0,0,13941
0.131960,0,0,0,0,0,0,0,14751
0.133326,0,0,0,0,0,0,0,14349
0.134694,0,0,0,0,0,0,0,14358
0.136076,0,0,0,0,0,0,0,13746
0.137796,0,0,0,0,0,0,0,14346
0.139291,0,0,0,0,0,0,0,14598
0.140700,0,0,0,0,0,0,0,13845
0.142145,0,0,0,0,0,0,0,15225
0.143548,0,0,0,0,0,0,0,14601
0.144949,0,0,0,0,0,0,0,13731
0.146351,0,0,0,0,0,0,0,13755
0.147758,0,0,0,0,0,0,0,13950
0.149164,0,0,0,0,0,0,0,13656
0.150573,0,0,0,0,0,0,0,13731
0.152238,0,0,0,0,0,0,0,13431
0.153823,0,0,0,0,0,0,0,13758
0.155398,0,0,0,0,0,0,0,13710
0.156971,0,0,0,0,0,0,0,14832
0.158545,0,0,0,0,0,0,0,14445
0.160118,0,0,0,0,0,0,0,13869
0.161689,0,0,0,0,0,0,0,14046
0.163266,0,0,0,0,0,0,0,14094
0.164850,0,0,0,0,0,0,0,13671
0.166424,0,0,0,0,0,0,0,13812
0.168040,0,0,0,0,0,0,0,14448
0.169611,0,0,0,0,0,0,0,13707
0.171188,0,0,0,0,0,0,0,13557
0.172760,0,0,0,0,0,0,0,13941
0.174335,0,0,0,0,0,0,0,13743
0.175922,0,0,0,0,0,0,0,14343
0.177494,0,0,0,0,0,0,0,13746
0.178939,0,0,0,0,0,0,0,13641
0.180480,0,0,0,0,0,0,0,14268
0.182055,0,0,0,0,0,0,0,14064
0.183672,0,0,0,0,0,0,0,13446
0.185245,0,0,0,0,0,0,0,13512
0.186831,0,0,0,0,0,0,0,13632
0.188404,0,0,0,0,0,0,0,14262
0.189976,0,0,0,0,0,0,0,13677
0.191546,0,0,0,0,0,0,0,14055
