elapsed_s,HLSQ_BV_WAIT_FS_S2W,HLSQ_RESERVED_37,HLSQ_FS_WAIT_SAME_VS_S2W,HLSQ_FS_STARVING_SP,HLSQ_VS_DATA_WAIT_PROGRAMMING,HLSQ_BV_DATA_WAIT_PROGRAMMING
0.001091,0,0,0,0,0,0
0.002555,0,0,0,0,0,0
0.004042,0,0,0,0,0,0
0.005483,0,0,0,0,0,0
0.006916,0,0,0,0,0,0
0.008349,0,0,0,0,0,0
0.009804,0,0,0,0,0,0
0.011237,0,0,0,0,0,0
0.012727,0,0,0,0,0,0
0.014139,0,0,0,0,0,0
0.015561,0,0,0,0,0,0
0.017022,0,0,0,0,0,0
0.018402,0,0,0,0,0,0
0.019890,0,0,0,0,0,0
0.021277,0,0,0,0,0,0
0.022661,0,0,0,0,0,0
0.024093,0,0,0,0,0,0
0.025478,0,0,0,0,0,0
0.026861,0,0,0,0,0,0
0.028342,0,0,0,0,0,0
0.029703,0,0,0,0,0,0
0.031072,0,0,0,0,0,0
0.032567,0,0,0,0,0,0
0.033939,0,0,0,0,0,0
0.035300,0,0,0,0,0,0
0.036665,0,0,0,0,0,0
0.038013,0,0,0,0,0,0
0.039360,0,0,0,0,0,0
0.040729,0,0,0,0,0,0
0.042086,0,0,0,0,0,0
0.043433,0,0,0,0,0,0
0.044770,0,0,0,0,0,0
0.046076,0,0,0,0,0,0
0.047507,0,0,0,0,0,0
0.048806,0,0,0,0,0,0
0.050070,0,0,0,0,0,0
0.051335,0,0,0,0,0,0
0.052667,0,0,0,0,0,0
0.054040,0,0,0,0,0,0
0.055306,0,0,0,0,0,0
0.056640,0,0,0,0,0,0
0.057987,0,0,0,0,0,0
0.059333,0,0,0,0,0,0
0.060701,0,0,0,0,0,0
0.062284,0,0,0,0,0,0
0.063737,0,0,0,0,0,0
0.065410,0,0,0,0,0,0
0.066825,0,0,0,0,0,0
0.068291,0,0,0,0,0,0
0.069695,0,0,0,0,0,0
0.071092,0,0,0,0,0,0
0.072868,0,0,1182,0,2778,558
0.074368,0,0,0,0,0,0
0.075856,0,0,0,0,0,0
0.077326,0,0,0,0,0,0
0.078725,0,0,0,0,0,0
0.080122,0,0,0,0,0,0
0.081517,0,0,0,0,0,0
0.082976,0,0,1074,0,5562,888
0.085680,0,0,756,0,672,0
0.087643,0,0,450,0,276,0
0.088771,0,0,342,0,192,0
0.090024,0,0,324,0,186,0
0.091274,0,0,342,0,210,0
0.092691,0,0,396,0,216,0
0.093955,0,0,324,0,198,0
0.095169,0,0,324,0,192,0
0.096427,0,0,324,0,192,0
0.097635,0,0,324,0,174,0
0.098848,0,0,324,0,204,0
0.100081,0,0,342,0,192,0
0.101373,0,0,456,0,294,0
0.102774,0,0,0,0,0,0
0.104172,0,0,0,0,0,0
0.105570,0,0,0,0,0,0
0.106966,0,0,0,0,0,0
0.108416,0,0,0,0,0,0
0.109815,0,0,0,0,0,0
0.111211,0,0,0,0,0,0
0.112596,0,0,0,0,0,0
0.113992,0,0,0,0,0,0
0.115483,0,0,0,0,0,0
0.120697,0,0,0,0,0,0
0.122089,0,0,0,0,0,0
0.123488,0,0,0,0,0,0
0.125422,0,0,0,0,0,0
0.126810,0,0,0,0,0,0
0.128200,0,0,0,0,0,0
0.129592,0,0,0,0,0,0
0.130983,0,0,0,0,0,0
0.132411,0,0,0,0,0,0
0.133817,0,0,0,0,0,0
0.135212,0,0,0,0,0,0
0.136614,0,0,0,0,0,0
0.138005,0,0,0,0,0,0
0.139464,0,0,0,0,0,0
0.140860,0,0,0,0,0,0
0.142384,0,0,0,0,0,0
0.143945,0,0,0,0,0,0
0.145393,0,0,0,0,0,0
0.146912,0,0,0,0,0,0
0.148362,0,0,0,0,0,0
0.149764,0,0,0,0,0,0
0.151162,0,0,0,0,0,0
0.152563,0,0,0,0,0,0
0.153959,0,0,0,0,0,0
0.155354,0,0,0,0,0,0
0.156778,0,0,0,0,0,0
0.158172,0,0,0,0,0,0
0.159567,0,0,0,0,0,0
0.160962,0,0,0,0,0,0
0.162380,0,0,0,0,0,0
0.163815,0,0,0,0,0,0
0.165207,0,0,0,0,0,0
0.166598,0,0,0,0,0,0
0.167998,0,0,0,0,0,0
0.169389,0,0,0,0,0,0
0.170779,0,0,0,0,0,0
0.172341,0,0,0,0,0,0
0.173905,0,0,0,0,0,0
0.175468,0,0,0,0,0,0
0.177030,0,0,0,0,0,0
0.178607,0,0,0,0,0,0
0.180214,0,0,0,0,0,0
0.181777,0,0,0,0,0,0
0.183338,0,0,0,0,0,0
0.184945,0,0,0,0,0,0
0.186505,0,0,0,0,0,0
0.188160,0,0,0,0,0,0
0.189715,0,0,0,0,0,0
0.191184,0,0,0,0,0,0
0.192591,0,0,0,0,0,0
0.193984,0,0,0,0,0,0
0.195375,0,0,0,0,0,0
0.196828,0,0,0,0,0,0
0.198263,0,0,0,0,0,0
0.199791,0,0,0,0,0,0
0.201241,0,0,0,0,0,0
0.202646,0,0,0,0,0,0
0.204089,0,0,0,0,0,0
0.205489,0,0,0,0,0,0
0.206887,0,0,0,0,0,0
0.208287,0,0,0,0,0,0
0.209813,0,0,0,0,0,0
0.211464,0,0,0,0,0,0
0.213133,0,0,0,0,0,0
0.214694,0,0,0,0,0,0
0.216255,0,0,0,0,0,0
0.217818,0,0,0,0,0,0
0.219378,0,0,0,0,0,0
0.220963,0,0,0,0,0,0
0.222537,0,0,0,0,0,0
0.224101,0,0,0,0,0,0
0.225664,0,0,0,0,0,0
0.227225,0,0,0,0,0,0
0.228760,0,0,0,0,0,0
0.230164,0,0,0,0,0,0
0.231694,0,0,0,0,0,0
0.233270,0,0,0,0,0,0
0.234830,0,0,0,0,0,0
0.236436,0,0,0,0,0,0
0.237999,0,0,0,0,0,0
0.239563,0,0,0,0,0,0
0.241123,0,0,0,0,0,0
0.242685,0,0,0,0,0,0
0.244303,0,0,0,0,0,0
0.245866,0,0,0,0,0,0
0.247430,0,0,0,0,0,0
0.249017,0,0,0,0,0,0
0.250523,0,0,0,0,0,0
0.251966,0,0,0,0,0,0
0.253368,0,0,0,0,0,0
0.254776,0,0,0,0,0,0
0.256178,0,0,0,0,0,0
0.257570,0,0,0,0,0,0
0.259089,0,0,0,0,0,0
0.261751,0,0,0,0,0,0
0.263180,0,0,0,0,0,0
0.264633,0,0,0,0,0,0
0.266048,0,0,0,0,0,0
0.267449,0,0,0,0,0,0
0.268849,0,0,0,0,0,0
0.270245,0,0,0,0,0,0
0.271772,0,0,0,0,0,0
0.273336,0,0,0,0,0,0
0.274897,0,0,0,0,0,0
0.276517,0,0,0,0,0,0
0.278081,0,0,0,0,0,0
0.279644,0,0,0,0,0,0
0.281206,0,0,0,0,0,0
0.282765,0,0,0,0,0,0
0.284253,0,0,0,0,0,0
0.285827,0,0,0,0,0,0
0.287529,0,0,0,0,0,0
0.289093,0,0,0,0,0,0
0.290654,0,0,0,0,0,0
0.292114,0,0,0,0,0,0
0.293673,0,0,0,0,0,0
0.295235,0,0,0,0,0,0
0.296801,0,0,0,0,0,0
0.298375,0,0,0,0,0,0
0.299984,0,0,0,0,0,0
0.301548,0,0,0,0,0,0
0.303110,0,0,0,0,0,0
0.304676,0,0,0,0,0,0
0.306237,0,0,0,0,0,0
0.307845,0,0,0,0,0,0
0.309422,0,0,0,0,0,0
0.310983,0,0,0,0,0,0
0.312545,0,0,0,0,0,0
0.314109,0,0,0,0,0,0
0.315673,0,0,0,0,0,0
0.317280,0,0,0,0,0,0
0.318842,0,0,0,0,0,0
0.320418,0,0,0,0,0,0
0.321982,0,0,0,0,0,0
0.323545,0,0,0,0,0,0
0.325153,0,0,0,0,0,0
0.326715,0,0,0,0,0,0
0.328277,0,0,0,0,0,0
0.329841,0,0,0,0,0,0
0.331419,0,0,0,0,0,0
0.332982,0,0,0,0,0,0
0.334544,0,0,0,0,0,0
0.336109,0,0,0,0,0,0
0.337672,0,0,0,0,0,0
0.339233,0,0,0,0,0,0
0.340777,0,0,0,0,0,0
0.342191,0,0,0,0,0,0
0.343722,0,0,0,0,0,0
0.345285,0,0,0,0,0,0
0.346847,0,0,0,0,0,0
0.348453,0,0,0,0,0,0
0.350017,0,0,0,0,0,0
0.351581,0,0,0,0,0,0
0.353148,0,0,0,0,0,0
0.354701,0,0,0,0,0,0
0.356174,0,0,0,0,0,0
0.357707,0,0,0,0,0,0
0.359268,0,0,0,0,0,0
0.360829,0,0,0,0,0,0
0.362380,0,0,0,0,0,0
0.363865,0,0,0,0,0,0
0.365396,0,0,0,0,0,0
0.366954,0,0,0,0,0,0
0.368511,0,0,0,0,0,0
0.370072,0,0,0,0,0,0
0.371633,0,0,0,0,0,0
0.373239,0,0,0,0,0,0
0.374812,0,0,0,0,0,0
0.376372,0,0,0,0,0,0
0.377932,0,0,0,0,0,0
0.379495,0,0,0,0,0,0
0.381100,0,0,0,0,0,0
0.382658,0,0,0,0,0,0
0.384221,0,0,0,0,0,0
0.385797,0,0,0,0,0,0
0.387355,0,0,0,0,0,0
0.388781,0,0,0,0,0,0
0.390183,0,0,0,0,0,0
0.391710,0,0,0,0,0,0
0.393272,0,0,0,0,0,0
0.394831,0,0,0,0,0,0
0.396283,0,0,0,0,0,0
0.397816,0,0,0,0,0,0
0.399377,0,0,0,0,0,0
0.401087,0,0,0,0,0,0
0.402645,0,0,0,0,0,0
0.404252,0,0,0,0,0,0
0.405814,0,0,0,0,0,0
0.407450,0,0,0,0,0,0
0.409094,0,0,0,0,0,0
0.410652,0,0,0,0,0,0
0.412258,0,0,0,0,0,0
0.414085,0,0,0,0,0,0
0.415650,0,0,0,0,0,0
0.417211,0,0,0,0,0,0
0.418784,0,0,0,0,0,0
0.420388,0,0,0,0,0,0
0.421949,0,0,0,0,0,0
0.423512,0,0,0,0,0,0
0.425073,0,0,0,0,0,0
0.426634,0,0,0,0,0,0
0.428240,0,0,0,0,0,0
0.429690,0,0,0,0,0,0
0.431221,0,0,0,0,0,0
0.432688,0,0,0,0,0,0
0.434218,0,0,0,0,0,0
0.435780,0,0,0,0,0,0
0.437341,0,0,0,0,0,0
0.438901,0,0,0,0,0,0
0.440475,0,0,0,0,0,0
0.442036,0,0,0,0,0,0
0.443598,0,0,0,0,0,0
0.445161,0,0,0,0,0,0
0.446721,0,0,0,0,0,0
0.448281,0,0,0,0,0,0
0.449719,0,0,0,0,0,0
0.451267,0,0,0,0,0,0
0.452837,0,0,0,0,0,0
0.454398,0,0,0,0,0,0
0.455962,0,0,0,0,0,0
0.457525,0,0,0,0,0,0
0.459086,0,0,0,0,0,0
0.460740,0,0,0,0,0,0
0.462314,0,0,0,0,0,0
0.463879,0,0,0,0,0,0
0.465432,0,0,0,0,0,0
0.466984,0,0,0,0,0,0
0.468455,0,0,0,0,0,0
0.469985,0,0,0,0,0,0
0.471550,0,0,0,0,0,0
0.473124,0,0,0,0,0,0
0.474684,0,0,0,0,0,0
0.476288,0,0,0,0,0,0
0.477849,0,0,0,0,0,0
0.479412,0,0,0,0,0,0
0.480973,0,0,0,0,0,0
0.482533,0,0,0,0,0,0
0.484151,0,0,0,0,0,0
0.485711,0,0,0,0,0,0
0.487270,0,0,0,0,0,0
0.488835,0,0,0,0,0,0
0.490395,0,0,0,0,0,0
0.492000,0,0,0,0,0,0
0.493560,0,0,0,0,0,0
0.495132,0,0,0,0,0,0
0.496697,0,0,0,0,0,0
0.498256,0,0,0,0,0,0
0.499861,0,0,0,0,0,0
0.501422,0,0,0,0,0,0
0.502981,0,0,0,0,0,0
0.504542,0,0,0,0,0,0
0.506116,0,0,0,0,0,0
0.507678,0,0,0,0,0,0
0.509284,0,0,0,0,0,0
0.510844,0,0,0,0,0,0
0.512404,0,0,0,0,0,0
0.513964,0,0,0,0,0,0
0.515527,0,0,0,0,0,0
0.517146,0,0,0,0,0,0
0.518705,0,0,0,0,0,0
0.520266,0,0,0,0,0,0
0.521827,0,0,0,0,0,0
0.523467,0,0,0,0,0,0
0.524879,0,0,0,0,0,0
0.526280,0,0,0,0,0,0
0.527818,0,0,0,0,0,0
0.529378,0,0,0,0,0,0
0.530939,0,0,0,0,0,0
0.532543,0,0,0,0,0,0
0.534104,0,0,0,0,0,0
0.535667,0,0,0,0,0,0
0.537227,0,0,0,0,0,0
0.538800,0,0,0,0,0,0
0.540404,0,0,0,0,0,0
0.541841,0,0,0,0,0,0
0.543369,0,0,0,0,0,0
0.545069,0,0,0,0,0,0
0.546620,0,0,0,0,0,0
0.548094,0,0,0,0,0,0
0.549640,0,0,0,0,0,0
0.551201,0,0,0,0,0,0
0.552767,0,0,0,0,0,0
0.554328,0,0,0,0,0,0
0.555937,0,0,0,0,0,0
0.557500,0,0,0,0,0,0
0.559061,0,0,0,0,0,0
0.560715,0,0,0,0,0,0
0.562275,0,0,0,0,0,0
0.563883,0,0,0,0,0,0
0.565446,0,0,0,0,0,0
0.567007,0,0,0,0,0,0
0.568570,0,0,0,0,0,0
0.570123,0,0,0,0,0,0
0.571578,0,0,0,0,0,0
0.573155,0,0,0,0,0,0
0.574715,0,0,0,0,0,0
0.576276,0,0,0,0,0,0
0.577835,0,0,0,0,0,0
0.579465,0,0,0,0,0,0
0.581133,0,0,0,0,0,0
0.582705,0,0,0,0,0,0
0.584265,0,0,0,0,0,0
0.585826,0,0,0,0,0,0
0.587450,0,0,0,0,0,0
0.589116,0,0,0,0,0,0
0.590710,0,0,0,0,0,0
0.592269,0,0,0,0,0,0
0.593844,0,0,0,0,0,0
0.595481,0,0,0,0,0,0
0.597149,0,0,0,0,0,0
0.598708,0,0,0,0,0,0
0.600269,0,0,0,0,0,0
0.601829,0,0,0,0,0,0
0.603455,0,0,0,0,0,0
0.605135,0,0,0,0,0,0
0.606694,0,0,0,0,0,0
0.608255,0,0,0,0,0,0
0.609815,0,0,0,0,0,0
0.611374,0,0,0,0,0,0
0.612870,0,0,0,0,0,0
0.614271,0,0,0,0,0,0
0.615809,0,0,0,0,0,0
0.617369,0,0,0,0,0,0
0.618928,0,0,0,0,0,0
0.620532,0,0,0,0,0,0
0.622093,0,0,0,0,0,0
0.623655,0,0,0,0,0,0
0.625216,0,0,0,0,0,0
0.626789,0,0,0,0,0,0
0.628394,0,0,0,0,0,0
0.629955,0,0,0,0,0,0
0.631516,0,0,0,0,0,0
0.633077,0,0,0,0,0,0
0.634635,0,0,0,0,0,0
0.636241,0,0,0,0,0,0
0.637816,0,0,0,0,0,0
0.639376,0,0,0,0,0,0
0.640961,0,0,0,0,0,0
0.642521,0,0,0,0,0,0
0.644127,0,0,0,0,0,0
0.645687,0,0,0,0,0,0
0.647246,0,0,0,0,0,0
0.648822,0,0,0,0,0,0
0.650259,0,0,0,0,0,0
0.651841,0,0,0,0,0,0
0.653404,0,0,0,0,0,0
0.654966,0,0,0,0,0,0
0.656529,0,0,0,0,0,0
0.658093,0,0,0,0,0,0
0.659671,0,0,0,0,0,0
0.661279,0,0,0,0,0,0
0.662840,0,0,0,0,0,0
0.664403,0,0,0,0,0,0
0.665966,0,0,0,0,0,0
0.667530,0,0,0,0,0,0
0.669139,0,0,0,0,0,0
0.670713,0,0,0,0,0,0
0.672276,0,0,0,0,0,0
0.673829,0,0,0,0,0,0
0.675619,0,0,0,0,0,0
0.677222,0,0,0,0,0,0
0.678781,0,0,0,0,0,0
0.680353,0,0,0,0,0,0
0.681818,0,0,0,0,0,0
0.683224,0,0,0,0,0,0
0.684756,0,0,0,0,0,0
0.686318,0,0,0,0,0,0
0.687882,0,0,0,0,0,0
0.689445,0,0,0,0,0,0
0.691005,0,0,0,0,0,0
0.692496,0,0,0,0,0,0
0.694030,0,0,0,0,0,0
0.695592,0,0,0,0,0,0
0.697155,0,0,0,0,0,0
0.698716,0,0,0,0,0,0
0.700321,0,0,0,0,0,0
0.701884,0,0,0,0,0,0
0.703461,0,0,0,0,0,0
0.705016,0,0,0,0,0,0
0.706567,0,0,0,0,0,0
0.708041,0,0,0,0,0,0
0.709609,0,0,0,0,0,0
0.711170,0,0,0,0,0,0
0.712736,0,0,0,0,0,0
0.714311,0,0,0,0,0,0
0.715919,0,0,0,0,0,0
0.717482,0,0,0,0,0,0
0.719043,0,0,0,0,0,0
0.720679,0,0,0,0,0,0
0.722242,0,0,0,0,0,0
0.723849,0,0,0,0,0,0
0.725426,0,0,0,0,0,0
0.726987,0,0,0,0,0,0
0.728550,0,0,0,0,0,0
0.730112,0,0,0,0,0,0
0.731676,0,0,0,0,0,0
0.733283,0,0,0,0,0,0
0.734788,0,0,0,0,0,0
0.736367,0,0,0,0,0,0
0.737928,0,0,0,0,0,0
0.739490,0,0,0,0,0,0
0.741097,0,0,0,0,0,0
0.742657,0,0,0,0,0,0
0.744221,0,0,0,0,0,0
0.745784,0,0,0,0,0,0
0.747358,0,0,0,0,0,0
0.748965,0,0,0,0,0,0
0.750525,0,0,0,0,0,0
0.752088,0,0,0,0,0,0
0.753650,0,0,0,0,0,0
0.755212,0,0,0,0,0,0
0.756803,0,0,0,0,0,0
0.758254,0,0,0,0,0,0
0.759790,0,0,0,0,0,0
0.761352,0,0,0,0,0,0
0.762915,0,0,0,0,0,0
0.764520,0,0,0,0,0,0
