elapsed_s,CP_MEMORY_POOL_BELOW_THRESH,CP_AHB_WR_STALL_PRE_DRAWS,CP_AHB_STALL_SQE_GMU,CP_AHB_STALL_SQE_WR_OTHER,CP_AHB_STALL_SQE_RD_OTHER,CP_CLUSTER_FE_U_EMPTY,CP_CLUSTER_FE_S_EMPTY,CP_CLUSTER_SP_VS_EMPTY,CP_CLUSTER_VPC_US_EMPTY,CP_CLUSTER_VPC_VS_EMPTY,CP_CLUSTER_GRAS_EMPTY,CP_CLUSTER_SP_PS_EMPTY,CP_CLUSTER_VPC_PS_EMPTY,CP_CLUSTER_PS_EMPTY
0.830888,0,0,0,0,0,415633,415650,415658,415656,415655,415655,415654,415645,415667
0.832383,0,0,0,0,0,404817,404824,404858,404872,404903,404893,404963,459020,459042
0.834021,0,0,0,0,0,468593,468651,468620,468664,468654,468697,468647,414578,414564
0.835627,0,0,0,0,0,414553,414531,414525,414492,414522,414522,414570,414642,414666
0.837235,0,0,0,0,0,410364,410326,410361,410346,410323,410324,410250,410177,410151
0.838832,0,0,0,0,0,410467,410467,410466,410452,410441,410424,410452,410468,410483
0.840430,0,0,0,0,0,491882,503710,504361,504865,505427,506125,506104,510217,509343
0.842018,0,0,0,0,0,422411,410579,409939,409435,408893,408170,408177,404075,404913
0.843600,0,0,0,0,0,412766,412745,412722,412756,412743,412742,412716,412715,412735
0.845207,0,0,0,0,0,413771,413805,413777,413774,413764,413822,413832,413836,413831
0.846813,0,0,0,0,0,414012,414019,414045,414045,414066,414043,414065,414064,414054
0.848416,0,0,0,0,0,461868,461855,461818,461817,461793,486369,485252,485989,485979
0.850116,0,0,0,0,0,437768,437770,437827,437827,437849,413271,414375,413617,413625
0.851720,0,0,0,0,0,412731,412717,413170,413182,413168,414585,415940,415945,415952
0.853330,0,0,0,0,0,417661,417670,417170,417155,417154,415698,414342,414349,414331
0.854949,0,0,0,0,0,413320,413300,413345,413357,413378,413414,413426,413413,413448
0.856553,0,0,0,0,0,437380,437423,437385,437356,437310,437286,437273,437333,437306
0.858186,0,0,0,0,0,414090,414054,414039,414018,414030,414110,414092,414013,414105
0.859790,0,0,0,0,0,413496,413509,413522,413555,413563,413482,413497,413611,413561
0.861397,0,0,0,0,0,414141,414125,414147,414124,414123,414121,414200,414117,414072
0.863001,0,0,0,0,0,414892,414906,414882,414891,414868,414904,414882,414876,414903
0.864607,0,0,0,0,0,418781,418766,418787,418790,418824,418796,418745,418723,418694
0.866231,0,0,0,0,0,414218,414288,414279,414274,414274,414271,414247,414237,414236
0.867835,0,0,0,0,0,414072,414013,413998,414011,413974,413964,413986,414058,414078
0.869442,0,0,0,0,0,414249,414243,414219,414230,414251,414238,414214,414176,414161
0.871047,0,0,0,0,0,413716,413728,413787,413737,413714,413714,413740,413819,413846
0.872688,0,0,0,0,0,454326,454326,454301,454324,454323,454320,454329,454249,454212
0.874339,0,0,0,0,0,413961,414010,413997,413973,413984,414020,414005,413968,414002
0.875943,0,0,0,0,0,414718,414645,414643,414677,414700,414700,414698,414696,414669
0.877563,0,0,0,0,0,412221,412220,412241,412218,412276,412252,412243,412288,412287
0.879167,0,0,0,0,0,412020,412019,412009,412017,411957,411964,411963,411948,411938
0.880650,0,0,0,0,0,411959,411981,411981,411979,411943,411933,411931,411979,411986
0.882236,0,0,0,0,0,414426,414402,414388,414401,414421,414421,414429,414369,414384
0.883840,0,0,0,0,0,413945,413967,413965,413928,413919,413940,413939,413952,413935
0.885449,0,0,0,0,0,414954,414937,414964,415000,415021,415007,415070,415054,415046
0.887056,0,0,0,0,0,414483,414474,414446,414442,414464,414477,414381,414390,414403
0.888551,0,0,0,0,0,409859,410015,410180,410316,410437,410579,410753,410911,411052
0.890138,0,0,0,0,0,416631,416617,416621,416616,416614,416613,416626,416624,416645
0.891748,0,0,0,0,0,416603,416612,416588,416608,416598,416598,416584,416584,416584
0.893362,0,0,0,0,0,418016,418005,418012,417994,418003,417987,417999,418056,418045
0.894973,0,0,0,0,0,417279,417291,417326,417343,417319,417310,417308,417236,417243
0.896583,0,0,0,0,0,421993,421981,421935,421934,421955,421967,421966,422049,422050
0.898201,0,0,0,0,0,417326,417317,417335,417325,417315,417322,417310,417236,417236
0.899825,0,0,0,0,0,417289,417305,417286,417293,417293,417302,417303,417361,417431
0.901438,0,0,0,0,0,413975,413978,413994,413985,413983,413973,413968,413886,413812
0.903041,0,0,0,0,0,413347,413345,413346,413345,413354,413380,413392,413415,413416
0.904644,0,0,0,0,0,444666,444652,444642,444641,444630,444603,444589,444587,444562
0.906164,0,0,0,0,0,408156,408218,408216,408225,408232,408220,408234,408292,408315
0.907618,0,0,0,0,0,406966,406926,406917,406905,406871,406866,406841,406781,406779
0.909196,0,0,0,0,0,416868,416879,416894,416895,416927,416918,417012,417010,417010
0.910694,0,0,0,0,0,406742,406718,406745,406752,406742,406786,406714,406691,406676
0.912273,0,0,0,0,0,417406,417401,417364,417345,417427,417402,417400,417493,417505
0.913930,0,0,0,0,0,417614,417618,417616,417632,417550,417549,417535,417463,417476
0.915541,0,0,0,0,0,416071,416120,416129,416118,416117,416117,416129,416128,416114
0.917153,0,0,0,0,0,419904,419839,419829,419829,419895,419893,419870,419868,419866
0.918765,0,0,0,0,0,417444,417442,417441,417441,417373,417408,417416,417430,417415
0.920375,0,0,0,0,0,416019,416019,416017,416016,471643,471599,471683,471726,471716
0.922078,0,0,0,0,0,472083,472104,472096,472105,416475,416483,416409,416350,416372
0.923687,0,0,0,0,0,417078,417078,417085,417073,417073,417143,417143,417142,417142
0.925300,0,0,0,0,0,418194,418170,418169,418169,418166,418102,418093,418093,418077
0.926912,0,0,0,0,0,416185,416192,416190,416253,416249,416238,416224,416185,416197
0.928522,0,0,0,0,0,420622,420612,420604,420548,420560,420552,420572,420595,420652
0.930139,0,0,0,0,0,416704,416717,416737,416728,416727,416743,416733,416745,416659
0.931748,0,0,0,0,0,415876,415885,415863,415942,415954,415944,415953,415951,415956
0.933375,0,0,0,0,0,413332,413307,413314,413233,413218,413209,413207,413207,413215
0.934978,0,0,0,0,0,412720,412735,412743,412740,412732,412738,412737,412736,412722
0.936580,0,0,0,0,0,425654,426263,426263,426263,426261,426295,426294,426293,426304
0.938121,0,0,0,0,0,411952,411327,411306,411364,411370,411313,411311,411311,411310
