elapsed_s,CP_ICACHE_MISSES,CP_ICACHE_HITS,CP_ICACHE_STALL,CP_DCACHE_MISSES,CP_DCACHE_HITS,CP_DCACHE_STALLS,CP_AQE_SQE_STALL,CP_SQE_AQE_STARVE,CP_ISR_CYCLES,CP_SQE_MD8_STALL_CYCLES,CP_SQE_MESH_EXEC_CYCLES,CP_AQE_NUM_AS_CHUNKS,CP_AQE_NUM_MS_CHUNKS,CP_S_SKEW_BUFFER_FULL
0.129850,18,237,1686,0,0,0,0,0,0,0,0,0,0,0
0.131296,18,237,1696,0,0,0,0,0,0,0,0,0,0,0
0.132698,18,239,1666,0,0,0,0,0,0,0,0,0,0,0
0.134061,18,239,1706,0,0,0,0,0,0,0,0,0,0,0
0.135465,18,239,1756,0,0,0,0,0,0,0,0,0,0,0
0.136921,18,235,1810,0,0,0,0,0,0,0,0,0,0,0
0.138363,18,237,1655,0,0,0,0,0,0,0,0,0,0,0
0.139661,18,239,1650,0,0,0,0,0,0,0,0,0,0,0
0.141062,18,237,1735,0,0,0,0,0,0,0,0,0,0,0
0.142488,18,235,1649,0,0,0,0,0,0,0,0,0,0,0
0.143781,18,239,1652,0,0,0,0,0,0,0,0,0,0,0
0.145231,18,233,1649,0,0,0,0,0,0,0,0,0,0,0
0.146615,18,239,1650,0,0,0,0,0,0,0,0,0,0,0
0.148007,18,237,1652,0,0,0,0,0,0,0,0,0,0,0
0.149466,18,237,1645,0,0,0,0,0,0,0,0,0,0,0
0.150942,18,237,1652,0,0,0,0,0,0,0,0,0,0,0
0.152389,18,239,1640,0,0,0,0,0,0,0,0,0,0,0
0.153894,18,237,1644,0,0,0,0,0,0,0,0,0,0,0
0.155332,18,233,1647,0,0,0,0,0,0,0,0,0,0,0
0.156767,18,233,1758,0,0,0,0,0,0,0,0,0,0,0
0.158219,18,237,1655,0,0,0,0,0,0,0,0,0,0,0
0.159657,18,237,1641,0,0,0,0,0,0,0,0,0,0,0
0.161105,18,237,1647,0,0,0,0,0,0,0,0,0,0,0
0.162574,18,239,1650,0,0,0,0,0,0,0,0,0,0,0
0.164026,18,237,1712,0,0,0,0,0,0,0,0,0,0,0
0.165462,18,235,1658,0,0,0,0,0,0,0,0,0,0,0
0.166901,18,239,1655,0,0,0,0,0,0,0,0,0,0,0
0.168340,18,235,1644,0,0,0,0,0,0,0,0,0,0,0
0.169815,18,239,1640,0,0,0,0,0,0,0,0,0,0,0
0.171255,18,237,1650,0,0,0,0,0,0,0,0,0,0,0
0.172694,18,239,1672,0,0,0,0,0,0,0,0,0,0,0
0.174145,18,233,1649,0,0,0,0,0,0,0,0,0,0,0
0.175582,18,239,1812,0,0,0,0,0,0,0,0,0,0,0
0.177022,18,235,1653,0,0,0,0,0,0,0,0,0,0,0
0.178494,17,228,1660,0,0,0,0,0,0,0,0,0,0,0
0.180157,18,239,1659,0,0,0,0,0,0,0,0,0,0,0
0.181604,18,239,1651,0,0,0,0,0,0,0,0,0,0,0
0.183044,18,235,1652,0,0,0,0,0,0,0,0,0,0,0
0.184492,18,235,1639,0,0,0,0,0,0,0,0,0,0,0
0.185966,18,237,1649,0,0,0,0,0,0,0,0,0,0,0
0.187405,18,235,1646,0,0,0,0,0,0,0,0,0,0,0
0.188843,18,235,1650,0,0,0,0,0,0,0,0,0,0,0
0.190412,18,235,1649,0,0,0,0,0,0,0,0,0,0,0
0.192015,18,233,1646,0,0,0,0,0,0,0,0,0,0,0
0.193664,18,237,1645,0,0,0,0,0,0,0,0,0,0,0
0.195282,18,233,1646,0,0,0,0,0,0,0,0,0,0,0
0.196965,18,239,1648,0,0,0,0,0,0,0,0,0,0,0
0.198485,18,233,1644,0,0,0,0,0,0,0,0,0,0,0
0.199930,18,239,1660,0,0,0,0,0,0,0,0,0,0,0
0.201545,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.203149,18,239,1658,0,0,0,0,0,0,0,0,0,0,0
0.204778,18,237,1654,0,0,0,0,0,0,0,0,0,0,0
0.206282,18,235,1644,0,0,0,0,0,0,0,0,0,0,0
0.207730,18,239,1655,0,0,0,0,0,0,0,0,0,0,0
0.209176,18,239,1647,0,0,0,0,0,0,0,0,0,0,0
0.210661,18,239,1651,0,0,0,0,0,0,0,0,0,0,0
0.212101,18,239,1645,0,0,0,0,0,0,0,0,0,0,0
0.213544,18,235,1659,0,0,0,0,0,0,0,0,0,0,0
0.215162,18,235,1655,0,0,0,0,0,0,0,0,0,0,0
0.216779,18,239,1654,0,0,0,0,0,0,0,0,0,0,0
0.218391,18,237,1645,0,0,0,0,0,0,0,0,0,0,0
0.219995,18,237,1641,0,0,0,0,0,0,0,0,0,0,0
0.221601,18,233,1640,0,0,0,0,0,0,0,0,0,0,0
0.223208,18,239,1656,0,0,0,0,0,0,0,0,0,0,0
