elapsed_s,SP_NEVER_COUNT,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,SP_STALL_CYCLES_VPC_BE,SP_STALL_CYCLES_TP,SP_STALL_CYCLES_UCHE,SP_STALL_CYCLES_RB,SP_NON_EXECUTION_CYCLES,SP_WAVE_CONTEXTS,SP_WAVE_CONTEXT_CYCLES,SP_FS_STAGE_WAVE_CYCLES,SP_FS_STAGE_WAVE_SAMPLES,SP_VS_STAGE_WAVE_CYCLES,SP_VS_STAGE_WAVE_SAMPLES,SP_FS_STAGE_DURATION_CYCLES,SP_VS_STAGE_DURATION_CYCLES,SP_WAVE_CTRL_CYCLES,SP_WAVE_LOAD_CYCLES,SP_WAVE_EMIT_CYCLES,SP_WAVE_NOP_CYCLES,SP_WAVE_WAIT_CYCLES,SP_WAVE_FETCH_CYCLES,SP_WAVE_IDLE_CYCLES,SP_WAVE_END_CYCLES
0.074837,0,15512924,2863629,0,25189,0,0,7066765,241039001,15513500,241555424,20768,0,0,15442388,0,1286460,1014145,113784,5711556,2069614,2626877,341064,20744
0.076190,0,15365083,2834695,0,25117,0,0,7042828,239052763,15365681,239058688,20528,0,0,15294629,0,1274052,1001806,112640,5703355,2065212,2612243,337707,20561
0.078602,0,27359286,5053996,0,45050,0,0,12543326,425315847,27361720,425312431,36624,0,0,27236152,0,2270724,1793719,202136,10205376,3687833,4654010,601581,36615
0.079961,0,15432176,2848742,0,25132,0,0,7059523,240130441,15428843,240125731,20624,0,0,15357791,0,1279378,1009146,113256,5685802,2066387,2623814,339126,20648
0.081367,0,15967116,2947685,0,26274,0,0,7327035,248207345,15968523,248210310,21360,0,0,15894915,0,1324381,1044222,117656,5965488,2153005,2714750,350829,21358
0.082722,0,15406748,2843279,0,25131,0,0,7052674,239720105,15405468,239728130,20624,0,0,15334020,0,1277574,1007440,113256,5685072,2063982,2619483,338526,20602
0.084122,0,15877161,2930923,0,26231,0,0,7331008,247637350,15877323,246671896,21216,0,0,15804783,0,1316730,1038383,116864,5931733,2151280,2714605,349359,21240
0.085633,0,11110383,2035523,0,17775,0,0,4916155,166705513,10706706,165446287,13988,0,0,10330830,0,849454,665801,74624,3729707,1341986,1692326,218712,13264
0.087138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.088622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.090113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.091611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.093107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.094603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.096096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.097603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.100770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.102420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
