elapsed_s,ALWAYSON
0.236884,29389
0.238423,29553
0.239954,29413
0.241486,29371
0.243013,30210
0.244589,29381
0.246119,29382
0.247651,29457
0.249197,29647
0.250727,29361
0.252259,29459
0.253791,29380
0.255320,29448
0.256856,29414
0.258385,29341
0.259973,30518
0.261505,29389
0.263033,29366
0.264565,29409
0.266096,29390
0.267629,29461
0.269161,29383
0.270704,29639
0.272238,29463
0.273770,29400
0.275342,30252
0.276877,29380
0.278407,29375
0.279939,29444
0.281485,29665
0.283015,29365
0.284546,29387
0.286076,29392
0.287609,29453
0.289141,29397
0.290671,29373
0.292218,29739
0.293750,29378
0.295280,29450
0.296815,29391
0.298343,29304
0.299831,28421
0.301257,27288
0.302648,26552
0.304016,26176
0.305377,26086
0.306735,26070
0.308225,29560
0.309700,38302
0.311658,27504
0.313077,26615
0.314448,26148
0.315809,26116
0.317168,26147
0.318530,26068
0.319887,26088
0.321245,26935
0.322650,26095
0.324011,25891
0.325347,25639
0.326682,25635
0.328019,25670
0.329355,25650
0.330691,25638
0.332026,25642
0.333362,25636
0.334703,25766
0.336039,25672
0.337376,25641
0.338712,25624
0.340043,25422
0.341366,25401
0.342688,25389
0.344010,25402
0.345339,25529
0.346663,25397
0.347986,25391
0.349308,25379
0.350629,25369
0.351951,25384
0.353273,25381
0.354594,25368
0.355912,26979
0.357308,26800
0.358704,26794
0.360100,26809
0.361496,26808
0.362892,26805
0.364288,25088
0.365596,24929
0.366905,27079
0.368305,26859
0.369704,26848
0.371051,24068
0.372394,27116
0.373813,26723
0.375194,26371
0.377025,36333
0.378911,35005
0.380283,26308
0.381648,26182
0.383010,26125
0.384372,26176
0.385735,26183
0.387097,26206
0.388478,23971
0.389702,25999
0.391067,26201
0.392432,26208
0.393796,26187
0.395160,26192
0.396525,26225
0.397890,26214
0.399311,28190
0.400727,26215
0.402087,33358
0.405905,66079
0.407266,28066
0.408731,26228
0.410114,26481
0.411474,27257
0.412889,26627
0.414717,34595
0.416401,32343
