elapsed_s,ALWAYSON
0.001094,47183
0.002510,27312
0.003935,27132
0.005320,26542
0.006819,28826
0.008203,26543
0.009586,26555
0.010978,26734
0.012361,26527
0.013742,26522
0.015189,27579
0.016579,27127
0.017978,26468
0.019346,26229
0.020664,25274
0.021990,25445
0.023352,26158
0.024667,25245
0.025980,25215
0.027342,26155
0.028656,25213
0.029968,25188
0.031379,26620
0.032700,25275
0.033962,24222
0.035274,25235
0.036539,24256
0.037802,24251
0.039115,25211
0.040378,24268
0.041642,24253
0.042915,24398
0.044176,24249
0.045440,24259
0.046732,25022
0.048011,24401
0.049278,24289
0.050543,25242
0.051960,27286
0.053376,29115
0.054961,32110
0.056633,28353
0.058016,26857
0.059415,26365
0.060783,26300
0.062156,26337
0.063579,27300
0.064963,28371
0.066424,26264
0.067886,28031
0.069249,26139
0.070610,30058
0.072177,26190
0.073551,26725
0.074933,26169
0.076282,23421
0.077502,23044
0.078823,26453
0.080625,33943
0.081849,23445
0.083791,37300
0.085016,24098
0.086269,23474
0.087643,26400
0.088864,23421
0.090085,25905
0.091446,26213
0.092826,26486
0.094193,26227
0.095559,26220
0.096923,26214
0.098287,26128
0.099650,26174
0.101023,26367
0.102385,26180
0.103749,26146
0.105111,26154
0.106472,27691
0.107922,26400
0.109293,26333
0.110663,26247
0.112044,26404
0.113403,26079
0.114846,56305
0.118828,47972
0.120195,26212
0.121559,26161
0.122941,26737
0.124314,26168
0.125675,26115
0.127036,26995
0.128443,26156
0.129803,26097
0.131193,26704
0.132554,26109
0.133922,26270
0.135286,26274
0.136653,26238
0.138019,26235
0.139521,28727
0.140883,26264
0.142249,26233
0.143652,26949
0.145030,26432
0.146396,26241
0.147765,26275
0.149260,29169
0.150793,29628
0.152334,29384
0.153863,29377
0.155409,29671
0.156940,29385
0.158469,29436
0.160005,29410
0.161535,29388
0.163067,29421
0.164598,29379
0.166017,26862
0.167522,29283
0.169053,29389
0.170582,29459
0.172118,29396
0.173648,29376
0.175225,30276
0.176769,29646
0.178298,29354
0.179829,29412
0.181361,56123
0.186902,79985
0.188359,27287
0.189735,26283
0.191139,26961
0.192502,26149
0.193863,26132
0.195228,26304
0.196597,26263
0.197964,26250
0.199345,26494
0.200712,26269
0.202079,26219
0.203446,26274
0.204813,26248
0.206179,27355
0.207581,25986
0.209120,29488
0.210515,26703
0.211886,26285
0.213254,26247
0.214620,26284
0.215991,26262
0.217357,26212
0.218857,29281
0.220393,29466
0.221934,29604
0.223511,30288
0.225043,29400
0.226573,29458
0.228108,29382
0.229637,29355
0.231169,29335
0.232704,29478
0.234224,29169
0.235624,26534
0.237123,29200
