elapsed_s,TSE_FE_ZERO_AREA_PRIM,TSE_FE_FACENESS_CULLED_PRIM,TSE_FE_ZERO_PIXEL_PRIM,TSE_FE_OUTPUT_NULL_PRIM
0.001396,0,0,0,0
0.002955,0,0,0,0
0.004506,0,0,0,0
0.005988,0,0,0,0
0.007833,0,0,0,0
0.009450,0,0,0,0
0.011027,0,0,0,0
0.012486,0,0,0,0
0.013927,0,0,0,0
0.015365,0,0,0,0
0.016827,0,0,0,0
0.018332,0,0,0,0
0.019907,0,0,0,0
0.021342,0,0,0,0
0.022769,0,0,0,0
0.024330,0,0,0,0
0.025740,0,0,0,0
0.027226,0,0,0,0
0.028680,0,0,0,0
0.030145,0,0,0,0
0.031618,0,0,0,0
0.033030,0,0,0,0
0.034440,0,0,0,0
0.035909,0,0,0,0
0.037303,0,0,0,0
0.038696,0,0,0,0
0.040140,0,0,0,0
0.041551,0,0,0,0
0.042961,0,0,0,0
0.044400,0,0,0,0
0.045797,0,0,0,0
0.047242,0,0,0,0
0.048639,0,0,0,0
0.050038,0,0,0,0
0.051437,0,0,0,0
0.052855,0,0,0,0
0.054265,0,0,0,0
0.055785,0,0,0,0
0.057138,0,0,0,0
0.058494,0,0,0,0
0.059841,0,0,0,0
0.061206,0,0,0,0
0.062571,0,0,0,0
0.063986,0,0,0,0
0.065355,0,0,0,0
0.066719,0,0,0,0
0.068056,0,0,0,0
0.069505,0,0,0,0
0.071054,0,0,0,0
0.072517,0,0,0,0
0.073882,0,0,0,0
0.075235,0,0,0,0
0.076595,0,0,0,0
0.077943,0,0,0,0
0.079333,0,0,0,0
0.080736,0,0,0,0
0.082428,0,0,0,0
0.083812,0,0,0,0
0.085212,0,0,0,0
0.086600,0,0,0,0
0.088000,0,0,0,0
0.089389,0,0,0,0
0.090775,0,0,0,0
0.092220,0,0,0,0
0.093889,0,0,0,0
0.095262,0,0,0,0
0.096970,0,0,0,0
0.098210,0,0,0,0
0.100019,0,0,0,0
0.101260,0,0,0,0
0.102500,0,0,0,0
0.104124,0,0,0,0
0.105369,0,0,0,0
0.106613,0,0,0,0
0.107853,0,0,0,0
0.109093,0,0,0,0
0.110363,0,0,0,0
0.111922,0,0,0,0
0.113286,0,0,0,0
0.114648,0,0,0,0
0.116078,0,0,0,0
0.117417,0,0,0,0
0.118744,0,0,0,0
0.120073,0,0,0,0
0.121464,0,0,0,0
0.122789,0,0,0,0
0.124115,0,0,0,0
