elapsed_s,TSE_FE_OUTPUT_VISIBLE_PRIM,TSE_FE_CINVOCATION,TSE_FE_CPRIMITIVES,TSE_FE_CLIP_PLANES
0.001096,0,0,0,0
0.002548,0,0,0,0
0.003967,0,0,0,0
0.005384,0,0,0,0
0.006799,0,0,0,0
0.008212,0,0,0,0
0.009626,0,0,0,0
0.011203,0,0,0,0
0.012619,0,0,0,0
0.014032,0,0,0,0
0.015444,0,0,0,0
0.016863,0,0,0,0
0.018307,0,0,0,0
0.019690,0,0,0,0
0.021042,0,0,0,0
0.022412,0,0,0,0
0.023758,0,0,0,0
0.025101,0,0,0,0
0.026494,0,0,0,0
0.027842,0,0,0,0
0.029190,0,0,0,0
0.030521,0,0,0,0
0.031920,0,0,0,0
0.033213,0,0,0,0
0.034550,0,0,0,0
0.035952,0,0,0,0
0.037243,0,0,0,0
0.038579,0,0,0,0
0.039834,0,0,0,0
0.041089,0,0,0,0
0.042394,0,0,0,0
0.043654,0,0,0,0
0.045020,0,0,0,0
0.046343,0,0,0,0
0.047607,0,0,0,0
0.048864,0,0,0,0
0.050198,0,0,0,0
0.051539,0,0,0,0
0.052875,0,0,0,0
0.054280,0,0,0,0
0.055619,0,0,0,0
0.057004,0,0,0,0
0.058376,0,0,0,0
0.059730,0,0,0,0
0.061075,0,0,0,0
0.064512,0,0,0,0
0.066058,0,0,0,0
0.067476,0,0,0,0
0.068865,0,0,0,0
0.070810,0,0,0,0
0.072199,0,0,0,0
0.073581,0,0,0,0
0.074964,0,0,0,0
0.076359,0,0,0,0
0.077758,0,0,0,0
0.079000,0,0,0,0
0.080240,0,0,0,0
0.081478,0,0,0,0
0.082845,0,0,0,0
0.084092,0,0,0,0
0.085294,0,0,0,0
0.086491,0,0,0,0
0.087694,0,0,0,0
0.088890,0,0,0,0
0.090090,0,0,0,0
0.091286,0,0,0,0
0.092481,0,0,0,0
0.093677,0,0,0,0
0.094914,0,0,0,0
0.096417,0,0,0,0
0.097846,0,0,0,0
0.099289,0,0,0,0
0.100678,0,0,0,0
0.102116,0,0,0,0
0.103514,0,0,0,0
