elapsed_s,VPC_US_STREAMOUT_TRANSACTION,VPC_US_NUM_GMEM_READ_SO,VPC_US_STARVE_CYCLES_UCHE_RD,VPC_US_STALL_CYCLES_PRG_END_VPCUS,VPC_US_STARVE_CYCLES_REORDER,VPC_US_BOTTLENECK
0.001091,0,0,0,0,693783,0
0.002604,0,0,0,0,707523,0
0.004099,0,0,0,0,702609,0
0.005587,0,0,0,0,702576,0
0.007072,0,0,0,0,702399,0
0.008562,0,0,0,0,702249,0
0.010072,0,0,0,0,715758,0
0.011570,0,0,0,0,705849,0
0.013058,0,0,0,0,704865,0
0.014576,0,0,0,0,910779,0
0.016198,0,0,0,0,719208,0
0.017655,0,0,0,0,705633,0
0.019103,0,0,0,0,706776,0
0.020561,0,0,0,0,711126,0
0.022005,0,0,0,0,708054,0
0.023496,0,0,0,0,709362,0
0.024939,0,0,0,0,708471,0
0.026381,0,0,0,0,711423,0
0.027859,0,0,0,0,760083,0
0.029297,0,0,0,0,710034,0
0.030751,0,0,0,0,730212,0
0.032238,0,0,0,0,746223,0
0.033730,0,0,0,0,723813,0
0.035163,0,0,0,0,669858,0
0.036554,0,0,0,0,660357,0
0.037943,0,0,0,0,665094,0
0.039340,0,0,0,0,661947,0
0.040742,0,0,0,0,663498,0
0.042134,0,0,0,0,662676,0
0.043526,0,0,0,0,661767,0
0.044940,0,0,0,0,691425,0
0.046333,0,0,0,0,656013,0
0.047716,0,0,0,0,749196,0
0.049099,0,0,0,0,719817,0
0.050483,0,0,0,0,720684,0
0.051873,0,0,0,0,717513,0
0.053257,0,0,0,0,718941,0
0.054642,0,0,0,0,717603,0
0.056024,0,0,0,0,716943,0
0.057408,0,0,0,0,717006,0
0.058790,0,0,0,0,718524,0
0.060175,0,0,0,0,717579,0
0.061609,0,0,0,0,718446,0
0.063052,0,0,0,0,720600,0
0.064436,0,0,0,0,546996,0
0.065722,0,0,0,0,719922,0
0.067107,0,0,0,0,716751,0
0.068490,0,0,0,0,714594,0
0.069872,0,0,0,0,716370,0
0.071305,0,0,0,0,721056,0
0.072692,0,0,0,0,717795,0
0.074133,0,0,0,0,493221,0
0.075407,0,0,0,0,606180,0
0.076792,0,0,0,0,605022,0
0.078177,0,0,0,0,604314,0
0.079612,0,0,0,0,639402,0
0.081056,0,0,0,0,673098,0
0.082334,0,0,0,0,739500,0
0.083807,0,0,0,0,536709,0
0.085126,0,0,0,0,492261,0
0.086438,0,0,0,0,492990,0
0.087775,0,0,0,0,504456,0
0.089097,0,0,0,0,644238,0
0.090523,0,0,0,0,507786,0
0.091857,0,0,0,0,505140,0
0.093171,0,0,0,0,493893,0
0.094484,0,0,0,0,561783,0
0.095912,0,0,0,0,475308,0
0.097186,0,0,0,0,606111,0
0.098571,0,0,0,0,465402,0
0.099848,0,0,0,0,458262,0
0.101121,0,0,0,0,885651,0
0.102271,0,0,0,0,2632104,0
0.103657,0,0,0,0,1470543,0
0.105035,0,0,0,0,1469988,0
0.106472,0,0,0,0,1471038,0
0.107851,0,0,0,0,1474980,0
0.109230,0,0,0,0,1468839,0
0.110610,0,0,0,0,1193904,0
0.111900,0,0,0,0,1490241,0
0.113279,0,0,0,0,1469913,0
0.114658,0,0,0,0,1471440,0
0.116038,0,0,0,0,1132191,0
0.117310,0,0,0,0,1475052,0
0.118698,0,0,0,0,1494228,0
0.120081,0,0,0,0,1467975,0
0.121467,0,0,0,0,1473768,0
0.122846,0,0,0,0,1474839,0
0.124227,0,0,0,0,1472577,0
0.125608,0,0,0,0,1475232,0
0.126987,0,0,0,0,1474461,0
0.128371,0,0,0,0,1465149,0
0.129750,0,0,0,0,1463688,0
0.131273,0,0,0,0,1322304,0
0.132844,0,0,0,0,1285872,0
0.134397,0,0,0,0,1282629,0
