
[selected] 2 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[csv] temp path for this run: /data/local/tmp/jerry_work/adreno_perf_stream_last.csv

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/jerry_work/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES
0.005349,0,0
0.010713,0,0
0.016141,0,0
0.021562,0,0
0.026959,0,0
0.032446,0,0
0.038059,0,0
0.043611,0,0
0.049034,0,0
0.054588,0,0
0.059971,0,0
0.065361,0,0
0.070935,0,0
0.076477,0,0
0.081863,0,0
0.087384,0,0
0.092769,0,0
0.098174,0,0
0.103622,0,0
0.109086,0,0
0.114477,0,0
0.119970,0,0
0.125554,0,0
0.131482,0,0
0.136906,0,0
0.142387,0,0
0.147906,0,0
0.153344,0,0
0.159024,0,0
0.164515,0,0
0.170303,0,0
0.175963,0,0
0.181593,0,0
0.187532,0,0
0.193142,0,0
0.198863,0,0
0.204395,0,0
0.210161,0,0
0.215662,0,0
0.479038,0,0
0.484422,394461,254845
0.489821,0,0
0.495477,0,0
0.501086,0,0
0.506511,0,0
0.511941,0,0
0.517501,0,0
0.523046,0,0
0.528449,0,0
0.533857,0,0
0.539275,0,0
0.544835,0,0
0.550273,0,0
0.557333,0,0
0.562720,0,0
0.568132,0,0
0.573531,0,0
0.578987,0,0
0.584438,0,0
0.589831,0,0
0.595518,0,0
0.601011,18672154,33816576
0.606465,0,0
0.611990,0,0
0.865996,0,0
0.871572,0,0
0.877265,0,0
0.882855,0,0
0.888278,0,0
0.893942,0,0
0.899544,0,0
0.905249,0,0
0.911029,0,0
0.916627,0,0
0.922119,0,0
0.927641,0,0
0.933257,0,0
0.938929,0,0
0.944679,0,0
0.950353,0,0
0.956103,0,0
0.961757,0,0
0.967249,0,0
0.972744,0,0
0.978417,0,0
0.984087,0,0
0.990012,0,0
0.995643,0,0
1.001385,0,0
1.007144,0,0
1.012573,0,0
1.031599,0,0
1.037054,0,0
1.042532,0,0
1.048251,0,0
1.053938,0,0
1.059674,0,0
1.065425,0,0
1.071121,0,0
1.077173,0,0
1.082841,0,0
1.088367,0,0
1.094024,0,0
1.099774,0,0
1.105508,0,0
1.111259,0,0
1.116932,0,0

[cleanup] releasing 2 active counters

[csv] samples were recorded to temporary file: /data/local/tmp/jerry_work/adreno_perf_stream_last.csv
[csv] stdin is not interactive, so the file was kept at the temporary path.
