elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
1.371625,0,0,2350140,2350512,0,0
1.373186,0,0,2383680,2383614,0,0
1.374751,0,0,2391210,2390886,0,0
1.376313,0,0,2389662,2389602,0,0
1.377887,0,0,2385228,2385276,0,0
1.379448,0,0,2388390,2388330,0,0
1.381010,0,0,2392686,2392560,0,0
1.382574,0,0,2376282,2376396,0,0
1.384135,0,0,2381460,2381508,0,0
1.385696,0,0,2390286,2390274,0,0
1.387259,0,0,2387472,2387382,0,0
1.388835,0,0,2383080,2383080,0,0
1.390399,0,0,2395914,2395932,0,0
1.391962,0,0,2382978,2383092,0,0
1.393523,0,0,2394348,2394288,0,0
1.395087,0,0,2395620,2395704,0,0
1.396652,0,0,2379270,2379168,0,0
1.398213,0,0,2332422,2332416,0,0
1.399640,0,0,2326542,2326452,0,0
1.401170,0,0,2385330,2385402,0,0
1.402734,0,0,2565912,2565822,0,0
1.406326,0,0,19038810,19038810,0,0
1.410631,0,0,2331312,2331390,0,0
1.412206,0,0,2373612,2373606,0,0
1.413635,0,0,2306028,2305848,0,0
1.415035,0,0,2330124,2330238,0,0
1.416436,0,0,2337294,2337342,0,0
1.417832,0,0,2316906,2316834,0,0
1.419231,0,0,2315442,2315502,0,0
1.420649,0,0,2309940,2309754,0,0
1.422045,0,0,2337792,2337786,0,0
1.423442,0,0,2310018,2310114,0,0
1.424973,0,0,2468112,2468358,0,0
1.426381,0,0,2341422,2341008,0,0
1.427736,0,0,2487552,2487774,0,0
1.429164,0,0,2314014,2314020,0,0
1.430562,0,0,2327592,2327568,0,0
1.431976,0,0,2320152,2320074,0,0
1.433372,0,0,2316312,2316384,0,0
1.434901,0,0,2394462,2394468,0,0
1.436463,0,0,2384694,2384598,0,0
1.438024,0,0,2417244,2417322,0,0
1.439590,0,0,2386320,2386314,0,0
1.441151,0,0,2378304,2378208,0,0
1.442727,0,0,2385996,2386074,0,0
1.444333,0,0,2384748,2384688,0,0
1.445893,0,0,2391204,2391198,0,0
1.447327,0,0,2316774,2316780,0,0
1.448858,0,0,2390004,2389986,0,0
1.450423,0,0,2387748,2387796,0,0
1.451985,0,0,2376900,2376816,0,0
1.453557,0,0,2389992,2390010,0,0
1.455122,0,0,2389836,2389890,0,0
1.456684,0,0,2384616,2384616,0,0
1.458246,0,0,2381820,2381814,0,0
1.459906,0,0,2389032,2388798,0,0
1.461468,0,0,2385516,2385564,0,0
1.463032,0,0,2390562,2390634,0,0
1.464608,0,0,2383848,2383938,0,0
1.466169,0,0,2404380,2404368,0,0
1.467735,0,0,2381802,2381712,0,0
1.469176,0,0,2343300,2343384,0,0
1.470714,0,0,2392110,2392098,0,0
1.472276,0,0,2386254,2386248,0,0
1.473836,0,0,2381976,2381886,0,0
1.475411,0,0,2376708,2376696,0,0
1.476972,0,0,2391570,2391594,0,0
1.478536,0,0,2385474,2385588,0,0
1.480098,0,0,2385144,2384898,0,0
1.481657,0,0,2390862,2390946,0,0
1.483220,0,0,2391516,2391540,0,0
1.484781,0,0,2374194,2374164,0,0
1.486358,0,0,2396250,2396274,0,0
1.487919,0,0,2393166,2393292,0,0
1.489733,0,0,2401908,2401770,0,0
1.491299,0,0,2372976,2372970,0,0
1.492734,0,0,2318646,2318610,0,0
1.494347,0,0,2965170,2965164,0,0
1.495880,0,0,2326986,2327064,0,0
1.497291,0,0,2317110,2317050,0,0
1.498821,0,0,2385900,2385954,0,0
1.500384,0,0,2388546,2388474,0,0
1.501992,0,0,2702166,2702154,0,0
1.503488,0,0,2337816,2337780,0,0
1.505021,0,0,2367192,2367108,0,0
1.506448,0,0,2310660,2310774,0,0
1.508030,0,0,2360928,2360916,0,0
1.509584,0,0,2359734,2359788,0,0
1.511014,0,0,2319186,2319174,0,0
1.512546,0,0,2379816,2379642,0,0
1.514106,0,0,2708388,2708382,0,0
1.516080,0,0,2536740,2536740,0,0
1.517537,0,0,2315808,2315916,0,0
1.518950,0,0,2325234,2325108,0,0
1.520480,0,0,2394204,2394282,0,0
1.522044,0,0,2426412,2426502,0,0
1.523615,0,0,2408076,2408064,0,0
1.525180,0,0,2401368,2401674,0,0
1.526747,0,0,2396124,2395800,0,0
1.528313,0,0,2399214,2399136,0,0
1.529889,0,0,2397120,2397132,0,0
1.531325,0,0,2329548,2329428,0,0
1.532857,0,0,2394678,2394786,0,0
1.534424,0,0,2394036,2394324,0,0
1.535988,0,0,2391684,2391270,0,0
1.537551,0,0,2393634,2393736,0,0
1.539118,0,0,2399142,2399202,0,0
1.540697,0,0,2385738,2385678,0,0
1.542334,0,0,3039906,3039864,0,0
1.543880,0,0,2337846,2337930,0,0
1.545282,0,0,2324022,2324022,0,0
1.546815,0,0,2402784,2402712,0,0
1.548380,0,0,2393442,2393424,0,0
1.549942,0,0,2387100,2387076,0,0
1.551596,0,0,2747250,2747244,0,0
1.553157,0,0,2385984,2386062,0,0
1.554723,0,0,2399496,2399406,0,0
1.556330,0,0,2397324,2397234,0,0
1.557892,0,0,2379786,2380332,0,0
1.559453,0,0,2376618,2376066,0,0
1.561015,0,0,2392638,2392800,0,0
1.562595,0,0,2395776,2395770,0,0
1.564158,0,0,2388162,2387970,0,0
1.565720,0,0,2388756,2388936,0,0
1.567284,0,0,2389512,2389968,0,0
1.568847,0,0,2385090,2384616,0,0
1.570411,0,0,2392902,2392902,0,0
1.572017,0,0,2392740,2392650,0,0
1.573592,0,0,2378370,2378388,0,0
1.575156,0,0,2390406,2390370,0,0
1.576718,0,0,2384394,2384472,0,0
1.578282,0,0,2384616,2384532,0,0
1.579845,0,0,2381124,2381106,0,0
1.581406,0,0,2378172,2378346,0,0
1.582972,0,0,2389656,2389500,0,0
1.584547,0,0,2386086,2386092,0,0
1.586109,0,0,2424912,2424906,0,0
1.587677,0,0,2657172,2657130,0,0
1.589285,0,0,2390640,2390550,0,0
1.590851,0,0,2385954,2386038,0,0
1.592564,0,0,2398680,2399598,0,0
1.594072,0,0,2487108,2491134,0,0
1.595525,0,0,2335800,2330832,0,0
1.597056,0,0,2379528,2379558,0,0
1.598622,0,0,2386590,2386584,0,0
1.600185,0,0,2377398,2377380,0,0
1.602541,0,0,2140410,2140464,0,0
1.604394,0,0,3869934,3869784,0,0
1.606417,0,0,2355450,2355588,0,0
1.607836,0,0,2304414,2304414,0,0
1.609232,0,0,2050422,2050332,0,0
1.610584,0,0,2300082,2300160,0,0
1.611976,0,0,2300706,2300700,0,0
1.613367,0,0,2304612,2304552,0,0
1.614757,0,0,2298510,2307990,0,0
1.616168,0,0,2332134,2322636,0,0
1.617713,0,0,2359590,2359560,0,0
1.619145,0,0,2317158,2317236,0,0
1.620678,0,0,2386668,2386602,0,0
1.622241,0,0,2374812,2374692,0,0
1.623857,0,0,2374842,2374920,0,0
1.625295,0,0,2351496,2351496,0,0
1.626718,0,0,2321898,2321970,0,0
1.628249,0,0,2389230,2389236,0,0
1.629810,0,0,2382792,2382696,0,0
1.631373,0,0,2381502,2381490,0,0
1.632933,0,0,2389572,2389650,0,0
1.634493,0,0,2174154,2174088,0,0
1.636043,0,0,2415102,2415072,0,0
1.637494,0,0,2332236,2332260,0,0
1.639029,0,0,2402310,2402304,0,0
1.640593,0,0,2398908,2398872,0,0
1.642158,0,0,2424888,2424912,0,0
1.643728,0,0,2394774,2394738,0,0
1.645290,0,0,2397366,2397360,0,0
1.646855,0,0,2369670,2369670,0,0
1.648421,0,0,2375100,2375124,0,0
1.649974,0,0,2743992,2743986,0,0
1.651625,0,0,2662344,2662308,0,0
1.653233,0,0,2386548,2386626,0,0
1.654799,0,0,2396274,2396280,0,0
1.656363,0,0,2396670,2396568,0,0
1.657926,0,0,2393820,2394126,0,0
1.659554,0,0,2362854,2362938,0,0
1.661107,0,0,2362092,2361780,0,0
1.662540,0,0,2338818,2338800,0,0
1.664109,0,0,2400306,2400240,0,0
1.665672,0,0,2387286,2387340,0,0
1.667237,0,0,2395200,2395110,0,0
1.668802,0,0,2387148,2387172,0,0
1.670381,0,0,2407098,2407242,0,0
1.671947,0,0,2534862,2534844,0,0
1.673407,0,0,2331978,2331714,0,0
1.674814,0,0,2321538,2321712,0,0
1.676343,0,0,2397732,2397660,0,0
1.677906,0,0,2393088,2393082,0,0
1.679419,0,0,2324388,2324274,0,0
1.680961,0,0,2396496,2396478,0,0
1.682528,0,0,2397552,2397642,0,0
1.684136,0,0,2396616,2397096,0,0
1.685699,0,0,2397312,2397312,0,0
1.687264,0,0,2403732,2403258,0,0
1.688828,0,0,2395260,2395254,0,0
1.690394,0,0,2386014,2386008,0,0
1.691846,0,0,2221608,2219658,0,0
1.693380,0,0,2467320,2467314,0,0
1.695230,0,0,1896642,1896636,0,0
1.696787,0,0,2198778,2198898,0,0
1.698211,0,0,2215464,2215752,0,0
1.699626,0,0,2175054,2174538,0,0
1.701028,0,0,2167530,2167764,0,0
1.702446,0,0,2159520,2159358,0,0
1.703846,0,0,2162214,2162202,0,0
1.705373,0,0,2235186,2235180,0,0
1.706940,0,0,2224428,2224350,0,0
1.708505,0,0,2223090,2223156,0,0
1.710068,0,0,2243280,2243280,0,0
1.711637,0,0,2225046,2225124,0,0
1.713213,0,0,2221308,2221212,0,0
1.714780,0,0,2226912,2227422,0,0
1.716389,0,0,2229822,2229306,0,0
1.717952,0,0,2641728,2641992,0,0
1.719481,0,0,2163750,2163390,0,0
1.721014,0,0,2230176,2230254,0,0
1.722580,0,0,2201946,2201934,0,0
1.724148,0,0,2191098,2191092,0,0
1.725700,0,0,2193030,2193030,0,0
1.727131,0,0,2169420,2169486,0,0
1.728664,0,0,2222580,2222496,0,0
1.730226,0,0,1899942,1900026,0,0
1.731604,0,0,2391108,2391012,0,0
1.733049,0,0,2165904,2165904,0,0
1.734467,0,0,2165958,2166078,0,0
1.735997,0,0,2226624,2226708,0,0
1.737561,0,0,2229144,2229060,0,0
1.739126,0,0,2204616,2204682,0,0
1.740682,0,0,2189082,2189154,0,0
1.742236,0,0,2374716,2374632,0,0
1.743827,0,0,2217144,2217144,0,0
1.745401,0,0,2218152,2218074,0,0
1.746968,0,0,2222790,2222856,0,0
1.748575,0,0,2225256,2225244,0,0
1.750138,0,0,2248308,2248302,0,0
1.751706,0,0,2213034,2213040,0,0
1.753268,0,0,2218770,2218674,0,0
1.754834,0,0,2226114,2226192,0,0
1.756412,0,0,2216784,2216772,0,0
1.757975,0,0,2246022,2246022,0,0
1.759542,0,0,2217690,2217468,0,0
1.760975,0,0,2160132,2160264,0,0
1.762508,0,0,2220504,2220570,0,0
1.764117,0,0,2216370,2216364,0,0
1.765679,0,0,2219322,2219316,0,0
1.767257,0,0,2219964,2219970,0,0
1.768821,0,0,2217912,2217900,0,0
1.770387,0,0,2225370,2225364,0,0
1.771951,0,0,2223696,2223696,0,0
1.773514,0,0,2215686,2215674,0,0
1.774988,0,0,2187816,2187810,0,0
1.776544,0,0,2225262,2225256,0,0
1.778118,0,0,2248260,2248254,0,0
1.779687,0,0,2464800,2464710,0,0
1.781295,0,0,2215956,2216028,0,0
1.782859,0,0,2218122,2218122,0,0
1.784423,0,0,2216850,2216712,0,0
1.785985,0,0,2245278,2245410,0,0
1.787553,0,0,2220300,2220294,0,0
1.789003,0,0,2168184,2169036,0,0
1.790543,0,0,2233362,2233356,0,0
1.792109,0,0,2221602,2221596,0,0
1.793675,0,0,2223360,2223270,0,0
1.795243,0,0,2219712,2219796,0,0
1.796811,0,0,2223390,2223378,0,0
1.798379,0,0,2211786,2211696,0,0
1.799957,0,0,2224428,2224500,0,0
1.801522,0,0,2214636,2214636,0,0
1.803090,0,0,2233632,2233542,0,0
1.804658,0,0,2225838,2225916,0,0
1.806224,0,0,2462592,2462586,0,0
1.807834,0,0,2230932,2230926,0,0
1.809401,0,0,2229222,2229132,0,0
1.810982,0,0,2231814,2231892,0,0
1.812471,0,0,2181090,2180994,0,0
1.814011,0,0,2252718,2252802,0,0
1.815582,0,0,2215614,2215608,0,0
1.817146,0,0,2210562,2210556,0,0
1.818715,0,0,2226078,2226498,0,0
1.820283,0,0,2226642,2226216,0,0
1.821862,0,0,2227836,2227824,0,0
1.823430,0,0,2214930,2214918,0,0
1.824994,0,0,2079192,2079192,0,0
1.826415,0,0,2196420,2196408,0,0
1.828005,0,0,2230392,2230470,0,0
1.829573,0,0,2227752,2227674,0,0
1.831142,0,0,2226930,2226918,0,0
1.832724,0,0,2229324,2229324,0,0
1.834296,0,0,2231994,2231982,0,0
1.835864,0,0,2222964,2222886,0,0
1.837431,0,0,2234580,2234646,0,0
1.839002,0,0,2240598,2240598,0,0
1.840571,0,0,2228322,2228388,0,0
1.842138,0,0,2252844,2252766,0,0
1.843597,0,0,2395944,2395854,0,0
1.845179,0,0,2234856,2234850,0,0
1.846750,0,0,2225796,2226300,0,0
1.848319,0,0,2232762,2232324,0,0
1.849887,0,0,2234268,2234178,0,0
1.851323,0,0,2148450,2148528,0,0
1.852851,0,0,2196114,2196024,0,0
1.855103,0,0,2391678,2391762,0,0
1.856591,0,0,2172024,2172090,0,0
1.858000,0,0,2186610,2186526,0,0
1.859407,0,0,2160744,2160732,0,0
1.860855,0,0,2161296,2161368,0,0
