elapsed_s,CP_PM4_DATA,CP_PM4_HEADERS,CP_VBIF_READ_BEATS,CP_VBIF_WRITE_BEATS,CP_SQE_INSTR_COUNTER,CP_CLUSTER_FE_US_FULL,CP_CLUSTER_FE_S_FULL,CP_CLUSTER_SP_VS_FULL,CP_CLUSTER_VPC_US_FULL,CP_CLUSTER_VPC_VS_FULL,CP_CLUSTER_GRAS_FULL,CP_CLUSTER_SP_PS_FULL,CP_CLUSTER_VPC_PS_FULL,CP_CLUSTER_PS_FULL
0.001076,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.002762,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.004369,0,0,34,1,235,0,0,0,0,0,0,0,0,0
0.006021,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.007649,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.009305,0,0,34,1,227,0,0,0,0,0,0,0,0,0
0.011103,0,0,34,1,221,0,0,0,0,0,0,0,0,0
0.012743,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.014729,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.016242,0,0,35,1,217,0,0,0,0,0,0,0,0,0
0.017698,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.019297,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.020819,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.022417,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.023937,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.025454,0,0,36,1,217,0,0,0,0,0,0,0,0,0
0.026956,0,0,34,1,223,0,0,0,0,0,0,0,0,0
0.028465,0,0,34,1,213,0,0,0,0,0,0,0,0,0
0.030018,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.031570,0,0,35,1,213,0,0,0,0,0,0,0,0,0
0.033131,0,0,34,1,223,0,0,0,0,0,0,0,0,0
0.034765,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.036398,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.038056,0,0,34,1,219,0,0,0,0,0,0,0,0,0
0.039712,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.041341,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.043174,0,0,34,1,217,0,0,0,0,0,0,0,0,0
0.044830,0,0,34,1,225,0,0,0,0,0,0,0,0,0
0.046510,0,0,36,1,222,0,0,0,0,0,0,0,0,0
0.047986,0,0,36,1,218,0,0,0,0,0,0,0,0,0
0.049451,0,0,36,1,222,0,0,0,0,0,0,0,0,0
