elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.001526,0,0,0,0,0,0
0.002999,0,0,0,0,0,0
0.004431,0,0,0,0,0,0
0.005864,0,0,0,0,0,0
0.007297,0,0,0,0,0,0
0.008730,0,0,0,0,0,0
0.010210,0,0,0,0,0,0
0.011621,0,0,0,0,0,0
0.013009,0,0,0,0,0,0
0.014419,0,0,0,0,0,0
0.015849,0,0,0,0,0,0
0.017311,0,0,0,0,0,0
0.018711,0,0,0,0,0,0
0.020078,0,0,0,0,0,0
0.021457,0,0,0,0,0,0
0.022827,0,0,0,0,0,0
0.024189,0,0,0,0,0,0
0.025649,0,0,0,0,0,0
0.026959,0,0,0,0,0,0
0.028264,0,0,0,0,0,0
0.029618,0,0,0,0,0,0
0.030966,0,0,0,0,0,0
0.032391,0,0,0,0,0,0
0.033717,0,0,0,0,0,0
0.034978,0,0,0,0,0,0
0.036238,0,0,0,0,0,0
0.037560,0,0,0,0,0,0
0.038868,0,0,0,0,0,0
0.040173,0,0,0,0,0,0
0.041499,0,0,0,0,0,0
0.042977,0,0,0,0,0,0
0.044426,0,0,0,0,0,0
0.046427,0,0,0,0,0,0
0.047866,0,0,0,0,0,0
0.049337,0,0,0,0,0,0
0.050774,0,0,0,0,0,0
0.052623,0,0,0,0,0,0
0.054197,0,0,0,0,0,0
0.055615,0,0,0,0,0,0
0.057019,0,0,0,0,0,0
0.058496,0,0,0,0,0,0
0.059892,0,0,0,0,0,0
0.061319,0,0,0,0,0,0
0.062852,0,0,0,0,0,0
0.064266,0,0,0,0,0,0
0.065702,0,0,0,0,0,0
0.067097,0,0,0,0,0,0
0.068491,0,0,0,0,0,0
0.072014,0,0,15,0,0,2
0.074178,0,0,24,0,0,0
0.075389,0,0,24,0,0,0
0.076594,0,0,24,0,0,0
0.077857,0,0,24,0,0,0
0.079110,0,0,27,0,0,0
0.080361,0,0,24,0,0,0
0.081659,0,0,24,0,0,0
0.082912,0,0,27,0,0,0
0.084165,0,0,24,0,0,0
0.085421,0,0,24,0,0,0
0.086675,0,0,27,0,0,0
0.087931,0,0,24,0,0,0
0.089187,0,0,24,0,0,0
0.090439,0,0,27,0,0,0
0.091691,0,0,24,0,0,0
0.092943,0,0,27,0,0,0
0.094307,0,0,24,0,0,0
0.095689,0,0,30,0,0,0
0.097107,0,0,27,0,0,0
0.098441,0,0,27,0,0,0
0.099705,0,0,24,0,0,0
0.100971,0,0,27,0,0,0
0.102354,0,0,27,0,0,0
0.103644,0,0,27,0,0,0
0.104902,0,0,24,0,0,0
0.106205,0,0,27,0,0,0
0.107459,0,0,24,0,0,0
0.108712,0,0,24,0,0,0
0.109968,0,0,27,0,0,0
0.111466,0,0,15,0,0,0
0.112867,0,0,0,0,0,0
0.114476,0,0,0,0,0,0
0.115878,0,0,0,0,0,0
0.117276,0,0,0,0,0,0
0.118675,0,0,0,0,0,0
0.120073,0,0,0,0,0,0
0.121524,0,0,0,0,0,0
0.122934,0,0,0,0,0,0
0.124331,0,0,0,0,0,0
0.125720,0,0,0,0,0,0
0.127114,0,0,0,0,0,0
0.128505,0,0,0,0,0,0
0.133045,0,0,0,0,0,0
0.134470,0,0,0,0,0,0
0.135861,0,0,0,0,0,0
0.138550,0,0,0,0,0,0
0.139946,0,0,0,0,0,0
0.141318,0,0,0,0,0,0
0.142755,0,0,0,0,0,0
0.144147,0,0,0,0,0,0
0.145590,0,0,0,0,0,0
0.146984,0,0,0,0,0,0
