elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
1.905610,0,0,3646584,1768074,0,0
1.907055,0,0,1639980,1639980,0,0
1.908494,0,0,1657050,1657140,0,0
1.909931,0,0,1652136,1652112,0,0
1.911368,0,0,1644228,1644228,0,0
1.912805,0,0,1711386,1711392,0,0
1.914241,0,0,1691304,1691196,0,0
1.915685,0,0,2847150,2844594,0,0
1.917168,0,0,1525908,1525908,0,0
1.918612,0,0,1539324,1539318,0,0
1.920056,0,0,1528986,1529184,0,0
1.921498,0,0,1528332,1528122,0,0
1.922941,0,0,1672278,1672464,0,0
1.924560,0,0,1562298,1562100,0,0
1.926196,0,0,1570248,1570236,0,0
1.927811,0,0,1550616,1550808,0,0
1.929417,0,0,1550826,1550622,0,0
1.931165,0,0,1525536,1525542,0,0
1.932744,0,0,1549266,1549536,0,0
1.934349,0,0,1551438,1551348,0,0
1.936011,0,0,1752066,1751862,0,0
1.937638,0,0,1562784,1562976,0,0
1.939297,0,0,1576944,1576734,0,0
1.940907,0,0,1563612,1563612,0,0
1.942515,0,0,1668936,1668924,0,0
1.944156,0,0,1564122,1564212,0,0
1.945764,0,0,1569390,1569294,0,0
1.947426,0,0,1573230,1573314,0,0
1.949054,0,0,1561356,1561254,0,0
1.950666,0,0,1411572,1411572,0,0
1.952311,0,0,1561362,1561356,0,0
1.953923,0,0,1567098,1567182,0,0
1.955588,0,0,1562262,1562160,0,0
1.957202,0,0,1557948,1557942,0,0
1.958817,0,0,1564866,1564872,0,0
1.960311,0,0,1511574,1511568,0,0
1.961893,0,0,1567128,1567110,0,0
1.963559,0,0,1566726,1566720,0,0
1.965174,0,0,1559670,1559754,0,0
1.966791,0,0,1562112,1562112,0,0
1.968405,0,0,1556280,1556172,0,0
1.970018,0,0,1556850,1556856,0,0
1.971694,0,0,1568604,1568592,0,0
1.973309,0,0,1557156,1557156,0,0
1.974925,0,0,1562994,1562994,0,0
1.976539,0,0,1556298,1556280,0,0
1.978150,0,0,1563648,1563840,0,0
1.979813,0,0,1565916,1565712,0,0
1.981427,0,0,1560294,1560282,0,0
1.983057,0,0,1561488,1561590,0,0
1.984671,0,0,1557504,1557690,0,0
1.986283,0,0,1554708,1554612,0,0
1.987763,0,0,1522326,1522122,0,0
1.989345,0,0,1559520,1559712,0,0
1.990960,0,0,1562550,1562340,0,0
1.992573,0,0,1558128,1558122,0,0
1.994199,0,0,1560714,1560708,0,0
1.995862,0,0,1566060,1566054,0,0
1.997476,0,0,1563906,1564194,0,0
1.999117,0,0,1566624,1566612,0,0
2.000086,0,0,1530360,1530072,0,0
