elapsed_s,RAS_FULLY_COVERED_SUPER_TILES,RAS_FULLY_COVERED_8X4_TILES,RAS_PRIM_KILLED_INVISILBE,RAS_SUPERTILE_GEN_ACTIVE_CYCLES
0.001093,0,0,0,0
0.002541,0,0,0,0
0.003959,0,0,0,0
0.005376,0,0,0,0
0.006790,0,0,0,0
0.008207,0,0,0,0
0.009621,0,0,0,0
0.011130,0,0,0,0
0.012546,0,0,0,0
0.014099,0,0,0,0
0.015595,0,0,0,0
0.017012,0,0,0,0
0.018441,0,0,0,0
0.019790,0,0,0,0
0.021158,0,0,0,0
0.022550,0,0,0,0
0.023895,0,0,0,0
0.025236,0,0,0,0
0.026629,0,0,0,0
0.027971,0,0,0,0
0.029313,0,0,0,0
0.030754,0,0,0,0
0.032051,0,0,0,0
0.033340,0,0,0,0
0.034679,0,0,0,0
0.035968,0,0,0,0
0.037258,0,0,0,0
0.038708,0,0,0,0
0.039997,0,0,0,0
0.041285,0,0,0,0
0.042629,0,0,0,0
0.043917,0,0,0,0
0.045207,0,0,0,0
0.046559,0,0,0,0
0.047814,0,0,0,0
0.049067,0,0,0,0
0.050391,0,0,0,0
0.051724,0,0,0,0
0.053076,0,0,0,0
0.054410,0,0,0,0
0.055845,0,0,0,0
0.057267,0,0,0,0
0.058623,0,0,0,0
0.059977,0,0,0,0
0.061324,0,0,0,0
0.062932,0,0,0,0
0.064352,0,0,0,0
0.065755,0,0,0,0
0.067889,0,0,0,231
0.069279,0,0,0,0
0.070665,0,0,0,0
0.072180,0,0,0,0
0.073563,0,0,0,0
0.074958,0,0,0,0
0.076343,0,0,0,0
0.077728,0,0,0,525
0.080053,0,0,0,1485
0.081298,0,0,0,792
0.083410,0,0,0,1386
0.084650,0,0,0,873
0.085889,0,0,0,810
0.087313,0,0,0,972
0.088708,0,0,0,891
0.090191,0,0,0,990
0.091470,0,0,0,810
0.092843,0,0,0,891
0.094203,0,0,0,792
0.095530,0,0,0,990
0.096786,0,0,0,792
0.098102,0,0,0,972
0.099427,0,0,0,810
0.100670,0,0,0,792
0.101914,0,0,0,792
0.103161,0,0,0,873
0.104404,0,0,0,810
0.105647,0,0,0,891
0.107741,0,0,0,1386
0.110261,0,0,0,1584
0.111618,0,0,0,792
0.112877,0,0,0,792
0.114163,0,0,0,891
0.115404,0,0,0,792
0.116646,0,0,0,492
0.118079,0,0,0,0
0.119492,0,0,0,0
0.120895,0,0,0,0
0.122281,0,0,0,0
0.123669,0,0,0,0
0.125056,0,0,0,0
0.126499,0,0,0,0
0.127897,0,0,0,0
0.129280,0,0,0,0
0.130658,0,0,0,0
0.132249,0,0,0,0
0.133627,0,0,0,0
0.135008,0,0,0,0
0.136388,0,0,0,0
0.137768,0,0,0,0
0.142041,0,0,0,0
0.143659,0,0,0,0
0.145086,0,0,0,0
0.146467,0,0,0,0
0.147865,0,0,0,0
0.149383,0,0,0,0
0.150795,0,0,0,0
0.152239,0,0,0,0
0.153623,0,0,0,0
0.155004,0,0,0,0
0.156384,0,0,0,0
0.157764,0,0,0,0
0.159197,0,0,0,0
0.160598,0,0,0,0
0.161984,0,0,0,0
0.163341,0,0,0,0
0.164722,0,0,0,0
0.166105,0,0,0,0
0.167489,0,0,0,0
0.169002,0,0,0,0
0.170553,0,0,0,0
0.171991,0,0,0,0
0.173510,0,0,0,0
0.175103,0,0,0,0
0.176514,0,0,0,0
0.178045,0,0,0,0
0.179597,0,0,0,0
0.181147,0,0,0,0
0.182713,0,0,0,0
0.184265,0,0,0,0
0.185814,0,0,0,0
0.187370,0,0,0,0
0.188919,0,0,0,0
0.190513,0,0,0,0
0.192064,0,0,0,0
0.193627,0,0,0,0
0.195243,0,0,0,0
0.196793,0,0,0,0
0.198345,0,0,0,0
0.199896,0,0,0,0
0.201444,0,0,0,0
0.202995,0,0,0,0
0.204560,0,0,0,0
0.206113,0,0,0,0
0.207709,0,0,0,0
0.209259,0,0,0,0
0.210809,0,0,0,0
0.212362,0,0,0,0
0.213911,0,0,0,0
0.215320,0,0,0,0
0.216842,0,0,0,0
0.218395,0,0,0,0
0.219947,0,0,0,0
0.221497,0,0,0,0
0.223092,0,0,0,0
0.224645,0,0,0,0
0.226212,0,0,0,0
0.227763,0,0,0,0
0.229313,0,0,0,0
0.230865,0,0,0,0
0.232415,0,0,0,0
0.234031,0,0,0,0
0.235648,0,0,0,0
0.237209,0,0,0,0
0.238807,0,0,0,0
0.240358,0,0,0,0
0.241909,0,0,0,0
0.243531,0,0,0,0
0.245081,0,0,0,0
0.246634,0,0,0,0
0.248075,0,0,0,0
0.249596,0,0,0,0
0.251019,0,0,0,0
0.252539,0,0,0,0
0.254092,0,0,0,0
0.255687,0,0,0,0
0.257236,0,0,0,0
0.258802,0,0,0,0
0.260354,0,0,0,0
0.261904,0,0,0,0
0.263319,0,0,0,0
0.264710,0,0,0,0
0.266229,0,0,0,0
0.267781,0,0,0,0
0.269343,0,0,0,0
0.270937,0,0,0,0
0.272490,0,0,0,0
0.274043,0,0,0,0
0.275594,0,0,0,0
0.277144,0,0,0,0
0.278697,0,0,0,0
0.280263,0,0,0,0
0.281812,0,0,0,0
0.283369,0,0,0,0
0.284919,0,0,0,0
0.286515,0,0,0,0
0.288068,0,0,0,0
0.289617,0,0,0,0
0.291284,0,0,0,0
0.292835,0,0,0,0
0.294388,0,0,0,0
0.295937,0,0,0,0
0.297578,0,0,0,0
0.299358,0,0,0,0
0.300749,0,0,0,0
0.302216,0,0,0,0
0.303706,0,0,0,0
0.305096,0,0,0,0
0.306482,0,0,0,0
0.307869,0,0,0,0
0.309253,0,0,0,0
0.310641,0,0,0,0
0.312026,0,0,0,0
0.313549,0,0,0,0
0.315100,0,0,0,0
0.316652,0,0,0,0
0.318204,0,0,0,0
0.319800,0,0,0,0
0.321350,0,0,0,0
0.322902,0,0,0,0
0.324468,0,0,0,0
0.326021,0,0,0,0
0.327572,0,0,0,0
0.329121,0,0,0,0
0.330674,0,0,0,0
0.332225,0,0,0,0
0.333774,0,0,0,0
0.335353,0,0,0,0
0.336902,0,0,0,0
0.338455,0,0,0,0
0.339997,0,0,0,0
0.341537,0,0,0,0
0.342955,0,0,0,0
0.344475,0,0,0,0
0.346038,0,0,0,0
0.347587,0,0,0,0
0.349135,0,0,0,0
0.350582,0,0,0,0
0.352128,0,0,0,0
0.353675,0,0,0,0
0.355278,0,0,0,0
0.356838,0,0,0,0
0.358390,0,0,0,0
0.359940,0,0,0,0
0.361486,0,0,0,0
0.363035,0,0,0,0
0.364586,0,0,0,0
0.366136,0,0,0,0
0.367744,0,0,0,0
0.369292,0,0,0,0
0.370842,0,0,0,0
0.372392,0,0,0,0
0.373939,0,0,0,0
0.375637,0,0,0,0
0.377052,0,0,0,0
0.378593,0,0,0,0
0.380144,0,0,0,0
0.381693,0,0,0,0
0.383247,0,0,0,0
0.384795,0,0,0,0
0.386347,0,0,0,0
0.387898,0,0,0,0
0.389461,0,0,0,0
0.391011,0,0,0,0
0.392561,0,0,0,0
0.394112,0,0,0,0
0.395655,0,0,0,0
0.397196,0,0,0,0
0.398616,0,0,0,0
0.400145,0,0,0,0
0.401694,0,0,0,0
0.403248,0,0,0,0
0.404798,0,0,0,0
0.406352,0,0,0,0
0.407902,0,0,0,0
0.409451,0,0,0,0
0.411012,0,0,0,0
0.412561,0,0,0,0
0.414112,0,0,0,0
0.415707,0,0,0,0
0.417257,0,0,0,0
0.418806,0,0,0,0
0.420357,0,0,0,0
0.421920,0,0,0,0
0.423515,0,0,0,0
0.425065,0,0,0,0
0.426617,0,0,0,0
0.428168,0,0,0,0
0.429717,0,0,0,0
0.431273,0,0,0,0
0.432836,0,0,0,0
0.434388,0,0,0,0
0.435939,0,0,0,0
0.437487,0,0,0,0
0.439038,0,0,0,0
0.440589,0,0,0,0
0.442138,0,0,0,0
0.443702,0,0,0,0
0.445250,0,0,0,0
0.446846,0,0,0,0
0.448398,0,0,0,0
0.450028,0,0,0,0
0.451425,0,0,0,0
0.452815,0,0,0,0
0.454341,0,0,0,0
0.455893,0,0,0,0
0.457443,0,0,0,0
0.458993,0,0,0,0
0.460536,0,0,0,0
0.462120,0,0,0,0
0.463715,0,0,0,0
0.465276,0,0,0,0
0.466827,0,0,0,0
0.468377,0,0,0,0
0.469927,0,0,0,0
0.471519,0,0,0,0
0.473068,0,0,0,0
