elapsed_s,HLSQ_DUAL_FS_PROG_ACTIVE,HLSQ_DUAL_VS_PROG_ACTIVE,HLSQ_FS_BATCH_COUNT_ZERO,HLSQ_VS_BATCH_COUNT_ZERO,HLSQ_WAVE_PENDING_NO_QUAD,HLSQ_WAVE_PENDING_NO_PRIM_BASE
1.790398,0,0,1902156,1902186,0,0
1.792013,0,0,1899300,1899288,0,0
1.793628,0,0,1907376,1907364,0,0
1.795242,0,0,1898436,1898436,0,0
1.796868,0,0,1894980,1894974,0,0
1.798531,0,0,1903626,1903602,0,0
1.800146,0,0,1894662,1894656,0,0
1.801761,0,0,1901724,1901736,0,0
1.803376,0,0,1898514,1898616,0,0
1.804988,0,0,1898694,1898562,0,0
1.806650,0,0,1896534,1896546,0,0
1.808278,0,0,1896180,1896174,0,0
1.809893,0,0,1902144,1902132,0,0
1.811504,0,0,1901256,1901262,0,0
1.813111,0,0,1894080,1894152,0,0
1.814820,0,0,2198532,2183574,0,0
1.816388,0,0,1776912,1776318,0,0
1.817953,0,0,1805886,1805574,0,0
1.819533,0,0,1806438,1806798,0,0
1.821093,0,0,1794690,1794402,0,0
1.822571,0,0,1746360,1746570,0,0
1.824113,0,0,1842438,1857870,0,0
1.825727,0,0,1913628,1913640,0,0
1.827339,0,0,1901946,1901940,0,0
1.828950,0,0,1892082,1892082,0,0
1.830624,0,0,1899978,1899972,0,0
1.832239,0,0,1889700,1889670,0,0
1.833852,0,0,1896930,1896954,0,0
1.835467,0,0,1895370,1895466,0,0
1.837078,0,0,1896804,1896690,0,0
1.838641,0,0,1856106,1856082,0,0
1.840222,0,0,1893192,1893186,0,0
1.841721,0,0,1761864,1758060,0,0
1.843304,0,0,1767258,1767354,0,0
1.844916,0,0,1698504,1698486,0,0
1.846578,0,0,1767312,1767414,0,0
1.848193,0,0,1708056,1707852,0,0
1.849809,0,0,1700646,1700718,0,0
1.851422,0,0,1699938,1700250,0,0
1.852916,0,0,1655244,1654944,0,0
1.854551,0,0,1772304,1772304,0,0
1.856165,0,0,1772130,1772094,0,0
1.857780,0,0,1707042,1707042,0,0
1.859393,0,0,1694862,1694856,0,0
1.861005,0,0,1699218,1699224,0,0
1.862669,0,0,1705908,1705884,0,0
1.864297,0,0,1704384,1704408,0,0
1.865912,0,0,1683918,1684104,0,0
1.867518,0,0,1686048,1686252,0,0
1.869123,0,0,1690068,1689654,0,0
1.870853,0,0,2224848,2224824,0,0
1.872464,0,0,1758378,1758390,0,0
1.874077,0,0,1698606,1698504,0,0
1.875703,0,0,1698210,1698294,0,0
1.877315,0,0,1710102,1710102,0,0
1.878932,0,0,1759428,1759434,0,0
1.880542,0,0,1705464,1705764,0,0
1.882156,0,0,1709454,1709010,0,0
