elapsed_s,HLSQ_LPAC_S2W_CYCLES_SP,HLSQ_BV_S2W_CYCLES_SP,HLSQ_L2STC_REQ_HLSQ,HLSQ_L2STC_REQ_HLSQ_HIT,HLSQ_L2STC_REQ_SP,HLSQ_L2STC_REQ_SP_HIT
0.001095,0,0,0,0,0,0
0.002717,0,0,0,0,0,0
0.004133,0,0,0,0,0,0
0.005571,0,0,0,0,0,0
0.007006,0,0,0,0,0,0
0.008439,0,0,0,0,0,0
0.009883,0,0,0,0,0,0
0.011415,0,0,0,0,0,0
0.012848,0,0,0,0,0,0
0.014377,0,0,0,0,0,0
0.015909,0,0,0,0,0,0
0.017339,0,0,0,0,0,0
0.018788,0,0,0,0,0,0
0.020165,0,0,0,0,0,0
0.021693,0,0,0,0,0,0
0.023312,0,0,0,0,0,0
0.025504,0,0,0,0,0,0
0.027084,0,0,0,0,0,0
0.028501,0,0,0,0,0,0
0.029910,0,0,0,0,0,0
0.031514,0,0,0,0,0,0
0.032908,0,0,0,0,0,0
0.034306,0,0,0,0,0,0
0.035736,0,0,0,0,0,0
0.037099,0,0,0,0,0,0
0.038454,0,0,0,0,0,0
0.039807,0,0,0,0,0,0
0.041168,0,0,0,0,0,0
0.042524,0,0,0,0,0,0
0.043873,0,0,0,0,0,0
0.045222,0,0,0,0,0,0
0.046570,0,0,0,0,0,0
0.048062,0,0,0,0,0,0
0.049416,0,0,0,0,0,0
0.050771,0,0,0,0,0,0
0.052125,0,0,0,0,0,0
0.053494,0,0,0,0,0,0
0.054849,0,0,0,0,0,0
0.056206,0,0,0,0,0,0
0.057560,0,0,0,0,0,0
0.058915,0,0,0,0,0,0
0.060268,0,0,0,0,0,0
0.061623,0,0,0,0,0,0
0.063008,0,0,0,0,0,0
0.064476,0,0,0,0,0,0
0.065925,0,0,0,0,0,0
0.067542,0,0,0,0,0,0
0.068927,0,0,0,0,0,0
0.070292,0,0,0,0,0,0
0.071678,0,0,0,0,0,0
0.073034,0,0,0,0,0,0
0.074386,0,0,0,0,0,0
0.075757,0,0,0,0,0,0
0.077130,0,0,0,0,0,0
0.078484,0,0,0,0,0,0
0.079910,0,0,0,0,0,0
0.081311,0,0,0,0,0,0
0.082706,0,0,0,0,0,0
0.084102,0,0,0,0,0,0
0.085497,0,0,0,0,0,0
0.086905,0,0,80,40,108,102
0.088155,0,0,0,0,864,864
0.089406,0,0,0,0,864,864
0.090657,0,0,0,0,900,900
0.091909,0,0,0,0,864,864
0.093158,0,0,0,0,864,864
0.094466,0,0,0,0,936,936
0.095737,0,0,0,0,864,864
0.096988,0,0,0,0,864,864
0.098384,0,0,0,0,1476,1476
0.100500,0,0,0,0,612,612
0.101937,0,0,0,0,0,0
0.103312,0,0,0,0,0,0
0.104756,0,0,0,0,0,0
0.106178,0,0,0,0,0,0
0.107567,0,0,0,0,0,0
0.108990,0,0,0,0,0,0
0.110414,0,0,0,0,0,0
0.111756,0,0,0,0,0,0
0.113184,0,0,0,0,0,0
0.114574,0,0,0,0,0,0
0.116046,0,0,0,0,0,0
