elapsed_s,LRZ_NEVER_COUNT,LRZ_BUSY_CYCLES,LRZ_STARVE_CYCLES_RAS
0.001103,0,0,920735
0.002666,0,0,530754
0.004113,0,0,501282
0.005544,0,0,499554
0.006969,0,0,498407
0.008393,0,0,497311
0.010081,0,0,593783
0.011509,0,0,491389
0.012904,0,0,488599
0.014304,0,0,488524
0.015699,0,0,491495
0.017127,0,0,496363
0.018573,0,0,502834
0.020001,0,0,498020
0.021434,0,0,502307
0.022863,0,0,499975
0.024291,0,0,596951
0.025777,0,0,517001
0.027182,0,0,486156
0.028572,0,0,506864
0.029998,0,0,478645
0.031341,0,0,469673
0.032690,0,0,485680
0.034063,0,0,1239022
0.035422,0,0,1266910
0.036779,0,0,1267835
0.038139,0,0,1267285
0.039498,0,0,1267545
0.040905,0,0,1227093
0.042172,0,0,1267308
0.043534,0,0,1269724
0.044913,0,0,1233045
0.046245,0,0,1245972
0.047585,0,0,1244665
0.048916,0,0,1245055
0.050360,0,0,755631
0.051767,0,0,747782
0.053221,0,0,718403
0.054523,0,0,749871
0.055919,0,0,743606
0.057376,0,0,1068779
0.058738,0,0,1269959
0.060098,0,0,1269036
0.061509,0,0,1315238
0.062870,0,0,1270528
0.064231,0,0,1266992
0.065618,0,0,1710544
0.068583,0,0,733880
0.069977,0,0,736776
0.071343,0,0,726669
0.072705,0,0,721306
0.074068,0,0,1444561
0.075457,0,0,1472958
0.076864,0,0,1499080
0.078244,0,0,1473014
0.079651,804,832,1979004
0.081364,135651,142282,1333143
0.082600,138711,134688,1339566
0.083835,133209,134371,1338150
0.085068,133260,139073,1327854
0.086300,141142,138285,1335952
0.087533,133272,134621,1337761
0.088833,148331,149707,1449777
0.090112,139985,141664,1335115
0.091345,139327,142004,1328915
0.092578,134858,134678,1593321
0.094048,163100,164761,1333110
0.095282,133499,134736,1337204
0.096516,133349,134589,1338323
0.097777,96293,97403,1417085
0.099032,0,0,1686390
0.100426,0,0,1674413
0.101803,0,0,1672704
0.103317,0,0,1831268
0.104695,0,0,1764544
0.106354,0,0,2064303
0.107974,0,0,1832892
0.109389,0,0,1691448
0.110769,0,0,1670622
0.112146,0,0,1666610
0.113570,0,0,1729047
0.114954,0,0,1672687
0.116332,0,0,1670922
0.118246,0,0,2317485
0.119634,0,0,1676306
0.121057,0,0,1767130
0.122464,0,0,1663599
0.123842,0,0,1667065
0.125218,0,0,1662689
0.126590,0,0,1661559
0.127963,0,0,1664759
0.132816,0,0,5881625
0.134219,0,0,1699873
0.135600,0,0,1671976
0.137187,0,0,1927390
0.138570,0,0,1666544
0.139945,0,0,1664422
0.141320,0,0,1697809
0.142729,0,0,1677933
0.144109,0,0,1665922
0.145534,0,0,1726527
0.146909,0,0,1825247
0.148413,0,0,1685301
0.149815,0,0,1682700
0.151155,0,0,1619362
0.152489,0,0,1619844
0.153828,0,0,1616801
0.155161,0,0,1614018
0.156510,0,0,1636247
0.157847,0,0,1614910
0.159179,0,0,1613362
0.160510,0,0,1613188
0.161864,0,0,1640475
0.163245,0,0,1671151
0.164624,0,0,1673364
0.166007,0,0,1670009
0.167396,0,0,1682926
0.168777,0,0,1671915
0.170155,0,0,1668485
