csv_path,group,chunk,n_rows,n_counters,n_regions_detected,expected_regions,region_ok
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk008.csv,HLSQ,8,2525,6,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk009.csv,HLSQ,9,2533,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk010.csv,HLSQ,10,2540,6,3,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk011.csv,HLSQ,11,2535,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk012.csv,HLSQ,12,2545,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk013.csv,HLSQ,13,2534,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk014.csv,HLSQ,14,2544,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk015.csv,HLSQ,15,2542,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk016.csv,HLSQ,16,2548,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk017.csv,HLSQ,17,2536,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk018.csv,HLSQ,18,2536,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk019.csv,HLSQ,19,2550,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk020.csv,HLSQ,20,2537,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk021.csv,HLSQ,21,2539,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk022.csv,HLSQ,22,2532,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/05_HLSQ/HLSQ_chunk023.csv,HLSQ,23,2553,5,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk001.csv,VPC,1,2535,6,1,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk002.csv,VPC,2,2534,6,2,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk003.csv,VPC,3,2555,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk004.csv,VPC,4,2547,6,0,5,False
/Users/jerryyun/adreno-gpu-profiler/results/perfcounter_sweeps/sweep_20260625_152944/06_VPC/VPC_chunk005.csv,VPC,5,2549,6,1,5,False
