elapsed_s,TSE_SETUP_CTRL_WORKING_CYCLE_L2,TSE_SETUP_FDP3_WORKING_CYCLE_L2,TSE_SETUP_FDP3_0_WORKING_CYCLE_L3,TSE_SETUP_FDP3_1_WORKING_CYCLE_L3
0.001094,0,0,0,0
0.002543,0,0,0,0
0.003962,0,0,0,0
0.005379,0,0,0,0
0.006858,0,0,0,0
0.008272,0,0,0,0
0.009713,0,0,0,0
0.011128,0,0,0,0
0.012543,0,0,0,0
0.014112,0,0,0,0
0.015735,0,0,0,0
0.017189,0,0,0,0
0.018733,0,0,0,0
0.020098,0,0,0,0
0.021444,0,0,0,0
0.023035,0,0,0,0
0.024454,0,0,0,0
0.025811,0,0,0,0
0.027161,0,0,0,0
0.028558,0,0,0,0
0.029956,0,0,0,0
0.031318,0,0,0,0
0.032669,0,0,0,0
0.034066,0,0,0,0
0.035392,0,0,0,0
0.036718,0,0,0,0
0.038095,0,0,0,0
0.039427,0,0,0,0
0.040757,0,0,0,0
0.042097,0,0,0,0
0.043427,0,0,0,0
0.044756,0,0,0,0
0.046136,0,0,0,0
0.047470,0,0,0,0
0.048802,0,0,0,0
0.050183,0,0,0,0
0.051475,0,0,0,0
0.052930,0,0,0,0
0.054331,0,0,0,0
0.055621,0,0,0,0
0.056911,0,0,0,0
0.058247,0,0,0,0
0.059507,0,0,0,0
0.060797,0,0,0,0
0.062132,0,0,0,0
0.063390,0,0,0,0
0.064702,0,0,0,0
0.066023,0,0,0,0
0.067379,0,0,0,0
0.068737,0,0,0,0
0.070084,0,0,0,0
0.071516,0,0,0,0
0.073002,0,0,0,0
0.074433,0,0,0,0
0.075824,0,0,0,0
0.077239,273,273,273,273
0.078735,0,0,0,0
0.080118,0,0,0,0
0.081494,0,0,0,0
0.082914,0,0,0,0
0.084346,0,0,0,0
0.085918,0,0,0,0
0.087905,0,0,0,0
0.089327,0,0,0,0
0.090918,1008,1008,1008,1008
0.092160,1386,1449,1449,1449
0.093405,1449,1386,1386,1386
0.094646,1449,1449,1449,1449
0.095885,1386,1386,1386,1386
0.097125,1386,1449,1449,1449
0.098411,1512,1449,1449,1449
0.099651,1449,1449,1449,1449
0.100921,1386,1386,1386,1449
0.102162,1449,1449,1449,1386
0.103533,1575,1575,1575,1575
0.104966,1176,1176,1176,1176
0.106547,0,0,0,0
0.107970,0,0,0,0
0.109387,0,0,0,0
0.110727,0,0,0,0
0.112143,0,0,0,0
0.113559,0,0,0,0
0.114929,0,0,0,0
0.116359,0,0,0,0
0.117784,0,0,0,0
0.119211,0,0,0,0
0.120640,0,0,0,0
0.122067,0,0,0,0
0.123492,0,0,0,0
0.124917,0,0,0,0
0.126352,0,0,0,0
0.127783,0,0,0,0
0.129099,0,0,0,0
0.130550,0,0,0,0
0.131896,0,0,0,0
0.133241,0,0,0,0
0.134584,0,0,0,0
0.135925,0,0,0,0
0.137266,0,0,0,0
0.138614,0,0,0,0
0.139957,0,0,0,0
0.141298,0,0,0,0
0.142640,0,0,0,0
0.143982,0,0,0,0
0.145323,0,0,0,0
0.146699,0,0,0,0
0.148080,0,0,0,0
0.149470,0,0,0,0
0.150854,0,0,0,0
0.152361,0,0,0,0
0.153788,0,0,0,0
0.155308,0,0,0,0
0.156857,0,0,0,0
0.158409,0,0,0,0
0.159849,0,0,0,0
0.161370,0,0,0,0
0.162926,0,0,0,0
0.164475,0,0,0,0
0.166028,0,0,0,0
0.167578,0,0,0,0
0.169127,0,0,0,0
0.170566,0,0,0,0
0.172088,0,0,0,0
0.173641,0,0,0,0
0.175192,0,0,0,0
0.176742,0,0,0,0
0.178339,0,0,0,0
0.179892,0,0,0,0
0.181454,0,0,0,0
0.183189,0,0,0,0
0.184739,0,0,0,0
0.186291,0,0,0,0
0.187841,0,0,0,0
0.189389,0,0,0,0
0.190944,0,0,0,0
0.192506,0,0,0,0
0.194101,0,0,0,0
0.195653,0,0,0,0
0.197203,0,0,0,0
0.198754,0,0,0,0
0.200303,0,0,0,0
0.201857,0,0,0,0
0.203422,0,0,0,0
0.204973,0,0,0,0
0.206526,0,0,0,0
0.208077,0,0,0,0
0.209693,0,0,0,0
0.211353,0,0,0,0
0.212902,0,0,0,0
0.214468,0,0,0,0
0.216010,0,0,0,0
0.217550,0,0,0,0
0.219102,0,0,0,0
0.220652,0,0,0,0
0.222207,0,0,0,0
0.223758,0,0,0,0
0.225197,0,0,0,0
0.226593,0,0,0,0
0.228112,0,0,0,0
0.229665,0,0,0,0
0.231217,0,0,0,0
0.232766,0,0,0,0
0.234320,0,0,0,0
0.235883,0,0,0,0
0.237434,0,0,0,0
0.238989,0,0,0,0
0.240537,0,0,0,0
0.242134,0,0,0,0
0.243687,0,0,0,0
0.245237,0,0,0,0
0.246673,0,0,0,0
0.248194,0,0,0,0
0.249748,0,0,0,0
0.251298,0,0,0,0
0.252748,0,0,0,0
0.254302,0,0,0,0
0.255855,0,0,0,0
0.257418,0,0,0,0
0.258975,0,0,0,0
0.260526,0,0,0,0
0.262079,0,0,0,0
0.263631,0,0,0,0
0.265181,0,0,0,0
0.266733,0,0,0,0
0.268299,0,0,0,0
0.269852,0,0,0,0
0.271403,0,0,0,0
0.272954,0,0,0,0
0.274548,0,0,0,0
0.276099,0,0,0,0
0.277652,0,0,0,0
0.279208,0,0,0,0
0.280750,0,0,0,0
0.282171,0,0,0,0
0.283691,0,0,0,0
0.285240,0,0,0,0
0.286790,0,0,0,0
0.288340,0,0,0,0
0.289904,0,0,0,0
0.291499,0,0,0,0
0.293047,0,0,0,0
0.294597,0,0,0,0
0.296147,0,0,0,0
0.297698,0,0,0,0
0.299247,0,0,0,0
0.300809,0,0,0,0
0.302359,0,0,0,0
0.303910,0,0,0,0
0.305458,0,0,0,0
0.307034,0,0,0,0
0.308582,0,0,0,0
0.310135,0,0,0,0
0.311698,0,0,0,0
0.313247,0,0,0,0
0.314797,0,0,0,0
0.316347,0,0,0,0
0.317898,0,0,0,0
0.319448,0,0,0,0
0.320997,0,0,0,0
0.322600,0,0,0,0
0.324151,0,0,0,0
0.325702,0,0,0,0
0.327252,0,0,0,0
0.328801,0,0,0,0
0.330351,0,0,0,0
0.331901,0,0,0,0
0.333464,0,0,0,0
0.335018,0,0,0,0
0.336566,0,0,0,0
0.338161,0,0,0,0
0.339712,0,0,0,0
0.341260,0,0,0,0
0.342681,0,0,0,0
0.344257,0,0,0,0
0.345808,0,0,0,0
0.347357,0,0,0,0
0.348905,0,0,0,0
0.350456,0,0,0,0
0.352007,0,0,0,0
0.353896,0,0,0,0
0.355505,0,0,0,0
0.357052,0,0,0,0
0.358601,0,0,0,0
0.360151,0,0,0,0
0.361702,0,0,0,0
0.363251,0,0,0,0
0.364798,0,0,0,0
0.366361,0,0,0,0
0.367911,0,0,0,0
0.369459,0,0,0,0
0.371052,0,0,0,0
0.372600,0,0,0,0
0.374151,0,0,0,0
0.375699,0,0,0,0
0.377260,0,0,0,0
0.378807,0,0,0,0
0.380355,0,0,0,0
0.381906,0,0,0,0
0.383453,0,0,0,0
0.385001,0,0,0,0
0.386593,0,0,0,0
0.388157,0,0,0,0
0.389707,0,0,0,0
0.391256,0,0,0,0
0.392803,0,0,0,0
