elapsed_s,TSE_DET_WORKING_CYCLE_L1,TSE_BBOX_WORKING_CYCLE_L1,TSE_CULLING_WORKING_CYCLE_L1,TSE_SETUP_WORKING_CYCLE_L1
0.001746,0,0,0,0
0.003190,0,0,0,0
0.004753,0,0,0,0
0.006266,0,0,0,0
0.007682,0,0,0,0
0.009117,0,0,0,0
0.010533,0,0,0,0
0.011947,0,0,0,0
0.013364,0,0,0,0
0.014780,0,0,0,0
0.016227,0,0,0,0
0.017691,0,0,0,0
0.019170,0,0,0,0
0.020563,0,0,0,0
0.022133,0,0,0,0
0.023560,0,0,0,0
0.025016,0,0,0,0
0.026432,0,0,0,0
0.027848,0,0,0,0
0.029295,0,0,0,0
0.030681,0,0,0,0
0.032055,0,0,0,0
0.033480,0,0,0,0
0.034849,0,0,0,0
0.036229,0,0,0,0
0.037650,0,0,0,0
0.038991,0,0,0,0
0.040351,0,0,0,0
0.041801,0,0,0,0
0.043159,0,0,0,0
0.044502,0,0,0,0
0.045898,0,0,0,0
0.047247,0,0,0,0
0.048596,0,0,0,0
0.050000,0,0,0,0
0.051355,0,0,0,0
0.052746,0,0,0,0
0.054089,0,0,0,0
0.055419,0,0,0,0
0.056909,0,0,0,0
0.058287,0,0,0,0
0.059672,0,0,0,0
0.061011,0,0,0,0
0.062361,0,0,0,0
0.063692,0,0,0,0
0.065071,0,0,0,0
0.066412,0,0,0,0
0.067742,0,0,0,0
0.069120,0,0,0,0
0.070412,0,0,0,0
0.071700,0,0,0,0
0.073044,0,0,0,0
0.074334,0,0,0,0
0.075624,0,0,0,0
0.076914,0,0,0,0
0.078203,0,0,0,0
0.079492,0,0,0,0
0.080834,0,0,0,0
0.082102,0,0,0,0
0.083412,0,0,0,0
0.084826,0,0,0,0
0.086094,0,0,0,0
0.087457,0,0,0,0
0.088890,0,0,0,0
0.090228,0,0,0,0
0.091622,0,0,0,0
0.092964,0,0,0,0
0.094373,0,0,0,0
0.095716,0,0,171,171
0.097121,0,0,0,0
0.098564,0,0,0,0
0.099946,0,0,0,0
0.101355,0,0,0,0
0.102806,0,0,0,0
0.104230,0,0,0,0
0.105671,0,0,0,0
0.107180,0,0,0,0
0.108774,0,0,765,765
0.110308,0,0,2445,2445
0.111549,0,0,2430,2430
0.112871,0,0,3240,3240
0.114405,0,0,2550,2565
0.115646,0,0,2445,2430
