elapsed_s,HLSQ_FS_SP_CCTX_NUM,HLSQ_BV_SP_CCTX_NUM,HLSQ_VS_SP_SCTX_NUM,HLSQ_FS_SP_SCTX_NUM,HLSQ_BV_SP_SCTX_NUM
0.001145,0,0,0,0,0
0.002756,0,0,0,0,0
0.004349,0,0,0,0,0
0.006137,0,0,0,0,0
0.007753,0,0,0,0,0
0.009261,0,0,0,0,0
0.010791,0,0,0,0,0
0.012294,0,0,0,0,0
0.013917,0,0,0,0,0
0.015423,0,0,0,0,0
0.016944,0,0,0,0,0
0.018549,0,0,0,0,0
0.020067,0,0,0,0,0
0.021586,0,0,0,0,0
0.023033,0,0,0,0,0
0.024476,0,0,0,0,0
0.025918,0,0,0,0,0
0.027360,0,0,0,0,0
0.028830,0,0,0,0,0
0.030322,0,0,0,0,0
0.031824,0,0,0,0,0
0.033306,0,0,0,0,0
0.034787,0,0,0,0,0
0.036269,0,0,0,0,0
0.037658,0,0,0,0,0
0.039149,0,0,0,0,0
0.040628,0,0,0,0,0
0.042108,0,0,0,0,0
0.043604,0,0,0,0,0
0.045109,0,0,0,0,0
0.046624,0,0,0,0,0
0.048107,0,0,0,0,0
0.049593,0,0,0,0,0
0.051074,0,0,0,0,0
0.052578,0,0,0,0,0
0.054058,0,0,0,0,0
0.055539,0,0,0,0,0
0.057020,0,0,0,0,0
0.058540,0,0,0,0,0
0.060039,0,0,0,0,0
0.061529,0,0,0,0,0
0.063059,0,0,0,0,0
0.064559,0,0,0,0,0
0.066066,0,0,0,0,0
0.067521,0,0,0,0,0
0.068998,0,0,0,0,0
0.070563,0,0,0,0,0
0.072051,0,0,0,0,0
0.073698,0,0,0,0,0
0.075236,0,0,0,0,0
0.076735,0,0,0,0,0
0.078208,0,0,0,0,0
0.079682,0,0,0,0,0
0.081179,0,0,0,0,0
0.082663,0,0,0,0,0
0.084134,0,0,0,0,0
0.085803,0,0,0,0,0
0.087389,0,0,0,0,0
0.089014,0,0,0,0,0
0.091086,0,0,0,0,0
0.092897,0,0,0,0,0
0.094443,0,0,0,0,0
0.095891,0,0,0,0,0
0.097331,0,0,0,0,0
0.098758,0,0,0,0,0
0.100194,0,0,0,0,0
0.101698,0,0,0,0,0
0.103136,0,0,0,0,0
0.104569,0,0,0,0,0
0.106004,0,0,0,0,0
0.107439,0,0,0,0,0
0.108926,0,0,0,0,0
0.110369,0,0,0,0,0
0.111927,0,0,0,0,0
0.113485,0,0,0,0,0
0.115199,0,0,0,0,0
0.117320,0,0,0,0,0
0.118797,0,0,0,0,0
0.120068,0,0,0,0,0
0.121636,0,0,0,0,0
0.123122,0,0,0,0,0
0.124664,0,0,0,0,0
0.126170,0,0,0,0,0
0.127651,0,0,0,0,0
0.129124,0,0,0,0,0
0.130697,0,0,0,0,0
0.132166,0,0,0,0,0
0.134167,0,0,0,0,0
0.135640,0,0,0,0,0
0.137113,0,0,0,0,0
0.138655,0,0,0,0,0
0.140127,0,0,0,0,0
0.141675,0,0,0,0,0
0.145123,0,0,0,0,0
0.146937,0,0,0,0,0
0.148633,0,0,0,0,0
0.150162,0,0,0,0,0
0.151587,0,0,0,0,0
0.153005,0,0,0,0,0
0.154558,0,0,0,0,0
0.156024,0,0,0,0,0
0.157781,0,0,0,0,0
0.159258,0,0,0,0,0
0.160718,0,0,0,0,0
0.162180,0,0,0,0,0
0.163644,0,0,0,0,0
0.165108,0,0,0,0,0
0.166754,0,0,0,0,0
0.168219,0,0,0,0,0
0.169687,0,0,0,0,0
0.171155,0,0,0,0,0
0.172674,0,0,0,0,0
0.174143,0,0,0,0,0
0.175612,0,0,0,0,0
0.177100,0,0,0,0,0
0.178675,0,0,0,0,0
0.180151,0,0,0,0,0
0.181679,0,0,0,0,0
0.183156,0,0,0,0,0
0.184634,0,0,0,0,0
0.186116,0,0,0,0,0
0.187759,0,0,0,0,0
0.189587,0,0,0,0,0
0.191314,0,0,0,0,0
0.192990,0,0,0,0,0
0.194785,0,0,0,0,0
0.196457,0,0,0,0,0
0.198218,0,0,0,0,0
0.199893,0,0,0,0,0
0.201610,0,0,0,0,0
0.203331,0,0,0,0,0
0.205112,0,0,0,0,0
