elapsed_s,HLSQ_VSDP_BR_QUERY_BUSY,HLSQ_VSDP_BV_QUERY_BUSY,HLSQ_VSDP_BR_QUERY_FAIL,HLSQ_VSDP_BV_QUERY_FAIL,HLSQ_VS_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_FS_CTXT_BUF_FULL_BLOCK_CPI
0.001103,0,0,0,0,0,0
0.002614,0,0,0,0,0,0
0.003924,0,0,0,0,0,0
0.005177,0,0,0,0,0,0
0.006461,0,0,0,0,0,0
0.007743,0,0,0,0,0,0
0.009009,0,0,0,0,0,0
0.010280,0,0,0,0,0,0
0.011498,0,0,0,0,0,0
0.012757,0,0,0,0,0,0
0.013965,0,0,0,0,0,0
0.015181,0,0,0,0,0,0
0.016471,0,0,0,0,0,0
0.017629,0,0,0,0,0,0
0.018850,0,0,0,0,0,0
0.020023,0,0,0,0,0,0
0.021234,0,0,0,0,0,0
0.022398,0,0,0,0,0,0
0.023606,0,0,0,0,0,0
0.024765,0,0,0,0,0,0
0.025974,0,0,0,0,0,0
0.027138,0,0,0,0,0,0
0.028349,0,0,0,0,0,0
0.029558,0,0,0,0,0,0
0.030718,0,0,0,0,0,0
0.031876,0,0,0,0,0,0
0.033093,0,0,0,0,0,0
0.034145,0,0,0,0,0,0
0.035303,0,0,0,0,0,0
0.036461,0,0,0,0,0,0
0.037668,0,0,0,0,0,0
0.038827,0,0,0,0,0,0
0.039985,0,0,0,0,0,0
0.041143,0,0,0,0,0,0
0.042305,0,0,0,0,0,0
0.043465,0,0,0,0,0,0
0.044627,0,0,0,0,0,0
0.045887,0,0,0,0,0,0
0.047102,0,0,0,0,0,0
0.048307,0,0,0,0,0,0
0.049514,0,0,0,0,0,0
0.050672,0,0,0,0,0,0
0.051908,0,0,0,0,0,0
0.053068,0,0,0,0,0,0
0.054276,0,0,0,0,0,0
0.055489,0,0,0,0,0,0
0.056732,0,0,0,0,0,0
0.057846,0,0,0,0,0,0
0.059066,0,0,0,0,0,0
0.060278,0,0,0,0,0,0
0.061495,0,0,0,0,0,0
0.062662,0,0,0,0,0,0
0.063879,0,0,0,0,0,0
0.065105,0,0,0,0,0,0
0.066273,0,0,0,0,0,0
0.067488,0,0,0,0,0,0
0.068697,0,0,0,0,0,0
0.069912,0,0,0,0,0,0
0.071070,0,0,0,0,0,0
0.072254,0,0,0,0,0,0
0.073417,0,0,0,0,0,0
0.074576,0,0,0,0,0,0
0.075733,0,0,0,0,0,0
0.076960,0,0,0,0,0,0
0.078119,0,0,0,0,0,0
0.079276,0,0,0,0,0,0
0.080433,0,0,0,0,0,0
0.081615,0,0,0,0,0,0
0.082672,0,0,0,0,0,0
0.083900,0,0,0,0,0,0
0.085209,0,0,0,0,0,0
0.087100,0,0,0,0,0,0
0.088910,0,0,0,0,0,0
0.090587,0,0,0,0,0,0
0.092006,0,0,0,0,0,0
0.093583,0,0,0,0,0,0
0.094949,0,0,0,0,0,0
0.096282,0,0,0,0,0,0
0.097518,0,0,0,0,0,0
0.098815,0,0,0,0,0,0
0.100057,0,0,0,0,0,0
0.101299,0,0,0,0,0,0
0.102594,0,0,0,0,0,0
0.103991,0,0,0,0,0,0
0.105241,0,0,0,0,0,0
0.106359,0,0,0,0,0,0
0.107589,0,0,0,0,0,0
0.108917,0,0,0,0,0,0
0.110307,0,0,0,0,0,0
0.111647,0,0,0,0,0,0
0.114579,0,0,0,0,0,0
0.116076,0,0,0,0,0,0
0.117386,0,0,0,0,0,0
0.118635,0,0,0,0,0,0
0.119851,0,0,0,0,0,0
0.121062,0,0,0,0,0,0
0.122341,0,0,0,0,0,0
0.123627,0,0,0,0,0,0
0.125337,0,0,0,0,0,0
