elapsed_s,VFD_MODE_3_FIBERS,VFD_MODE_4_FIBERS,VFD_TOTAL_VERTICES,VFDP_STALL_CYCLES_VFD,VFDP_STALL_CYCLES_VFD_INDEX,VFDP_STALL_CYCLES_VFD_PROG,VFDP_STARVE_CYCLES_PC,VFDP_VS_STAGE_WAVES
0.205254,0,0,0,0,0,0,0,0
0.206660,0,0,0,0,0,0,0,0
0.208080,0,0,0,0,0,0,0,0
0.209486,0,0,0,0,0,0,0,0
0.210890,0,0,0,0,0,0,0,0
0.212472,0,0,0,0,0,0,0,0
0.214045,0,0,0,0,0,0,0,0
0.215618,0,0,0,0,0,0,0,0
0.217190,0,0,0,0,0,0,0,0
0.218774,0,0,0,0,0,0,0,0
0.220266,0,0,0,0,0,0,0,0
0.221808,0,0,0,0,0,0,0,0
0.223309,0,0,0,0,0,0,0,0
0.224859,0,0,0,0,0,0,0,0
0.226530,0,0,0,0,0,0,0,0
0.228253,0,0,0,0,0,0,0,0
0.229773,0,0,0,0,0,0,0,0
0.231261,0,0,0,0,0,0,0,0
0.232738,0,0,0,0,0,0,0,0
0.234142,0,0,0,0,0,0,0,0
0.235546,0,0,0,0,0,0,0,0
0.236990,0,0,0,0,0,0,0,0
0.238397,0,0,0,0,0,0,0,0
0.239781,0,0,0,0,0,0,0,0
0.241205,0,0,0,0,0,0,0,0
0.242613,0,0,0,0,0,0,0,0
0.244057,0,0,0,0,0,0,0,0
0.245464,0,0,0,0,0,0,0,0
0.246871,0,0,0,0,0,0,0,0
0.248277,0,0,0,0,0,0,0,0
0.249814,0,0,0,0,0,0,0,0
0.251401,0,0,0,0,0,0,0,0
0.252974,0,0,0,0,0,0,0,0
0.254544,0,0,0,0,0,0,0,0
0.256128,0,0,0,0,0,0,0,0
0.257597,0,0,0,0,0,0,0,0
0.259015,0,0,0,0,0,0,0,0
0.260462,0,0,0,0,0,0,0,0
0.261877,0,0,0,0,0,0,0,0
0.263279,0,0,0,0,0,0,0,0
0.264734,0,0,0,0,0,0,0,0
0.266269,0,0,0,0,0,0,0,0
0.267886,0,0,0,0,0,0,0,0
0.269457,0,0,0,0,0,0,0,0
0.271027,0,0,0,0,0,0,0,0
0.272549,0,0,0,0,0,0,0,0
0.274090,0,0,0,0,0,0,0,0
0.275663,0,0,0,0,0,0,0,0
0.277279,0,0,0,0,0,0,0,0
0.278849,0,0,0,0,0,0,0,0
0.280419,0,0,0,0,0,0,0,0
0.281991,0,0,0,0,0,0,0,0
0.283577,0,0,0,0,0,0,0,0
0.285193,0,0,0,0,0,0,0,0
0.286762,0,0,0,0,0,0,0,0
0.288333,0,0,0,0,0,0,0,0
0.289906,0,0,0,0,0,0,0,0
0.291477,0,0,0,0,0,0,0,0
0.293091,0,0,0,0,0,0,0,0
0.294674,0,0,0,0,0,0,0,0
0.296246,0,0,0,0,0,0,0,0
0.297818,0,0,0,0,0,0,0,0
0.299455,0,0,0,0,0,0,0,0
0.301135,0,0,0,0,0,0,0,0
0.302705,0,0,0,0,0,0,0,0
0.304277,0,0,0,0,0,0,0,0
0.305862,0,0,0,0,0,0,0,0
0.307435,0,0,0,0,0,0,0,0
0.309022,0,0,0,0,0,0,0,0
0.310598,0,0,0,0,0,0,0,0
