elapsed_s,HLSQ_BV_STALL_CYCLES,HLSQ_VSBR_DEREF_CYCLES,HLSQ_FS_DEREF_CYCLES,HLSQ_LPAC_DEREF_CYCLES,HLSQ_BV_DEREF_CYCLES,HLSQ_VSBR_S2W_CYCLES
0.001646,0,0,0,0,0,0
0.003337,0,0,0,0,0,0
0.004905,0,0,0,0,0,0
0.006481,0,0,0,0,0,0
0.007997,0,0,0,0,0,0
0.009524,0,0,0,0,0,0
0.011036,0,0,0,0,0,0
0.012550,0,0,0,0,0,0
0.014233,0,0,0,0,0,0
0.016087,0,0,0,0,0,0
0.017607,0,0,0,0,0,0
0.019100,0,0,0,0,0,0
0.020599,0,0,0,0,0,0
0.022167,0,0,0,0,0,0
0.023774,0,0,0,0,0,0
0.025377,0,0,0,0,0,0
0.026980,0,0,0,0,0,0
0.028583,0,0,0,0,0,0
0.030244,0,0,0,0,0,0
0.031700,0,0,0,0,0,0
0.033120,0,0,0,0,0,0
0.034589,0,0,0,0,0,0
0.036009,0,0,0,0,0,0
0.037448,0,0,0,0,0,0
0.038936,0,0,0,0,0,0
0.040284,0,0,0,0,0,0
0.041632,0,0,0,0,0,0
0.043072,0,0,0,0,0,0
0.044495,0,0,0,0,0,0
0.045878,0,0,0,0,0,0
0.047288,0,0,0,0,0,0
0.048705,0,0,0,0,0,0
0.050202,0,0,0,0,0,0
0.051756,0,0,0,0,0,0
0.053319,0,0,0,0,0,0
0.054732,0,0,0,0,0,0
0.056130,0,0,0,0,0,0
0.057533,0,0,0,0,0,0
0.059050,0,0,0,0,0,0
0.060576,2,44,53,0,8,0
0.061975,0,0,0,0,0,0
0.063423,0,0,0,0,0,0
0.064817,0,0,0,0,0,0
0.066219,0,0,0,0,0,0
0.067615,0,0,0,0,0,0
0.069050,0,0,0,0,0,0
0.070569,12,109,468,0,36,0
0.071830,0,0,0,0,0,0
0.073238,0,0,0,0,0,0
0.074645,0,0,0,0,0,0
0.076044,0,0,0,0,0,0
0.077487,0,0,0,0,0,0
0.078883,0,0,0,0,0,0
0.080281,0,0,0,0,0,0
0.081676,0,0,0,0,0,0
0.083395,0,0,0,0,0,0
0.084794,0,0,0,0,0,0
0.086231,0,0,0,0,0,0
0.087619,0,0,0,0,0,0
0.089006,0,0,0,0,0,0
0.090393,0,0,0,0,0,0
0.091783,0,0,0,0,0,0
0.093216,0,0,0,0,0,0
0.094718,0,0,0,0,0,0
0.096115,0,0,0,0,0,0
0.097502,0,0,0,0,0,0
0.098894,0,0,0,0,0,0
0.100359,0,0,0,0,0,0
0.101788,0,0,0,0,0,0
0.103329,0,0,0,0,0,0
0.104724,0,0,0,0,0,0
0.106135,0,0,0,0,0,0
0.107525,0,0,0,0,0,0
0.108914,0,0,0,0,0,0
0.110340,0,0,0,0,0,0
0.111736,0,0,0,0,0,0
0.113257,0,0,0,0,0,0
0.114712,0,0,0,0,0,0
0.116273,0,0,0,0,0,0
0.117867,0,0,0,0,0,0
0.119367,0,0,0,0,0,0
0.120769,0,0,0,0,0,0
0.122167,0,0,0,0,0,0
0.123564,0,0,0,0,0,0
0.124959,0,0,0,0,0,0
0.126404,0,0,0,0,0,0
0.127930,0,0,0,0,0,0
0.129489,0,0,0,0,0,0
0.130942,0,0,0,0,0,0
0.132499,0,0,0,0,0,0
0.134058,0,0,0,0,0,0
0.135696,0,0,0,0,0,0
0.137266,0,0,0,0,0,0
0.138828,0,0,0,0,0,0
0.140389,0,0,0,0,0,0
0.141949,0,0,0,0,0,0
0.143512,0,0,0,0,0,0
0.144909,0,0,0,0,0,0
0.146446,0,0,0,0,0,0
0.148020,0,0,0,0,0,0
0.149619,0,0,0,0,0,0
0.151177,0,0,0,0,0,0
0.152738,0,0,0,0,0,0
