elapsed_s,HLSQ_BV_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_VS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_FS_CONST_BUF_FULL_BLOCK_CPI,HLSQ_BV_CONST_BUF_FULL_BLOCK_CPI,HLSQ_VS_INS_BUF_FULL_BLOCK_CPI,HLSQ_FS_INS_BUF_FULL_BLOCK_CPI
0.261848,0,0,0,0,0,0
0.264570,0,0,0,0,0,0
0.265962,0,0,0,0,0,0
0.267349,0,0,0,0,0,0
0.268735,0,0,0,0,0,0
0.270300,0,0,0,0,0,0
0.271689,0,0,0,0,0,0
0.273382,0,0,0,0,0,0
0.274834,0,0,0,0,0,0
0.276224,0,0,0,0,0,0
0.277614,0,0,0,0,0,0
0.279005,0,0,0,0,0,0
0.280433,0,0,0,0,0,0
0.281836,0,0,0,0,0,0
0.283370,0,0,0,0,0,0
0.284931,0,0,0,0,0,0
0.286547,0,0,0,0,0,0
0.288147,0,0,0,0,0,0
0.289712,0,0,0,0,0,0
0.291275,0,0,0,0,0,0
0.292888,0,0,0,0,0,0
0.294449,0,0,0,0,0,0
0.296044,0,0,0,0,0,0
0.297474,0,0,0,0,0,0
0.299006,0,0,0,0,0,0
0.300567,0,0,0,0,0,0
0.302129,0,0,0,0,0,0
0.303703,0,0,0,0,0,0
0.305311,0,0,0,0,0,0
0.306873,0,0,0,0,0,0
0.308434,0,0,0,0,0,0
0.309997,0,0,0,0,0,0
0.311560,0,0,0,0,0,0
0.313123,0,0,0,0,0,0
0.314700,0,0,0,0,0,0
0.316261,0,0,0,0,0,0
0.317824,0,0,0,0,0,0
0.319386,0,0,0,0,0,0
0.321032,0,0,0,0,0,0
0.322578,0,0,0,0,0,0
0.323982,0,0,0,0,0,0
0.325521,0,0,0,0,0,0
0.327083,0,0,0,0,0,0
0.328686,0,0,0,0,0,0
0.330253,0,0,0,0,0,0
0.331814,0,0,0,0,0,0
0.333378,0,0,0,0,0,0
0.334941,0,0,0,0,0,0
0.336559,0,0,0,0,0,0
0.338122,0,0,0,0,0,0
0.339684,0,0,0,0,0,0
0.341248,0,0,0,0,0,0
0.342802,0,0,0,0,0,0
0.344397,0,0,0,0,0,0
0.345924,0,0,0,0,0,0
0.347418,0,0,0,0,0,0
0.348849,0,0,0,0,0,0
0.350248,0,0,0,0,0,0
0.351644,0,0,0,0,0,0
0.353077,0,0,0,0,0,0
0.355592,0,0,0,0,0,0
0.357020,0,0,0,0,0,0
0.358400,0,0,0,0,0,0
0.359796,0,0,0,0,0,0
0.361442,0,0,0,0,0,0
0.362837,0,0,0,0,0,0
0.364224,0,0,0,0,0,0
0.365612,0,0,0,0,0,0
0.367000,0,0,0,0,0,0
0.368436,0,0,0,0,0,0
0.369808,0,0,0,0,0,0
0.371170,0,0,0,0,0,0
0.372533,0,0,0,0,0,0
0.373916,0,0,0,0,0,0
0.375266,0,0,0,0,0,0
0.376631,0,0,0,0,0,0
0.377983,0,0,0,0,0,0
0.379283,0,0,0,0,0,0
0.380597,0,0,0,0,0,0
0.381966,0,0,0,0,0,0
0.383286,0,0,0,0,0,0
0.384624,0,0,0,0,0,0
0.386093,0,0,0,0,0,0
0.387461,0,0,0,0,0,0
0.388830,0,0,0,0,0,0
0.390200,0,0,0,0,0,0
0.391572,0,0,0,0,0,0
0.392955,0,0,0,0,0,0
0.394324,0,0,0,0,0,0
0.395693,0,0,0,0,0,0
0.396953,0,0,0,0,0,0
0.398326,0,0,0,0,0,0
0.399746,0,0,0,0,0,0
0.401095,0,0,0,0,0,0
0.402458,0,0,0,0,0,0
0.403868,0,0,0,0,0,0
0.405230,0,0,0,0,0,0
0.406623,0,0,0,0,0,0
0.408015,0,0,0,0,0,0
0.409438,0,0,0,0,0,0
0.410844,0,0,0,0,0,0
0.412288,0,0,0,0,0,0
0.414326,0,0,0,0,0,0
0.417432,0,0,0,0,0,0
0.418827,0,0,0,0,0,0
0.420219,0,0,0,0,0,0
0.421613,0,0,12,0,0,2
0.423040,0,0,0,0,0,0
0.424433,0,0,0,0,0,0
0.425847,0,0,0,0,0,0
0.427246,0,0,0,0,0,0
0.428643,0,0,0,0,0,0
0.430122,0,0,0,0,0,0
0.431518,0,0,0,0,0,0
0.433081,0,0,0,0,0,0
0.434529,0,0,0,0,0,0
0.435924,0,0,0,0,0,0
0.437834,0,0,0,0,0,0
0.439230,0,0,0,0,0,0
0.440667,0,0,0,0,0,0
0.442216,0,0,0,0,0,0
0.443607,0,0,0,0,0,0
0.445152,0,0,0,0,0,0
0.446631,0,0,0,0,0,0
0.448060,0,0,0,0,0,0
0.449490,0,0,0,0,0,0
0.450879,0,0,0,0,0,0
0.452285,0,0,0,0,0,0
0.453677,0,0,0,0,0,0
0.455075,0,0,0,0,0,0
0.456502,0,0,0,0,0,0
0.457893,0,0,0,0,0,0
0.459285,0,0,0,0,0,0
0.460674,0,0,0,0,0,0
0.462174,0,0,0,0,0,0
0.463571,0,0,0,0,0,0
0.464972,0,0,0,0,0,0
0.466371,0,0,0,0,0,0
0.467887,0,0,0,0,0,0
0.469314,0,0,0,0,0,0
0.470837,0,0,0,0,0,0
0.472430,0,0,0,0,0,0
0.473863,0,0,0,0,0,0
0.475269,0,0,0,0,0,0
0.476681,0,0,0,0,0,0
0.478134,0,0,0,0,0,0
0.479532,0,0,0,0,0,0
