elapsed_s,HLSQ_STPROC_WAVE_CONTEXTS_LPAC,HLSQ_STPROC_WAVE_CONTEXT_CYCLES_LPAC,HLSQ_SPTROC_STCHE_WARMUP_INC_VS,HLSQ_SPTROC_STCHE_WARMUP_INC_FS,HLSQ_SPTROC_STCHE_WARMUP_INC_BV,HLSQ_SPTROC_STCHE_WARMUP_INC_LPAC
0.002629,0,0,0,0,0,0
0.004105,0,0,0,0,0,0
0.005545,0,0,0,0,0,0
0.006982,0,0,0,0,0,0
0.008416,0,0,0,0,0,0
0.009859,0,0,0,0,0,0
0.011295,0,0,0,0,0,0
0.012727,0,0,0,0,0,0
0.014318,0,0,0,0,0,0
0.015729,0,0,0,0,0,0
0.017163,0,0,0,0,0,0
0.018634,0,0,0,0,0,0
0.020036,0,0,0,0,0,0
0.021409,0,0,0,0,0,0
0.022776,0,0,0,0,0,0
0.024141,0,0,0,0,0,0
0.025556,0,0,0,0,0,0
0.026922,0,0,0,0,0,0
0.028288,0,0,0,0,0,0
0.029705,0,0,0,0,0,0
0.031061,0,0,0,0,0,0
0.032405,0,0,0,0,0,0
0.033799,0,0,0,0,0,0
0.035146,0,0,0,0,0,0
0.036494,0,0,0,0,0,0
0.037844,0,0,0,0,0,0
0.039190,0,0,0,0,0,0
0.040537,0,0,0,0,0,0
0.041955,0,0,0,0,0,0
0.043364,0,0,0,0,0,0
0.044765,0,0,0,0,0,0
0.046238,0,0,0,0,0,0
0.047617,0,0,0,0,0,0
0.048995,0,0,0,0,0,0
0.050480,0,0,0,0,0,0
0.051857,0,0,0,0,0,0
0.053265,0,0,0,0,0,0
0.054643,0,0,0,0,0,0
0.056021,0,0,0,0,0,0
0.057398,0,0,0,0,0,0
0.058777,0,0,0,0,0,0
0.060156,0,0,0,0,0,0
0.061567,0,0,0,0,0,0
0.062923,0,0,0,0,0,0
0.064287,0,0,0,0,0,0
0.065637,0,0,0,0,0,0
0.066952,0,0,0,0,0,0
0.068374,0,0,0,0,0,0
0.069698,0,0,0,0,0,0
0.070973,0,0,0,0,0,0
0.072262,0,0,0,0,0,0
0.073580,0,0,0,0,0,0
0.074962,0,0,0,0,0,0
0.076336,0,0,0,0,0,0
0.077761,0,0,0,0,0,0
0.079137,0,0,0,0,0,0
0.080513,0,0,0,0,0,0
0.081914,0,0,0,0,0,0
0.083313,0,0,0,0,0,0
0.084704,0,0,0,0,0,0
0.086314,0,0,0,0,0,0
0.087796,0,0,0,0,0,0
0.089204,0,0,0,0,0,0
0.090594,0,0,0,0,0,0
0.091981,0,0,0,0,0,0
0.093366,0,0,0,0,0,0
0.094837,0,0,0,0,0,0
0.096288,0,0,0,0,0,0
0.097724,0,0,0,0,0,0
0.099200,0,0,0,0,0,0
0.100619,0,0,0,0,0,0
0.101871,0,0,0,0,0,0
0.103122,0,0,0,0,0,0
0.104373,0,0,0,0,0,0
0.106578,0,0,0,0,0,0
0.107829,0,0,0,0,0,0
0.109264,0,0,0,0,0,0
0.110634,0,0,0,0,0,0
0.112077,0,0,0,0,0,0
0.113315,0,0,0,0,0,0
0.114751,0,0,0,0,0,0
0.116183,0,0,0,0,0,0
0.117615,0,0,0,0,0,0
0.119047,0,0,0,0,0,0
0.120479,0,0,0,0,0,0
0.121908,0,0,0,0,0,0
0.123339,0,0,0,0,0,0
0.124832,0,0,0,0,0,0
0.126265,0,0,0,0,0,0
0.127685,0,0,0,0,0,0
0.129108,0,0,0,0,0,0
0.130535,0,0,0,0,0,0
0.131985,0,0,0,0,0,0
0.133441,0,0,0,0,0,0
0.134822,0,0,0,0,0,0
0.136273,0,0,0,0,0,0
0.137730,0,0,0,0,0,0
0.139196,0,0,0,0,0,0
0.140653,0,0,0,0,0,0
0.142104,0,0,0,0,0,0
0.143403,0,0,0,0,0,0
0.144698,0,0,0,0,0,0
0.146007,0,0,0,0,0,0
0.147302,0,0,0,0,0,0
0.148597,0,0,0,0,0,0
0.149892,0,0,0,0,0,0
0.151186,0,0,0,0,0,0
0.152484,0,0,0,0,0,0
0.153828,0,0,0,0,0,0
0.155123,0,0,0,0,0,0
0.156423,0,0,0,0,0,0
0.157732,0,0,0,0,0,0
0.159158,0,0,0,0,0,0
0.160559,0,0,0,0,0,0
0.161959,0,0,0,0,0,0
0.163357,0,0,0,0,0,0
0.164753,0,0,0,0,0,0
0.166279,0,0,0,0,0,0
0.167729,0,0,0,0,0,0
0.169262,0,0,0,0,0,0
0.170824,0,0,0,0,0,0
0.172384,0,0,0,0,0,0
0.173988,0,0,0,0,0,0
0.175551,0,0,0,0,0,0
0.177114,0,0,0,0,0,0
0.178564,0,0,0,0,0,0
0.180094,0,0,0,0,0,0
0.181656,0,0,0,0,0,0
