elapsed_s,HLSQ_VSDP_BR_QUERY_BUSY,HLSQ_VSDP_BV_QUERY_BUSY,HLSQ_VSDP_BR_QUERY_FAIL,HLSQ_VSDP_BV_QUERY_FAIL,HLSQ_VS_CTXT_BUF_FULL_BLOCK_CPI,HLSQ_FS_CTXT_BUF_FULL_BLOCK_CPI
0.001127,0,0,0,0,0,0
0.002615,0,0,0,0,0,0
0.004047,0,0,0,0,0,0
0.005461,0,0,0,0,0,0
0.006854,0,0,0,0,0,0
0.008248,0,0,0,0,0,0
0.009733,0,0,0,0,0,0
0.011145,0,0,0,0,0,0
0.012555,0,0,0,0,0,0
0.014328,0,0,0,0,0,0
0.015762,0,0,0,0,0,0
0.017229,0,0,0,0,0,0
0.018583,0,0,0,0,0,0
0.019950,0,0,0,0,0,0
0.021395,0,0,0,0,0,0
0.022743,0,0,0,0,0,0
0.024143,0,0,0,0,0,0
0.025484,0,0,0,0,0,0
0.026789,0,0,0,0,0,0
0.028160,0,0,0,0,0,0
0.029460,0,0,0,0,0,0
0.030781,0,0,0,0,0,0
0.032098,0,0,0,0,0,0
0.033365,0,0,0,0,0,0
0.034738,0,0,0,0,0,0
0.036004,0,0,0,0,0,0
0.037336,0,0,0,0,0,0
0.038689,0,0,0,0,0,0
0.040045,0,0,0,0,0,0
0.041487,0,0,0,0,0,0
0.042905,0,0,0,0,0,0
0.044442,0,0,0,0,0,0
0.045843,0,0,0,0,0,0
0.047354,0,0,0,0,0,0
0.048885,0,0,0,0,0,0
0.050297,0,0,0,0,0,0
0.051706,0,0,0,0,0,0
0.053109,0,0,0,0,0,0
0.054507,0,0,0,0,0,0
0.056228,0,0,0,0,0,0
0.060321,0,0,0,0,0,0
0.061734,0,0,0,0,0,0
0.063129,0,0,0,0,0,0
0.064660,0,0,0,0,0,0
0.066068,0,0,0,0,0,0
0.067614,0,0,0,0,0,0
0.068885,0,0,0,0,0,0
0.070128,0,0,0,0,0,0
0.071340,0,0,0,0,0,0
0.073582,0,0,0,0,0,0
0.074834,0,0,0,0,0,0
0.076244,0,0,0,0,0,0
0.077501,0,0,0,0,0,0
0.078755,0,0,0,0,0,0
0.080032,0,0,0,0,0,0
0.081347,0,0,0,0,0,0
0.082744,0,0,0,0,0,0
0.084306,0,0,0,0,0,0
0.085775,0,0,0,0,0,0
0.087168,0,0,0,0,0,0
0.088604,0,0,0,0,0,0
0.089971,0,0,0,0,0,0
0.091342,0,0,0,0,0,0
0.092707,0,0,0,0,0,0
0.094071,0,0,0,0,0,0
0.095436,0,0,0,0,0,0
0.096837,0,0,0,0,0,0
0.098259,0,0,0,0,0,0
0.099677,0,0,0,0,0,0
0.101095,0,0,0,0,0,0
0.102519,0,0,0,0,0,0
0.103937,0,0,0,0,0,0
0.105299,0,0,0,0,0,0
0.106718,0,0,0,0,0,0
0.108136,0,0,0,0,0,0
0.109516,0,0,0,0,0,0
0.110887,0,0,0,0,0,0
0.112255,0,0,0,0,0,0
0.113608,0,0,0,0,0,0
0.115005,0,0,0,0,0,0
0.116431,0,0,0,0,0,0
0.117878,0,0,0,0,0,0
0.119267,0,0,0,0,0,0
0.120694,0,0,0,0,0,0
0.122081,0,0,0,0,0,0
0.123469,0,0,0,0,0,0
0.124869,0,0,0,0,0,0
0.126259,0,0,0,0,0,0
0.127650,0,0,0,0,0,0
0.129074,0,0,0,0,0,0
0.130465,0,0,0,0,0,0
0.131854,0,0,0,0,0,0
0.133456,0,0,0,0,0,0
0.135029,0,0,0,0,0,0
0.136636,0,0,0,0,0,0
0.138199,0,0,0,0,0,0
0.139760,0,0,0,0,0,0
0.141386,0,0,0,0,0,0
0.142947,0,0,0,0,0,0
0.144555,0,0,0,0,0,0
0.146130,0,0,0,0,0,0
0.147691,0,0,0,0,0,0
0.149253,0,0,0,0,0,0
0.150816,0,0,0,0,0,0
0.152377,0,0,0,0,0,0
0.153983,0,0,0,0,0,0
0.155543,0,0,0,0,0,0
0.156992,0,0,0,0,0,0
0.158525,0,0,0,0,0,0
0.160140,0,0,0,0,0,0
0.161699,0,0,0,0,0,0
0.163259,0,0,0,0,0,0
0.164823,0,0,0,0,0,0
0.166387,0,0,0,0,0,0
0.167960,0,0,0,0,0,0
0.169529,0,0,0,0,0,0
0.171090,0,0,0,0,0,0
0.172654,0,0,0,0,0,0
0.174216,0,0,0,0,0,0
0.175776,0,0,0,0,0,0
0.177430,0,0,0,0,0,0
0.179004,0,0,0,0,0,0
0.180568,0,0,0,0,0,0
0.182121,0,0,0,0,0,0
0.183673,0,0,0,0,0,0
0.185143,0,0,0,0,0,0
0.186672,0,0,0,0,0,0
0.188114,0,0,0,0,0,0
0.189664,0,0,0,0,0,0
0.191224,0,0,0,0,0,0
0.192831,0,0,0,0,0,0
0.194393,0,0,0,0,0,0
0.195954,0,0,0,0,0,0
0.197522,0,0,0,0,0,0
0.199082,0,0,0,0,0,0
0.200704,0,0,0,0,0,0
0.202267,0,0,0,0,0,0
0.203827,0,0,0,0,0,0
0.205393,0,0,0,0,0,0
0.206954,0,0,0,0,0,0
0.208562,0,0,0,0,0,0
0.210124,0,0,0,0,0,0
0.211699,0,0,0,0,0,0
0.213261,0,0,0,0,0,0
0.214823,0,0,0,0,0,0
0.216386,0,0,0,0,0,0
0.217993,0,0,0,0,0,0
0.219554,0,0,0,0,0,0
0.221116,0,0,0,0,0,0
0.222691,0,0,0,0,0,0
0.224255,0,0,0,0,0,0
0.225861,0,0,0,0,0,0
0.227423,0,0,0,0,0,0
0.228986,0,0,0,0,0,0
0.230549,0,0,0,0,0,0
0.232113,0,0,0,0,0,0
0.233690,0,0,0,0,0,0
