elapsed_s,TSE_SETUP_FMUL_3_WORKING_CYCLE_L3,TSE_SETUP_FMUL_4_WORKING_CYCLE_L3,TSE_SETUP_FMUL_5_WORKING_CYCLE_L3,TSE_EDGE_SETUP_WORKING_CYCLE_L1
0.342192,0,0,0,0
0.343745,0,0,0,0
0.345312,0,0,0,0
0.346862,0,0,0,0
0.348344,0,0,0,0
0.349872,0,0,0,0
0.351423,0,0,0,0
0.352973,0,0,0,0
0.354408,0,0,0,0
0.355943,0,0,0,0
0.357497,0,0,0,0
0.359090,0,0,0,0
0.360640,0,0,0,0
0.362190,0,0,0,0
0.363742,0,0,0,0
0.365296,0,0,0,0
0.366860,0,0,0,0
0.368410,0,0,0,0
0.369962,0,0,0,0
0.371513,0,0,0,0
0.373063,0,0,0,0
0.374617,0,0,0,0
0.376211,0,0,0,0
0.377777,0,0,0,0
0.379328,0,0,0,0
0.380951,0,0,0,0
0.382588,0,0,0,0
0.383990,0,0,0,0
0.385380,0,0,0,0
0.386765,0,0,0,0
0.388184,0,0,0,0
0.389893,0,0,0,0
0.392517,0,0,0,0
0.394250,0,0,0,0
0.395643,0,0,0,0
0.397024,0,0,0,0
0.398516,0,0,0,0
0.399904,0,0,0,0
0.401345,0,0,0,0
0.402773,0,0,0,0
0.404290,0,0,0,0
0.405843,0,0,0,0
0.407430,0,0,0,0
0.408983,0,0,0,0
0.410603,0,0,0,0
0.412145,0,0,0,0
0.413578,0,0,0,0
0.414998,0,0,0,0
0.416338,0,0,0,0
0.417723,0,0,0,0
0.419077,0,0,0,0
0.420410,0,0,0,0
0.421791,0,0,0,0
0.423163,0,0,0,0
0.424492,0,0,0,0
0.425869,0,0,0,0
0.427200,0,0,0,0
0.428527,0,0,0,0
0.429913,0,0,0,0
0.431241,0,0,0,0
0.432568,0,0,0,0
0.433943,0,0,0,0
0.435272,0,0,0,0
0.436599,0,0,0,0
0.437973,0,0,0,0
0.439349,0,0,0,0
0.440663,0,0,0,0
0.442015,0,0,0,0
0.443318,0,0,0,0
0.444621,0,0,0,0
0.445972,0,0,0,0
0.447276,0,0,0,0
0.448580,0,0,0,0
0.449932,0,0,0,0
0.451245,0,0,0,0
0.452550,0,0,0,0
0.453903,0,0,0,0
0.455243,0,0,0,0
0.456533,0,0,0,0
0.457872,0,0,0,0
0.459163,0,0,0,0
0.460453,0,0,0,0
0.461799,0,0,0,0
0.463089,0,0,0,0
0.464378,0,0,0,0
0.465714,0,0,0,0
0.467003,0,0,0,0
0.468291,0,0,0,0
0.469628,0,0,0,0
0.470945,0,0,0,0
0.472201,0,0,0,0
0.473611,0,0,0,0
0.474971,0,0,0,0
0.476331,0,0,0,0
0.477739,0,0,0,0
0.479149,0,0,0,0
0.480549,0,0,0,0
0.481966,0,0,0,0
0.483328,0,0,0,0
0.484687,0,0,0,0
0.486096,0,0,0,0
0.487457,0,0,0,0
0.488817,0,0,0,0
0.490226,0,0,0,0
0.491585,0,0,0,0
0.492889,105,105,96,0
0.494286,0,0,0,0
0.495646,0,0,0,0
0.496898,0,0,0,0
0.498324,0,0,0,0
0.499685,0,0,0,0
0.501045,0,0,0,0
0.502407,0,0,0,0
0.503767,378,378,366,0
0.505099,357,357,450,0
0.506519,0,0,0,0
0.507936,0,0,0,0
0.509389,0,0,0,0
0.510779,0,0,0,0
0.512167,0,0,0,0
0.514018,0,0,0,0
0.515420,0,0,0,0
0.516802,0,0,0,0
0.518189,0,0,0,0
0.519576,0,0,0,0
0.520957,0,0,0,0
0.522666,0,0,0,0
0.524393,0,0,0,0
0.528327,0,0,0,0
0.530831,0,0,0,0
0.532219,0,0,0,0
0.533738,0,0,0,0
0.535175,0,0,0,0
0.536571,0,0,0,0
0.537957,0,0,0,0
0.539341,0,0,0,0
0.540725,0,0,0,0
0.542108,0,0,0,0
0.543489,0,0,0,0
0.544869,0,0,0,0
0.546250,0,0,0,0
0.547671,0,0,0,0
0.549064,0,0,0,0
0.550426,0,0,0,0
0.551791,0,0,0,0
0.553181,0,0,0,0
0.554570,0,0,0,0
0.555953,0,0,0,0
0.557339,0,0,0,0
0.558738,0,0,0,0
0.560121,0,0,0,0
0.561639,0,0,0,0
0.563190,0,0,0,0
0.564739,0,0,0,0
0.566290,0,0,0,0
0.567842,0,0,0,0
0.569408,0,0,0,0
0.570958,0,0,0,0
0.572507,0,0,0,0
0.574059,0,0,0,0
0.575610,0,0,0,0
0.577160,0,0,0,0
0.578715,0,0,0,0
0.580150,0,0,0,0
0.581674,0,0,0,0
0.583268,0,0,0,0
0.584818,0,0,0,0
0.586371,0,0,0,0
0.587920,0,0,0,0
0.589471,0,0,0,0
0.590910,0,0,0,0
0.592430,0,0,0,0
0.593981,0,0,0,0
0.595533,0,0,0,0
0.597080,0,0,0,0
0.598608,0,0,0,0
0.600129,0,0,0,0
0.601695,0,0,0,0
0.603246,0,0,0,0
0.604794,0,0,0,0
0.606344,0,0,0,0
0.607895,0,0,0,0
0.609446,0,0,0,0
0.610996,0,0,0,0
0.612556,0,0,0,0
0.614107,0,0,0,0
0.615659,0,0,0,0
0.617207,0,0,0,0
0.618679,0,0,0,0
0.620078,0,0,0,0
0.621467,0,0,0,0
0.622858,0,0,0,0
0.624238,0,0,0,0
0.625616,0,0,0,0
0.626994,0,0,0,0
