elapsed_s,TSE_BE_EARLY_CULL_CLIPPED_PRIM,TSE_BE_BR_STALLS_DUETO_BV_CLIP,TSE_BE_BR_STALLS_DUETO_BV_POLY,TSE_BE_BV_STALLS_DUETO_BR_CLIP
0.001104,0,0,0,0
0.002673,0,0,0,0
0.004158,0,0,0,0
0.006043,0,0,0,0
0.007545,0,0,0,0
0.009028,0,0,0,0
0.010572,0,0,0,0
0.012054,0,0,0,0
0.013535,0,0,0,0
0.015017,0,0,0,0
0.016496,0,0,0,0
0.018014,0,0,0,0
0.019493,0,0,0,0
0.020975,0,0,0,0
0.022457,0,0,0,0
0.023936,0,0,0,0
0.025463,0,0,0,0
0.027118,0,0,0,0
0.028741,0,0,0,0
0.030210,0,0,0,0
0.031669,0,0,0,0
0.033128,0,0,0,0
0.034584,0,0,0,0
0.036041,0,0,0,0
0.037499,0,0,0,0
0.038967,0,0,0,0
0.040426,0,0,0,0
0.041972,0,0,0,0
0.043459,0,0,0,0
0.044977,0,0,0,0
0.046431,0,0,0,0
0.047882,0,0,0,0
0.049344,0,0,0,0
0.050802,0,0,0,0
0.052258,0,0,0,0
0.053717,0,0,0,0
0.055169,0,0,0,0
0.056620,0,0,0,0
0.058094,0,0,0,0
0.059551,0,0,0,0
0.061045,0,0,0,0
0.062430,0,0,0,0
0.063843,0,0,0,0
0.065367,0,0,0,0
0.066781,0,0,0,0
0.068149,0,0,0,0
0.069498,0,0,0,0
0.070917,0,0,0,0
0.072282,0,0,0,0
0.073632,0,0,0,0
0.075580,0,0,0,0
0.076993,0,0,0,0
0.078389,0,0,0,0
0.079780,0,0,0,0
0.081181,0,0,0,0
0.082566,0,0,0,0
0.083950,0,0,0,0
0.085810,0,0,0,0
0.087246,0,0,0,0
0.088641,0,0,0,0
0.090027,0,0,0,0
0.091469,0,0,0,0
0.094522,0,0,0,0
0.095908,0,0,0,0
0.097285,0,0,0,0
0.098702,0,0,0,0
0.100450,0,0,0,0
0.101895,0,0,0,0
0.103273,0,0,0,0
0.104649,0,0,0,0
0.106026,0,0,0,0
0.107456,0,0,0,0
0.108846,0,0,0,0
0.110224,0,0,0,0
0.111601,0,0,0,0
0.112989,0,0,0,0
0.114366,0,0,0,0
0.115745,0,0,0,0
0.117124,0,0,0,0
0.118504,0,0,0,0
0.119883,0,0,0,0
0.121265,0,0,0,0
0.122917,0,0,0,0
0.124477,0,0,0,0
0.126032,0,0,0,0
0.127582,0,0,0,0
0.129135,0,0,0,0
0.130685,0,0,0,0
0.132234,0,0,0,0
0.133747,0,0,0,0
0.135276,0,0,0,0
0.136828,0,0,0,0
0.138422,0,0,0,0
0.139971,0,0,0,0
0.141522,0,0,0,0
0.143073,0,0,0,0
0.144624,0,0,0,0
0.146190,0,0,0,0
0.147738,0,0,0,0
0.149291,0,0,0,0
0.150843,0,0,0,0
0.152392,0,0,0,0
0.153950,0,0,0,0
0.155544,0,0,0,0
0.157109,0,0,0,0
0.158659,0,0,0,0
0.160207,0,0,0,0
0.161816,0,0,0,0
0.163364,0,0,0,0
0.164915,0,0,0,0
0.166467,0,0,0,0
