elapsed_s,TSE_FE_STARVE_CYCLES_PC,TSE_FE_INPUT_PRIM,TSE_FE_INPUT_NULL_PRIM,TSE_FE_TRIVAL_REJ_PRIM
0.001131,0,0,0,0
0.002711,0,0,0,0
0.004195,0,0,0,0
0.005793,0,0,0,0
0.007251,0,0,0,0
0.008690,0,0,0,0
0.010235,0,0,0,0
0.011677,0,0,0,0
0.013163,0,0,0,0
0.014601,0,0,0,0
0.016041,0,0,0,0
0.017582,0,0,0,0
0.019023,0,0,0,0
0.020475,0,0,0,0
0.022012,0,0,0,0
0.023490,0,0,0,0
0.024935,0,0,0,0
0.026462,0,0,0,0
0.027876,0,0,0,0
0.029338,0,0,0,0
0.030787,0,0,0,0
0.032200,0,0,0,0
0.033693,0,0,0,0
0.035128,0,0,0,0
0.036563,0,0,0,0
0.037980,0,0,0,0
0.039394,0,0,0,0
0.040901,0,0,0,0
0.042358,0,0,0,0
0.043761,0,0,0,0
0.045164,0,0,0,0
0.046566,0,0,0,0
0.048093,0,0,0,0
0.049700,0,0,0,0
0.051114,0,0,0,0
0.052514,0,0,0,0
0.054068,0,0,0,0
0.055499,0,0,0,0
0.057028,0,0,0,0
0.058485,0,0,0,0
0.059963,0,0,0,0
0.061544,0,0,0,0
0.063029,0,0,0,0
0.064553,0,0,0,0
0.065946,0,0,0,0
0.067313,0,0,0,0
0.068680,0,0,0,0
0.070047,0,0,0,0
0.071413,0,0,0,0
0.072857,0,0,0,0
0.074284,0,0,0,0
0.075660,0,0,0,0
0.077031,0,0,0,0
0.078399,0,0,0,0
0.079768,0,0,0,0
0.081188,0,0,0,0
0.082596,0,0,0,0
0.084010,0,0,0,0
0.085452,0,0,0,0
0.086911,60,0,0,0
0.088314,0,0,0,0
0.089715,0,0,0,0
0.091042,0,0,0,0
0.092444,0,0,0,0
0.093846,0,0,0,0
0.095253,0,0,0,0
0.096703,0,0,0,0
0.098070,0,0,0,0
0.099438,0,0,0,0
0.100855,492,0,0,0
0.102149,735,0,0,0
0.103510,0,0,0,0
0.104922,0,0,0,0
0.106350,0,0,0,0
0.107710,0,0,0,0
0.109094,0,0,0,0
0.110431,0,0,0,0
0.111768,0,0,0,0
0.113102,0,0,0,0
0.114531,0,0,0,0
0.115926,0,0,0,0
0.117330,0,0,0,0
0.118713,0,0,0,0
0.120093,0,0,0,0
0.121684,0,0,0,0
0.123127,0,0,0,0
0.124512,0,0,0,0
0.125856,0,0,0,0
0.127195,0,0,0,0
0.128554,0,0,0,0
0.129955,0,0,0,0
0.131380,0,0,0,0
