elapsed_s,TSE_CLIP_VP_FMUL_4_WORKING_CYCLE_L3,TSE_CLIP_VP_FMUL_5_WORKING_CYCLE_L3,TSE_CLIP_VP_FADD_WORKING_CYCLE_L2,TSE_CLIP_VP_FADD_0_WORKING_CYCLE_L3
0.001103,0,0,0,0
0.002715,0,0,0,0
0.004204,0,0,0,0
0.005819,0,0,0,0
0.007301,0,0,0,0
0.008785,0,0,0,0
0.010278,0,0,0,0
0.011761,0,0,0,0
0.013243,0,0,0,0
0.014785,0,0,0,0
0.016267,0,0,0,0
0.017776,0,0,0,0
0.019259,0,0,0,0
0.020763,0,0,0,0
0.022245,0,0,0,0
0.023726,0,0,0,0
0.025207,0,0,0,0
0.026689,0,0,0,0
0.028170,0,0,0,0
0.029881,0,0,0,0
0.031445,0,0,0,0
0.032903,0,0,0,0
0.034358,0,0,0,0
0.035815,0,0,0,0
0.037272,0,0,0,0
0.038730,0,0,0,0
0.040187,0,0,0,0
0.041724,0,0,0,0
0.043182,0,0,0,0
0.044976,0,0,0,0
0.046498,0,0,0,0
0.048027,0,0,0,0
0.049553,0,0,0,0
0.051077,0,0,0,0
0.052640,0,0,0,0
0.054168,0,0,0,0
0.055696,0,0,0,0
0.057222,0,0,0,0
0.058773,0,0,0,0
0.060299,0,0,0,0
0.061842,0,0,0,0
0.063242,0,0,0,0
0.064684,0,0,0,0
0.066110,0,0,0,0
0.067531,0,0,0,0
0.068952,0,0,0,0
0.070321,0,0,0,0
0.071804,0,0,0,0
0.073120,0,0,0,0
0.074600,0,0,0,0
0.076025,0,0,0,0
0.077448,0,0,0,0
0.078921,0,0,0,0
0.080720,0,0,0,0
0.082169,0,0,0,0
0.083604,0,0,0,0
0.085103,0,0,0,0
0.086548,0,0,0,0
0.088150,0,0,0,0
0.089642,0,0,0,0
0.091025,0,0,0,0
0.092402,0,0,0,0
0.093636,0,0,0,0
0.095000,0,0,0,0
0.096423,0,0,0,0
0.098861,0,0,0,0
0.100250,0,0,0,0
0.101743,0,0,0,0
0.103134,0,0,0,0
0.104566,0,0,0,0
0.106559,0,0,0,0
0.108308,0,0,0,0
0.109786,0,0,0,0
0.111228,0,0,0,0
0.112584,0,0,0,0
0.113926,0,0,0,0
0.115263,0,0,0,0
0.116600,0,0,0,0
0.117960,0,0,0,0
0.119298,0,0,0,0
0.120636,0,0,0,0
0.121975,0,0,0,0
0.123315,0,0,0,0
0.124651,0,0,0,0
0.125992,0,0,0,0
0.127401,0,0,0,0
0.128905,0,0,0,0
0.130297,0,0,0,0
0.131677,0,0,0,0
0.133057,0,0,0,0
0.134437,0,0,0,0
0.135816,0,0,0,0
0.137199,0,0,0,0
0.138716,0,0,0,0
0.140154,0,0,0,0
0.141551,0,0,0,0
0.142986,0,0,0,0
0.144373,0,0,0,0
0.145764,0,0,0,0
0.147150,0,0,0,0
0.148537,0,0,0,0
0.150052,0,0,0,0
0.151614,0,0,0,0
0.153168,0,0,0,0
0.154719,0,0,0,0
0.156269,0,0,0,0
0.157824,0,0,0,0
0.159419,0,0,0,0
0.160947,0,0,0,0
0.162511,0,0,0,0
0.164060,0,0,0,0
0.165612,0,0,0,0
0.167164,0,0,0,0
0.168717,0,0,0,0
0.170269,0,0,0,0
0.171818,0,0,0,0
0.173382,0,0,0,0
0.174935,0,0,0,0
0.176485,0,0,0,0
0.178118,0,0,0,0
