elapsed_s,PC_US_MESH_DRAWS,PC_US_MESH_DEAD_DRAWS,PC_US_MESH_MVIS_EN_DRAWS,PC_US_MESH_DEAD_PRIM,PC_US_MESH_LIVE_PRIM,PC_US_MESH_PA_EN_PRIM,PC_US_STARVE_CYCLES_FOR_MVIS_STREAM,PC_US_STARVE_CYCLES_PREDRAW
0.001199,0,0,0,0,0,0,0,0
0.003034,0,0,0,0,0,0,0,0
0.004566,0,0,0,0,0,0,0,0
0.006075,0,0,0,0,0,0,0,0
0.007593,0,0,0,0,0,0,0,0
0.009132,0,0,0,0,0,0,0,0
0.010642,0,0,0,0,0,0,0,0
0.012146,0,0,0,0,0,0,0,0
0.013699,0,0,0,0,0,0,0,0
0.015287,0,0,0,0,0,0,0,0
0.016764,0,0,0,0,0,0,0,0
0.018340,0,0,0,0,0,0,0,0
0.019826,0,0,0,0,0,0,0,0
0.021398,0,0,0,0,0,0,0,0
0.022914,0,0,0,0,0,0,0,0
0.024384,0,0,0,0,0,0,0,0
0.025903,0,0,0,0,0,0,0,0
0.027377,0,0,0,0,0,0,0,0
0.028849,0,0,0,0,0,0,0,0
0.030481,0,0,0,0,0,0,0,0
0.032020,0,0,0,0,0,0,0,0
0.033608,0,0,0,0,0,0,0,0
0.035196,0,0,0,0,0,0,0,0
0.036785,0,0,0,0,0,0,0,0
0.038454,0,0,0,0,0,0,0,0
0.039932,0,0,0,0,0,0,0,0
0.041531,0,0,0,0,0,0,0,0
0.043005,0,0,0,0,0,0,0,0
0.044594,0,0,0,0,0,0,0,0
0.046288,0,0,0,0,0,0,0,0
0.047742,0,0,0,0,0,0,0,0
0.049272,0,0,0,0,0,0,0,0
0.050809,0,0,0,0,0,0,0,0
0.052347,0,0,0,0,0,0,0,0
0.053938,0,0,0,0,0,0,0,0
0.055510,0,0,0,0,0,0,0,0
0.057044,0,0,0,0,0,0,0,0
0.058480,0,0,0,0,0,0,0,0
0.060016,0,0,0,0,0,0,0,0
