elapsed_s,PC_NEVER_COUNT,PC_US_BUSY_CYCLES,PC_US_WORKING_CYCLES,PC_US_UCHE_OUTSTANDING_TRANS,PC_US_PASS1_TF_STALL_CYCLES,PC_US_STARVE_CYCLES_FOR_INDEX,PC_US_STARVE_CYCLES_FOR_TF,PC_US_STARVE_CYCLES_FOR_VIZ_STREAM
0.001169,0,0,0,0,0,0,0,0
0.002781,0,0,0,0,0,0,0,0
0.004512,0,0,0,0,0,0,0,0
0.006083,0,0,0,0,0,0,0,0
0.007597,0,0,0,0,0,0,0,0
0.009127,0,0,0,0,0,0,0,0
0.010633,0,0,0,0,0,0,0,0
0.012139,0,0,0,0,0,0,0,0
0.013645,0,0,0,0,0,0,0,0
0.015148,0,0,0,0,0,0,0,0
0.016681,0,0,0,0,0,0,0,0
0.018281,0,0,0,0,0,0,0,0
0.019813,0,0,0,0,0,0,0,0
0.021337,0,0,0,0,0,0,0,0
0.022857,0,0,0,0,0,0,0,0
0.024379,0,0,0,0,0,0,0,0
0.025907,0,0,0,0,0,0,0,0
0.027435,0,0,0,0,0,0,0,0
0.028957,0,0,0,0,0,0,0,0
0.030487,0,0,0,0,0,0,0,0
0.032006,0,0,0,0,0,0,0,0
0.033589,0,0,0,0,0,0,0,0
0.035174,0,0,0,0,0,0,0,0
0.036805,0,0,0,0,0,0,0,0
0.038345,0,0,0,0,0,0,0,0
0.039880,0,0,0,0,0,0,0,0
0.041420,0,0,0,0,0,0,0,0
0.042950,0,0,0,0,0,0,0,0
0.044597,0,0,0,0,0,0,0,0
0.046190,0,0,0,0,0,0,0,0
0.047733,0,0,0,0,0,0,0,0
0.049130,0,0,0,0,0,0,0,0
0.050514,0,0,0,0,0,0,0,0
0.051916,0,0,0,0,0,0,0,0
0.053374,0,0,0,0,0,0,0,0
0.054828,0,0,0,0,0,0,0,0
0.056284,0,0,0,0,0,0,0,0
0.057796,0,0,0,0,0,0,0,0
0.059159,0,0,0,0,0,0,0,0
0.060513,0,0,0,0,0,0,0,0
0.061867,0,0,0,0,0,0,0,0
0.063229,0,0,0,0,0,0,0,0
0.064622,0,0,0,0,0,0,0,0
0.065971,0,0,0,0,0,0,0,0
0.067335,0,0,0,0,0,0,0,0
0.068718,0,100,144,0,0,0,0,0
0.070233,0,0,0,0,0,0,0,0
0.071602,0,0,0,0,0,0,0,0
0.072969,0,0,0,0,0,0,0,0
0.074393,0,0,0,0,0,0,0,0
0.075764,0,0,0,0,0,0,0,0
0.077132,0,0,0,0,0,0,0,0
0.078496,0,0,0,0,0,0,0,0
0.079864,0,63642,822,0,0,0,0,0
0.081157,0,0,0,0,0,0,0,0
0.082523,0,0,0,0,0,0,0,0
0.083888,0,0,0,0,0,0,0,0
0.085267,0,0,0,0,0,0,0,0
0.086630,0,0,0,0,0,0,0,0
0.087994,0,0,0,0,0,0,0,0
0.089360,0,0,0,0,0,0,0,0
0.090721,0,0,0,0,0,0,0,0
0.092077,0,0,0,0,0,0,0,0
0.093504,0,0,0,0,0,0,0,0
0.094922,0,0,0,0,0,0,0,0
0.096344,0,0,0,0,0,0,0,0
0.097794,0,0,0,0,0,0,0,0
0.099195,0,0,0,0,0,0,0,0
