elapsed_s,RBBM_US_PC_BUSY,RBBM_US_COM_BUSY,RBBM_US_DCOM_BUSY,RBBM_US_VBIF_BUSY
0.001104,0,0,0,965
0.002496,0,0,0,1035
0.003918,0,0,0,1333
0.005334,0,0,0,1339
0.006748,0,0,0,1281
0.008163,0,0,0,1185
0.009589,0,0,0,1057
0.011002,0,0,0,1182
0.012440,0,0,0,1273
0.013915,0,0,0,1291
0.015374,0,0,0,1257
0.016835,0,0,0,1296
0.018293,0,0,0,1260
0.019875,0,0,0,1184
0.021335,0,0,0,1088
0.022792,0,0,0,1109
0.024251,0,0,0,1120
0.025708,0,0,0,1240
0.027306,0,0,0,1089
0.028828,0,0,0,1083
0.030372,0,0,0,1074
0.031878,0,0,0,1273
0.033425,0,0,0,1280
0.034946,0,0,0,952
0.036388,0,0,0,962
0.037842,0,0,0,855
0.039297,0,0,0,959
0.040754,0,0,0,1069
0.042207,0,0,0,923
0.043660,0,0,0,1076
0.045135,0,0,0,915
0.046586,0,0,0,871
0.048039,0,0,0,861
0.049491,0,0,0,847
0.050970,0,0,0,711
0.052393,0,0,0,709
0.053812,0,0,0,687
0.055234,0,0,0,712
0.056608,0,0,0,788
0.057975,0,0,0,669
0.059342,0,0,0,787
0.060725,0,0,0,661
0.062096,0,0,0,834
0.063522,0,0,0,772
0.064963,0,0,0,725
0.066279,118,111,0,6742
0.067597,0,0,0,858
0.069077,0,0,0,915
0.070432,0,0,0,929
0.071803,0,0,0,1007
0.073175,0,0,0,831
0.074528,0,0,0,983
0.075879,0,0,0,1044
0.077298,0,0,0,926
0.078723,60439,227,0,32809
0.080050,3428,107,0,4354
0.081393,0,0,0,2051
0.082735,0,0,0,2061
0.084092,0,0,0,2026
0.085435,0,0,0,2019
0.086850,0,0,0,2041
0.088238,0,0,0,2020
0.089588,0,0,0,2037
0.090992,0,0,0,2025
0.092594,0,0,0,2026
0.093977,0,0,0,2059
0.095370,0,0,0,2022
0.096751,0,0,0,2133
0.098130,0,0,0,2022
0.099645,0,0,0,2038
0.101021,0,0,0,2101
0.102462,0,0,0,2072
0.103840,0,0,0,2026
0.105472,0,0,0,2018
0.108122,0,0,0,2025
0.109504,0,0,0,2030
0.110981,0,0,0,2022
0.112365,0,0,0,2023
0.113744,0,0,0,2024
0.115124,0,0,0,2030
0.116504,0,0,0,2020
0.117891,0,0,0,2030
0.119271,0,0,0,2132
0.120656,0,0,0,2012
0.122040,0,0,0,2027
0.123426,0,0,0,2290
0.124846,0,0,0,2020
0.126230,0,0,0,2026
0.127745,0,0,0,2020
0.129309,0,0,0,2018
0.130862,0,0,0,2024
0.132414,0,0,0,2028
0.133963,0,0,0,2024
0.135514,0,0,0,2037
0.137064,0,0,0,2027
0.138617,0,0,0,2145
0.140224,0,0,0,2024
0.141776,0,0,0,2023
0.143327,0,0,0,2019
0.144879,0,0,0,2021
0.146431,0,0,0,2025
0.147983,0,0,0,2019
0.149532,0,0,0,2026
0.151098,0,0,0,2142
0.152650,0,0,0,2026
0.154200,0,0,0,2025
0.155756,0,0,0,2033
0.157351,0,0,0,2152
0.158904,0,0,0,2028
0.160457,0,0,0,2024
0.162020,0,0,0,2038
0.163572,0,0,0,2027
0.165123,0,0,0,2142
0.166677,0,0,0,2026
0.168228,0,0,0,2026
0.169777,0,0,0,2019
0.171328,0,0,0,2025
0.172889,0,0,0,2107
0.174330,0,0,0,2028
0.175856,0,0,0,2027
0.177396,0,0,0,2024
0.178821,0,0,0,2023
0.180334,0,0,0,2029
0.181875,0,0,0,2147
0.183306,0,0,0,2187
0.184830,0,0,0,2115
0.186270,0,0,0,2095
0.187814,0,0,0,2024
0.189400,0,0,0,2117
0.190816,0,0,0,2056
0.192338,0,0,0,2115
0.193777,0,0,0,2024
0.195169,0,0,0,2033
0.196549,0,0,0,2024
0.197926,0,0,0,2023
0.199304,0,0,0,2030
0.200681,0,0,0,2053
0.202057,0,0,0,2027
0.203436,0,0,0,2022
0.204824,0,0,0,1945
0.206204,0,0,0,1950
0.207583,0,0,0,1944
0.208961,0,0,0,1984
0.210337,0,0,0,2003
0.211830,0,0,0,1947
0.213208,0,0,0,1967
0.214589,0,0,0,2022
0.215982,0,0,0,1997
0.217358,0,0,0,1947
0.218833,0,0,0,1946
0.220245,0,0,0,1940
0.221601,0,0,0,1944
0.222954,0,0,0,1947
0.224308,0,0,0,1983
0.225660,0,0,0,1950
0.227022,0,0,0,1985
0.228377,0,0,0,2034
