
[selected] 6 counters, interval 0.005 s
       SP         gid=0x0a selector=1    SP_BUSY_CYCLES                               (A8XX_PERF_SP_BUSY_CYCLES)
       SP         gid=0x0a selector=2    SP_ALU_WORKING_CYCLES                        (A8XX_PERF_SP_ALU_WORKING_CYCLES)
       SP         gid=0x0a selector=5    SP_STALL_CYCLES_UCHE                         (A8XX_PERF_SP_STALL_CYCLES_UCHE)
       HLSQ       gid=0x04 selector=6    HLSQ_STALL_CYCLES_UCHE                       (A8XX_PERF_HLSQ_STALL_CYCLES_UCHE)
       UCHE       gid=0x08 selector=1    UCHE_BUSY_CYCLES                             (A8XX_PERF_UCHE_BUSY_CYCLES)
       UCHE       gid=0x08 selector=52   UCHE_RAM_READ_REQ                            (A8XX_PERF_UCHE_RAM_READ_REQ)
[GET] SP_BUSY_CYCLES                               group=0xa selector=1 reg_low=0x29c reg_high=0x29d
[GET] SP_ALU_WORKING_CYCLES                        group=0xa selector=2 reg_low=0x29a reg_high=0x29b
[GET] SP_STALL_CYCLES_UCHE                         group=0xa selector=5 reg_low=0x298 reg_high=0x299
[GET] HLSQ_STALL_CYCLES_UCHE                       group=0x4 selector=6 reg_low=0x1fe reg_high=0x1ff
[GET] UCHE_BUSY_CYCLES                             group=0x8 selector=1 reg_low=0x254 reg_high=0x255
[GET] UCHE_RAM_READ_REQ                            group=0x8 selector=52 reg_low=0x252 reg_high=0x253

[stream] Press Ctrl+C to stop. Values are deltas since previous sample.
[csv] logging elapsed_s and counter deltas to /data/local/tmp/adreno_perf_stream_last.csv
elapsed_s,SP_BUSY_CYCLES,SP_ALU_WORKING_CYCLES,SP_STALL_CYCLES_UCHE,HLSQ_STALL_CYCLES_UCHE,UCHE_BUSY_CYCLES,UCHE_RAM_READ_REQ
0.005363,0,0,0,0,0,0
0.010707,0,0,0,0,0,0
0.015940,0,0,0,0,0,0
0.021219,0,0,0,0,0,0
0.026500,0,0,0,0,0,0
0.035299,0,0,0,0,0,0
0.042166,0,0,0,0,0,0
0.048291,0,0,0,0,0,0
0.055338,0,0,0,0,0,0
0.060561,0,0,0,0,0,0
0.066108,0,0,0,0,0,0
0.071361,0,0,0,0,0,0
0.077233,0,0,0,0,0,0
0.083436,0,0,0,0,0,0
0.088663,0,0,0,0,0,0
0.094097,0,0,0,0,0,0
0.099405,0,0,0,0,0,0
0.104645,0,0,0,0,0,0
0.109900,0,0,0,0,0,0
0.115368,0,0,0,0,0,0
0.120661,0,0,0,0,0,0
0.125966,0,0,0,0,0,0
0.131199,0,0,0,0,0,0
0.136825,0,0,0,0,0,0
0.142115,0,0,0,0,0,0
0.147952,0,0,0,0,0,0
0.159402,0,0,0,0,0,0
0.169800,0,0,0,0,0,0
0.175772,0,0,0,0,0,0
0.181064,0,0,0,0,0,0
0.190164,0,0,0,0,0,0
0.198039,0,0,0,0,0,0
0.209808,0,0,0,0,0,0
0.220688,0,0,0,0,0,0
0.226083,0,0,0,0,0,0
0.231459,0,0,0,0,0,0
0.236826,0,0,0,0,0,0
0.242232,58190226,35658222,0,1,4371025,418290
0.247448,65471167,40165945,0,0,4798482,425808
0.252618,65070003,39924862,0,0,4732103,414452
0.257842,65752492,40342947,0,0,4753943,419269
0.263089,66016523,40504631,0,0,4783783,420629
0.268322,65885267,40423855,0,0,4780412,419410
0.273549,65785250,40356880,0,0,4769114,419400
0.278800,66058596,40503059,0,0,4806601,420566
0.292647,174171825,106777962,0,0,12669268,1108770
0.297879,65977605,40443055,0,0,4802112,419978
0.307239,117765103,72189410,0,0,8609593,749738
0.318131,137117479,83996532,0,0,10034633,872218
0.324954,89373292,54689857,0,0,6585172,567718
0.330327,70879248,43363231,0,0,5225163,450226
0.335689,70719898,43283889,0,0,5204715,449502
0.340901,68750542,42101699,0,0,5058065,437244
0.347263,83783444,51290692,0,0,6176547,532848
0.352554,69925037,42819962,0,0,5151923,444296
0.357723,68113322,41672821,0,0,5037537,433158
0.363068,70510774,43143543,0,0,5210615,447659
0.368336,69465764,42548852,0,0,5109535,442239
0.373571,69044326,42297003,0,0,5068484,438942
0.378794,68864753,42172307,0,0,5051949,437825
0.384031,69058953,42275016,0,0,5085463,439061
0.389260,68962435,42248348,0,0,5055141,438724
0.394485,68863676,42200875,0,0,5062100,438276
0.399752,69424611,42494489,0,0,5113383,441276
0.404989,69073764,42307783,0,0,5079313,439296
0.413284,109334059,66928421,0,0,8048528,695016
0.418519,69072366,42301866,0,0,5091791,439124
0.423749,68982505,42230049,0,0,5080192,438464
0.428875,67593183,41376155,0,0,4996858,429790
0.434113,68989255,42248262,0,0,5075827,438862
0.439342,69029308,42256771,0,0,5090043,438850
0.444577,69036482,42265479,0,0,5083908,438672
0.449818,69113549,42338144,0,0,5070899,439662
0.455071,69248451,42419210,0,0,5076048,440424
0.460323,69255341,42440044,0,0,5065898,440830
0.465561,69085467,42334278,0,0,5071686,439654
0.470797,69019736,42287348,0,0,5044651,439304
0.476020,68890102,42232070,0,0,5053579,438408
0.481291,68532342,42005292,0,0,5070333,442230
0.486511,69806106,42801783,0,0,5016254,438472
0.491726,68764910,42146482,0,0,5028420,437788
0.496949,68883886,42232013,0,0,5035619,438278
0.502178,68943236,42265654,0,0,5025791,438910
0.507443,69418047,42554414,0,0,5069113,442140
0.512669,68913361,42248619,0,0,5027576,438354
0.517901,69010404,42294642,0,0,5052121,439021
0.523130,68908076,42235000,0,0,5026662,439183
0.528365,69045558,42307377,0,0,5073272,439528
0.534865,85696626,52499281,0,0,6300249,544798
0.540129,69439291,42548168,0,0,5082938,441878
0.545364,69060822,42311333,0,0,5062859,439160
0.550604,69049726,42304789,0,0,5053145,439638
0.555871,69379600,42525651,0,0,5078133,441326
0.561108,69152181,42347310,0,0,5081670,439800
0.566361,69271576,42448120,0,0,5074634,440634
0.571594,69039025,42294554,0,0,5056602,439240
0.576813,68823575,42175016,0,0,5051140,437646
0.582039,68899378,42209532,0,0,5051981,438374
0.587271,68984901,42277064,0,0,5052702,439084
0.592501,68977002,42266993,0,0,5050747,438968
0.597726,68906671,42233962,0,0,5043838,438412
0.602944,68776538,42167059,0,0,5015308,438146
0.608164,68836925,42188690,0,0,5026850,438204
0.613389,68883174,42239366,0,0,5039965,438380
0.618609,68848359,42186379,0,0,5042998,438238
0.623851,69135846,42377834,0,0,5053451,439956
0.629096,69160358,42396996,0,0,5063515,440052
0.634352,69238226,42439811,0,0,5064781,441220
0.639576,68955126,42266367,0,0,5044863,439236
0.644815,69080863,42322629,0,0,5056751,438872
0.650000,68388576,41900731,0,0,5018748,435441
0.655378,70856865,43407646,0,0,5190288,450245
0.660609,69029740,42289790,0,0,5059493,439190
0.666238,74105159,45406314,0,0,5431711,471920
0.671473,69130532,42369889,0,0,5068189,439654
0.676696,68879855,42196661,0,0,5034846,438282
0.682002,69914100,42840090,0,0,5134568,445012
0.687277,69505575,42570986,0,0,5103851,441618
0.692515,69180707,42380971,0,0,5068567,440329
0.697746,69002589,42273319,0,0,5057037,438873
0.703001,69275728,42456934,0,0,5080999,440832
0.708231,68955674,42251155,0,0,5053627,438890
0.713460,68978673,42263107,0,0,5058220,438806
0.718681,68852035,42195189,0,0,5046566,437984
0.723906,68902364,42241198,0,0,5042435,438850
0.729181,68961734,42266372,0,0,5057278,442470
0.734409,69531894,42627561,0,0,5078141,439250
0.739633,68894284,42231567,0,0,5033485,438378
0.744863,68936221,42256953,0,0,5055591,438892
0.750085,68878055,42223812,0,0,5036322,438368
0.755310,68901149,42240881,0,0,5028294,438730
0.760535,68899803,42232135,0,0,5025088,438712
0.765758,68857361,42195441,0,0,5047895,437800
0.771001,69131573,42353808,0,0,5075799,439756
0.776235,69029943,42287024,0,0,5061862,439212
0.781807,73306434,44917233,0,0,5384160,466306
0.787057,69399957,42529612,0,0,5095794,441656
0.792292,69038143,42294969,0,0,5073260,439218
0.798443,80965805,49597231,0,0,5919118,515008
0.803693,69308617,42471296,0,0,5075946,441348
0.808934,69090412,42337509,0,0,5083324,439476
0.814164,68974582,42262663,0,0,5052812,439082
0.819388,68868832,42208324,0,0,5059238,438420
0.824660,69422761,42528304,0,0,5068599,441348
0.829899,69151380,42366793,0,0,5066123,440160
0.835139,69021543,42286272,0,0,5053534,438908
0.840376,69070820,42331293,0,0,5063247,439246
0.845822,71859949,44025532,0,0,5261805,457435
0.851048,68972379,42276931,0,0,5059504,438835
0.856318,69441593,42549468,0,0,5084814,441974
0.861547,69016783,42294843,0,0,5067022,439356
0.866777,68913094,42242362,0,0,5041951,438456
0.871998,68890561,42236400,0,0,5027156,438642
0.877205,68649015,42075191,0,0,5032351,436932
0.882478,69471638,42568244,0,0,5089468,441848
0.887774,69745423,42738654,0,0,5096872,444030
0.893032,69517756,42586322,0,0,5090129,442106
0.899000,78692712,48204855,0,0,5769704,500417
0.904210,68694884,42089734,0,0,5035060,437229
0.910431,41426436,25338459,0,0,3074872,278506
0.915672,0,0,0,0,0,0
0.921085,0,0,0,0,0,0
0.926206,0,0,0,0,0,0
0.931725,0,0,0,0,0,0
0.937052,0,0,0,0,0,0
0.943168,0,0,0,0,0,0
0.948441,0,0,0,0,0,0
0.953669,0,0,0,0,0,0
0.958962,0,0,0,0,0,0
0.964396,0,0,0,0,0,0
0.969718,0,0,0,0,0,0
0.975068,0,0,0,0,0,0
0.980426,0,0,0,0,0,0
0.985983,0,0,0,0,0,0
0.991308,0,0,0,0,0,0
0.996633,0,0,0,0,0,0
1.002001,0,0,0,0,0,0
1.007354,0,0,0,0,0,0
1.012902,0,0,0,0,0,0
1.018300,0,0,0,0,0,0
1.023613,0,0,0,0,0,0
1.028929,0,0,0,0,0,0
1.034193,0,0,0,0,0,0
1.039665,0,0,0,0,0,0
1.045090,0,0,0,0,0,0
1.050357,0,0,0,0,0,0
1.055746,0,0,0,0,0,0
1.061002,0,0,0,0,0,0
1.066457,0,0,0,0,0,0
1.071816,0,0,0,0,0,0
1.077223,0,0,0,0,0,0
1.082608,0,0,0,0,0,0
1.088132,0,0,0,0,0,0
1.093519,0,0,0,0,0,0
1.098774,0,0,0,0,0,0
1.104022,0,0,0,0,0,0
1.109387,0,0,0,0,0,0
1.114984,0,0,0,0,0,0
